arm,fa_target,K,fa_clean,detect,detect_preonset,lead_med,entry_lead_med,fa_succ_loop
switch->loop_onset_q,0.02,12,0.0039,0.6452,0.3065,6.0,-5.0,0.0
switch->loop_onset_q,0.05,11,0.0272,0.7258,0.3387,5.0,-5.0,0.0
switch->loop_onset_q,0.1,11,0.0272,0.7258,0.3387,5.0,-5.0,0.0
switch->loop_onset_q,0.2,9,0.1712,0.871,0.4516,-2.5,-10.5,0.0
flatten->static_onset_q,0.02,9,0.0156,0.5652,0.4783,-7.0,-15.0,0.25
flatten->static_onset_q,0.05,9,0.0156,0.5652,0.4783,-7.0,-15.0,0.25
flatten->static_onset_q,0.1,9,0.0156,0.5652,0.4783,-7.0,-15.0,0.25
flatten->static_onset_q,0.2,8,0.1634,0.6377,0.6087,-8.0,-15.0,0.75
sticky->static_onset_q,0.02,18,0.0117,0.9565,0.0145,7.0,-10.0,0.0
sticky->static_onset_q,0.05,15,0.0428,0.971,0.058,4.0,-10.0,0.0
sticky->static_onset_q,0.1,14,0.0817,0.971,0.0725,3.0,-10.0,0.25
sticky->static_onset_q,0.2,12,0.1907,0.971,0.2609,1.0,-10.0,0.25
sticky->loop_onset_q,0.02,18,0.0117,0.0806,0.0645,-5.0,-22.0,0.0
sticky->loop_onset_q,0.05,15,0.0428,0.0968,0.0806,-9.0,-23.0,0.0
sticky->loop_onset_q,0.1,14,0.0817,0.129,0.1129,-9.5,-22.5,0.25
sticky->loop_onset_q,0.2,12,0.1907,0.2903,0.2258,-9.0,-20.0,0.25
T_len->loop_onset_q,0.02,43,0.0195,1.0,0.4839,2.0,,0.75
T_len->static_onset_q,0.02,43,0.0195,1.0,0.0725,6.0,,0.75
T_len->loop_onset_q,0.05,42,0.0389,1.0,0.5,1.0,,0.75
T_len->static_onset_q,0.05,42,0.0389,1.0,0.087,5.0,,0.75
T_len->loop_onset_q,0.1,41,0.0778,1.0,0.5,0.0,,0.75
T_len->static_onset_q,0.1,41,0.0778,1.0,0.087,4.0,,0.75
T_len->loop_onset_q,0.2,40,0.1712,1.0,0.5323,-1.0,,0.75
T_len->static_onset_q,0.2,40,0.1712,1.0,0.1739,3.0,,0.75
