arm,fa_target,K,fa_clean,detect,detect_preonset,lead_med,entry_lead_med,fa_succ_loop
switch->loop_onset_q,0.02,12,0.0172,0.5818,0.2364,6.0,-5.0,0.0
switch->loop_onset_q,0.05,11,0.0378,0.6182,0.3091,2.5,-7.5,0.0
switch->loop_onset_q,0.1,11,0.0378,0.6182,0.3091,2.5,-7.5,0.0
switch->loop_onset_q,0.2,9,0.1649,0.8,0.4364,-0.5,-8.5,0.0
flatten->static_onset_q,0.02,9,0.0172,0.3776,0.2657,-7.0,-15.0,0.5
flatten->static_onset_q,0.05,9,0.0172,0.3776,0.2657,-7.0,-15.0,0.5
flatten->static_onset_q,0.1,9,0.0172,0.3776,0.2657,-7.0,-15.0,0.5
flatten->static_onset_q,0.2,8,0.11,0.4825,0.4196,-9.0,-16.0,1.0
sticky->static_onset_q,0.02,19,0.0103,0.9371,0.0,9.0,-9.0,0.0
sticky->static_onset_q,0.05,16,0.0412,0.9441,0.014,6.0,-9.0,0.5
sticky->static_onset_q,0.1,15,0.0653,0.951,0.028,5.0,-9.0,0.5
sticky->static_onset_q,0.2,13,0.1512,0.965,0.0839,3.0,-9.0,0.5
sticky->loop_onset_q,0.02,19,0.0103,0.1818,0.1091,0.0,-18.0,0.0
sticky->loop_onset_q,0.05,16,0.0412,0.2182,0.2,-3.0,-18.0,0.5
sticky->loop_onset_q,0.1,15,0.0653,0.2545,0.2364,-5.5,-19.5,0.5
sticky->loop_onset_q,0.2,13,0.1512,0.3818,0.3455,-7.0,-19.0,0.5
T_len->loop_onset_q,0.02,47,0.0137,1.0,0.2727,3.0,,0.5
T_len->static_onset_q,0.02,47,0.0137,1.0,0.028,9.0,,0.5
T_len->loop_onset_q,0.05,42,0.0378,1.0,0.6,-2.0,,1.0
T_len->static_onset_q,0.05,42,0.0378,1.0,0.0629,4.0,,1.0
T_len->loop_onset_q,0.1,41,0.0619,1.0,0.6545,-3.0,,1.0
T_len->static_onset_q,0.1,41,0.0619,1.0,0.0699,3.0,,1.0
T_len->loop_onset_q,0.2,40,0.1065,1.0,0.6727,-4.0,,1.0
T_len->static_onset_q,0.2,40,0.1065,1.0,0.1469,2.0,,1.0
