w,sk,ep,succ,lag1,objmove,eefpath
0,w00_s000,100000000,False,0.6509788118156732,0.009382504038512707,1.2569928169250488
0,w00_s000,100000001,False,0.754627548012079,0.004891874268651009,1.9452629089355469
0,w00_s000,100000002,False,0.7637229421559502,0.09493100643157959,1.8262382745742798
0,w00_s000,100000003,True,0.7864963427568094,0.44738197326660156,2.0494332313537598
0,w00_s000,100000004,True,0.758609800176187,0.43380314111709595,2.0746681690216064
0,w00_s000,100000005,False,0.7348892081017587,0.33764347434043884,2.124812602996826
0,w00_s000,100000006,False,0.7531680984824312,0.3185746669769287,2.2221808433532715
0,w00_s000,100000007,True,0.7908806464610956,0.4274905323982239,2.001384735107422
0,w00_s000,100000008,True,0.7784295216912315,0.4575062692165375,2.108863592147827
0,w00_s000,100000009,False,0.7669508872078914,0.47188836336135864,2.363741397857666
0,w00_s000,100000010,True,0.7617284721798367,0.404329389333725,2.0410983562469482
0,w00_s000,100000011,False,0.6887185912506253,0.32391414046287537,1.5117613077163696
0,w00_s000,100000012,True,0.7622929953716018,0.44315770268440247,2.0007212162017822
0,w00_s000,100000013,True,0.7857480441651693,0.43383243680000305,2.0536839962005615
0,w00_s000,100000014,False,0.6858165743304234,0.32967516779899597,1.5104113817214966
0,w00_s000,100000015,False,0.7258371628966986,0.0032442391384392977,1.7352298498153687
0,w00_s001,100000100,True,0.7649766877293587,0.4276096224784851,1.9374892711639404
0,w00_s001,100000101,True,0.7533016015182842,0.42884764075279236,1.9651578664779663
0,w00_s001,100000102,False,0.6410907131433486,0.014179611578583717,1.1824700832366943
0,w00_s001,100000103,False,0.6932107025384903,0.32272449135780334,1.5925579071044922
0,w00_s001,100000104,False,0.6505898278951645,0.016735030338168144,1.1761910915374756
0,w00_s001,100000105,False,0.7427494943141937,0.08295342326164246,1.7425270080566406
0,w00_s001,100000106,False,0.6557382071018218,0.01565914787352085,1.1447150707244873
0,w00_s001,100000107,True,0.7689568584873563,0.4450453221797943,2.0046966075897217
0,w00_s001,100000108,False,0.7397735321521759,0.037545569241046906,1.5310245752334595
0,w00_s001,100000109,False,0.767532000541687,0.0020375591702759266,1.951490879058838
0,w00_s001,100000110,False,0.7529376649856567,0.005190267693251371,1.9597736597061157
0,w00_s001,100000111,False,0.759391233921051,0.37274008989334106,2.047557830810547
0,w00_s001,100000112,True,0.7854548692703247,0.44902241230010986,2.0383248329162598
0,w00_s001,100000113,False,0.7522474932670593,0.06716707348823547,1.818313479423523
0,w00_s001,100000114,False,0.7553038728237152,0.016017109155654907,1.9489749670028687
0,w00_s001,100000115,False,0.7764791870117187,0.28251466155052185,2.118227481842041
0,w00_s002,100000200,False,0.7637759167320874,0.3216401934623718,2.098950147628784
0,w00_s002,100000201,False,0.7415159660942701,0.0062676165252923965,1.8203060626983643
