scope,failure,suite,bin,count,alarms,all_episodes,fraction_of_alarms
seen,False,all,"[0,25%)",0,69,6469,0.0
seen,False,all,"[25,50%)",6,69,6469,0.08695652173913043
seen,False,all,"[50,75%)",25,69,6469,0.36231884057971014
seen,False,all,"[75,100%)",38,69,6469,0.5507246376811594
seen,False,libero_goal,"[0,25%)",0,13,1623,0.0
seen,False,libero_goal,"[25,50%)",3,13,1623,0.23076923076923078
seen,False,libero_goal,"[50,75%)",7,13,1623,0.5384615384615384
seen,False,libero_goal,"[75,100%)",3,13,1623,0.23076923076923078
seen,False,libero_long,"[0,25%)",0,25,1571,0.0
seen,False,libero_long,"[25,50%)",3,25,1571,0.12
seen,False,libero_long,"[50,75%)",12,25,1571,0.48
seen,False,libero_long,"[75,100%)",10,25,1571,0.4
seen,False,libero_object,"[0,25%)",0,8,1656,0.0
seen,False,libero_object,"[25,50%)",0,8,1656,0.0
seen,False,libero_object,"[50,75%)",1,8,1656,0.125
seen,False,libero_object,"[75,100%)",7,8,1656,0.875
seen,False,libero_spatial,"[0,25%)",0,23,1619,0.0
seen,False,libero_spatial,"[25,50%)",0,23,1619,0.0
seen,False,libero_spatial,"[50,75%)",5,23,1619,0.21739130434782608
seen,False,libero_spatial,"[75,100%)",18,23,1619,0.782608695652174
seen,True,all,"[0,25%)",0,194,251,0.0
seen,True,all,"[25,50%)",28,194,251,0.14432989690721648
seen,True,all,"[50,75%)",145,194,251,0.7474226804123711
seen,True,all,"[75,100%)",21,194,251,0.10824742268041238
seen,True,libero_goal,"[0,25%)",0,56,57,0.0
seen,True,libero_goal,"[25,50%)",21,56,57,0.375
seen,True,libero_goal,"[50,75%)",27,56,57,0.48214285714285715
seen,True,libero_goal,"[75,100%)",8,56,57,0.14285714285714285
seen,True,libero_long,"[0,25%)",0,57,109,0.0
seen,True,libero_long,"[25,50%)",2,57,109,0.03508771929824561
seen,True,libero_long,"[50,75%)",47,57,109,0.8245614035087719
seen,True,libero_long,"[75,100%)",8,57,109,0.14035087719298245
seen,True,libero_object,"[0,25%)",0,20,24,0.0
seen,True,libero_object,"[25,50%)",5,20,24,0.25
seen,True,libero_object,"[50,75%)",11,20,24,0.55
seen,True,libero_object,"[75,100%)",4,20,24,0.2
seen,True,libero_spatial,"[0,25%)",0,61,61,0.0
seen,True,libero_spatial,"[25,50%)",0,61,61,0.0
seen,True,libero_spatial,"[50,75%)",60,61,61,0.9836065573770492
seen,True,libero_spatial,"[75,100%)",1,61,61,0.01639344262295082
unseen,False,all,"[0,25%)",1,847,13909,0.0011806375442739079
unseen,False,all,"[25,50%)",30,847,13909,0.03541912632821724
unseen,False,all,"[50,75%)",385,847,13909,0.45454545454545453
unseen,False,all,"[75,100%)",431,847,13909,0.5088547815820543
unseen,False,libero_goal,"[0,25%)",0,504,3511,0.0
unseen,False,libero_goal,"[25,50%)",15,504,3511,0.02976190476190476
unseen,False,libero_goal,"[50,75%)",254,504,3511,0.503968253968254
unseen,False,libero_goal,"[75,100%)",235,504,3511,0.4662698412698413
unseen,False,libero_long,"[0,25%)",1,47,3360,0.02127659574468085
unseen,False,libero_long,"[25,50%)",11,47,3360,0.23404255319148937
unseen,False,libero_long,"[50,75%)",30,47,3360,0.6382978723404256
unseen,False,libero_long,"[75,100%)",5,47,3360,0.10638297872340426
unseen,False,libero_object,"[0,25%)",0,149,3566,0.0
unseen,False,libero_object,"[25,50%)",4,149,3566,0.026845637583892617
unseen,False,libero_object,"[50,75%)",76,149,3566,0.5100671140939598
unseen,False,libero_object,"[75,100%)",69,149,3566,0.46308724832214765
unseen,False,libero_spatial,"[0,25%)",0,147,3472,0.0
unseen,False,libero_spatial,"[25,50%)",0,147,3472,0.0
unseen,False,libero_spatial,"[50,75%)",25,147,3472,0.17006802721088435
unseen,False,libero_spatial,"[75,100%)",122,147,3472,0.8299319727891157
unseen,True,all,"[0,25%)",12,441,491,0.027210884353741496
unseen,True,all,"[25,50%)",59,441,491,0.13378684807256236
unseen,True,all,"[50,75%)",304,441,491,0.6893424036281179
unseen,True,all,"[75,100%)",66,441,491,0.14965986394557823
unseen,True,libero_goal,"[0,25%)",0,88,89,0.0
unseen,True,libero_goal,"[25,50%)",19,88,89,0.2159090909090909
unseen,True,libero_goal,"[50,75%)",61,88,89,0.6931818181818182
unseen,True,libero_goal,"[75,100%)",8,88,89,0.09090909090909091
unseen,True,libero_long,"[0,25%)",12,193,240,0.06217616580310881
unseen,True,libero_long,"[25,50%)",14,193,240,0.07253886010362694
unseen,True,libero_long,"[50,75%)",121,193,240,0.6269430051813472
unseen,True,libero_long,"[75,100%)",46,193,240,0.23834196891191708
unseen,True,libero_object,"[0,25%)",0,32,34,0.0
unseen,True,libero_object,"[25,50%)",8,32,34,0.25
unseen,True,libero_object,"[50,75%)",19,32,34,0.59375
unseen,True,libero_object,"[75,100%)",5,32,34,0.15625
unseen,True,libero_spatial,"[0,25%)",0,128,128,0.0
unseen,True,libero_spatial,"[25,50%)",18,128,128,0.140625
unseen,True,libero_spatial,"[50,75%)",103,128,128,0.8046875
unseen,True,libero_spatial,"[75,100%)",7,128,128,0.0546875
