global_row,task,mean_seen,mean_unseen,sum_seen,sum_unseen,size_seen,size_unseen
400,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
401,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
402,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
403,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
404,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
405,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
406,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
407,libero_goal/open_the_middle_drawer_of_the_cabinet,1.0,1.0,1.0,1.0,1.0,1.0
408,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
409,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
410,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
411,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
412,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
413,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
414,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
415,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
416,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
417,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
418,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
419,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
420,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
421,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
422,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
423,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
424,libero_goal/open_the_middle_drawer_of_the_cabinet,0.0,0.0,0.0,0.0,1.0,1.0
