calibration,method,baseline,metric,delta,lo,hi
episode,ac_reference,old_ac,recall,0.0035460992907801418,0.0,0.009882731722639577
episode,ac_reference,old_ac,fpr,0.0014252396994039907,0.000587725363328235,0.002624037807377049
episode,ac_reference,previous_absolute_acc,recall,-0.014184397163120567,-0.028848684210526318,0.006637351894863727
episode,ac_reference,previous_absolute_acc,fpr,-0.00019435086810054417,-0.0027161141783208454,0.001875025196906885
episode,relative_low,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_low,ac_reference,fpr,-0.0005182689816014512,-0.002758509391667482,0.0023705764966709623
episode,relative_low,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_low,old_ac,fpr,0.0009069707178025395,-0.0017660023719668961,0.0046424363307716226
episode,relative_low,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_low,previous_absolute_acc,fpr,-0.0007126198497019953,-0.001526496769316498,0.0
episode,relative_magnitude,ac_reference,recall,0.012411347517730497,-0.015629408860045147,0.032008847521699114
episode,relative_magnitude,ac_reference,fpr,-0.0005182689816014512,-0.002758509391667482,0.0023705764966709623
episode,relative_magnitude,old_ac,recall,0.015957446808510637,-0.009029345372460496,0.03409090909090909
episode,relative_magnitude,old_ac,fpr,0.0009069707178025395,-0.0017660023719668961,0.0046424363307716226
episode,relative_magnitude,previous_absolute_acc,recall,-0.0017730496453900709,-0.011710289056744842,0.0048543689320388345
episode,relative_magnitude,previous_absolute_acc,fpr,-0.0007126198497019953,-0.001526496769316498,0.0
episode,relative_low_soft,ac_reference,recall,0.010638297872340425,-0.016892129805862202,0.02969209401769751
episode,relative_low_soft,ac_reference,fpr,-0.00038870173620108835,-0.002660539259198954,0.00251855859284004
episode,relative_low_soft,old_ac,recall,0.014184397163120567,-0.010364043609671848,0.031856369535707585
episode,relative_low_soft,old_ac,fpr,0.0010365379632029023,-0.0016368976535041223,0.004851253239830951
episode,relative_low_soft,previous_absolute_acc,recall,-0.0035460992907801418,-0.01354478412306058,0.0022579805601080187
episode,relative_low_soft,previous_absolute_acc,fpr,-0.0005830526043016325,-0.001423158386151539,0.00025700213808143305
task_init,ac_reference,old_ac,recall,-0.005319148936170213,-0.013752878479959693,0.0
task_init,ac_reference,old_ac,fpr,-0.00045348535890126976,-0.0008415437852008275,-6.517194804515267e-05
task_init,ac_reference,previous_absolute_acc,recall,-0.010638297872340425,-0.0221606648199446,-0.003246753246753247
task_init,ac_reference,previous_absolute_acc,fpr,-0.0002591344908007256,-0.0005875853024296452,6.424371573961382e-05
task_init,relative_low,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_low,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_low,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_low,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_low,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_low,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,relative_magnitude,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_magnitude,ac_reference,fpr,6.47836227001814e-05,-0.00032691179754630866,0.00045892770231943387
task_init,relative_magnitude,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_magnitude,old_ac,fpr,-0.00038870173620108835,-0.0007092267198032629,-0.0001288825879623663
task_init,relative_magnitude,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_magnitude,previous_absolute_acc,fpr,-0.00019435086810054417,-0.00038757186228279824,-6.384472961757006e-05
task_init,relative_low_soft,ac_reference,recall,0.005319148936170213,-0.002718137840420449,0.01562885231755422
task_init,relative_low_soft,ac_reference,fpr,0.0,-0.0004515874115337605,0.0004530165238239554
task_init,relative_low_soft,old_ac,recall,0.0,-0.005815232217145195,0.005018207901125571
task_init,relative_low_soft,old_ac,fpr,-0.00045348535890126976,-0.0009011372037858602,-0.0001288825879623663
task_init,relative_low_soft,previous_absolute_acc,recall,-0.005319148936170213,-0.017904344763159104,0.0026045075261780085
task_init,relative_low_soft,previous_absolute_acc,fpr,-0.0002591344908007256,-0.0004539279358839983,-6.51714173626844e-05
