fold,calibration,method,alpha,threshold,rank,units,no_exposure_units,attainable
0,episode,ac_reference,0.005,5.735496450145729,3083,3097,236,True
0,episode,ac_reference,0.01,4.9935591054163515,3068,3097,236,True
0,episode,ac_reference,0.02,4.409306013095543,3037,3097,236,True
0,episode,ac_reference,0.05,3.549445173407635,2944,3097,236,True
0,task_init,ac_reference,0.005,8.038081543139775,398,398,23,True
0,task_init,ac_reference,0.01,7.527255919373784,396,398,23,True
0,task_init,ac_reference,0.02,6.24632207391172,392,398,23,True
0,task_init,ac_reference,0.05,4.694042575317567,380,398,23,True
0,episode,relative_low,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_low,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_low,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_low,0.05,3.106008571546621,2944,3097,236,True
0,task_init,relative_low,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_low,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_low,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_low,0.05,3.9950302753052243,380,398,23,True
0,episode,relative_magnitude,0.005,4.902587327210624,3083,3097,236,True
0,episode,relative_magnitude,0.01,4.374519897010128,3068,3097,236,True
0,episode,relative_magnitude,0.02,3.794359579843073,3037,3097,236,True
0,episode,relative_magnitude,0.05,3.0341352371943153,2944,3097,236,True
0,task_init,relative_magnitude,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_magnitude,0.01,5.52577591916366,396,398,23,True
0,task_init,relative_magnitude,0.02,4.742244677135446,392,398,23,True
0,task_init,relative_magnitude,0.05,3.9950302753052243,380,398,23,True
0,episode,relative_low_soft,0.005,4.932001212416918,3083,3097,236,True
0,episode,relative_low_soft,0.01,4.454562604683664,3068,3097,236,True
0,episode,relative_low_soft,0.02,3.889669759647398,3037,3097,236,True
0,episode,relative_low_soft,0.05,3.225897187767357,2944,3097,236,True
0,task_init,relative_low_soft,0.005,8.038081543139775,398,398,23,True
0,task_init,relative_low_soft,0.01,5.737794747596756,396,398,23,True
0,task_init,relative_low_soft,0.02,5.042349269585784,392,398,23,True
0,task_init,relative_low_soft,0.05,4.135203687063466,380,398,23,True
1,episode,ac_reference,0.005,5.221004263445367,3102,3116,196,True
1,episode,ac_reference,0.01,4.738578114201074,3086,3116,196,True
1,episode,ac_reference,0.02,4.135814995109397,3055,3116,196,True
1,episode,ac_reference,0.05,3.355374945650856,2962,3116,196,True
1,task_init,ac_reference,0.005,6.188588289707072,398,398,21,True
1,task_init,ac_reference,0.01,5.914151444005312,396,398,21,True
1,task_init,ac_reference,0.02,5.304385872384418,392,398,21,True
1,task_init,ac_reference,0.05,4.362342644407848,380,398,21,True
1,episode,relative_low,0.005,4.738578114201074,3102,3116,196,True
1,episode,relative_low,0.01,4.288840182414921,3086,3116,196,True
1,episode,relative_low,0.02,3.730349887001233,3055,3116,196,True
1,episode,relative_low,0.05,3.023779686109147,2962,3116,196,True
