method,failure,episodes,exposed_episodes,queries,first_query,zero_score_queries
ac_reference,False,15436,14292,109210,8,0
ac_reference,True,564,564,17228,8,0
relative_low,False,15436,14292,109210,8,20723
relative_low,True,564,564,17228,8,901
relative_magnitude,False,15436,14292,109210,8,0
relative_magnitude,True,564,564,17228,8,0
relative_low_soft,False,15436,14292,109210,8,20723
relative_low_soft,True,564,564,17228,8,901
