fold,calibration,method,failure,threshold,branch_alarm_episodes,acceleration_gate_supports_first
0,episode,relative_low,False,4.374519897010128,22,1
0,episode,relative_low,True,4.374519897010128,61,6
0,episode,relative_magnitude,False,4.374519897010128,22,1
0,episode,relative_magnitude,True,4.374519897010128,61,6
0,episode,relative_low_soft,False,4.454562604683664,21,3
0,episode,relative_low_soft,True,4.454562604683664,54,9
0,task_init,relative_low,False,5.52577591916366,14,0
0,task_init,relative_low,True,5.52577591916366,19,3
0,task_init,relative_magnitude,False,5.52577591916366,14,0
0,task_init,relative_magnitude,True,5.52577591916366,18,2
0,task_init,relative_low_soft,False,5.737794747596756,13,0
0,task_init,relative_low_soft,True,5.737794747596756,21,6
1,episode,relative_low,False,4.288840182414921,28,0
1,episode,relative_low,True,4.288840182414921,51,0
1,episode,relative_magnitude,False,4.288840182414921,28,0
1,episode,relative_magnitude,True,4.288840182414921,51,0
1,episode,relative_low_soft,False,4.345535526091466,29,1
1,episode,relative_low_soft,True,4.345535526091466,51,1
1,task_init,relative_low,False,5.038682706651412,7,0
1,task_init,relative_low,True,5.038682706651412,28,0
1,task_init,relative_magnitude,False,5.038682706651412,7,0
1,task_init,relative_magnitude,True,5.038682706651412,28,0
1,task_init,relative_low_soft,False,5.038682706651412,7,0
1,task_init,relative_low_soft,True,5.038682706651412,28,0
2,episode,relative_low,False,5.074742687829003,8,0
2,episode,relative_low,True,5.074742687829003,34,1
2,episode,relative_magnitude,False,5.074742687829003,8,0
2,episode,relative_magnitude,True,5.074742687829003,34,1
2,episode,relative_low_soft,False,5.074742687829003,8,0
2,episode,relative_low_soft,True,5.074742687829003,34,1
2,task_init,relative_low,False,7.189275549320109,0,0
2,task_init,relative_low,True,7.189275549320109,1,0
2,task_init,relative_magnitude,False,7.189275549320109,0,0
2,task_init,relative_magnitude,True,7.189275549320109,1,0
2,task_init,relative_low_soft,False,7.189275549320109,0,0
2,task_init,relative_low_soft,True,7.189275549320109,1,0
3,episode,relative_low,False,5.526421566447468,27,0
3,episode,relative_low,True,5.526421566447468,32,0
3,episode,relative_magnitude,False,5.526421566447468,27,0
3,episode,relative_magnitude,True,5.526421566447468,32,0
3,episode,relative_low_soft,False,5.526421566447468,27,0
3,episode,relative_low_soft,True,5.526421566447468,32,0
3,task_init,relative_low,False,7.751045117971802,0,0
3,task_init,relative_low,True,7.751045117971802,3,0
3,task_init,relative_magnitude,False,7.751045117971802,0,0
3,task_init,relative_magnitude,True,7.751045117971802,3,0
3,task_init,relative_low_soft,False,7.751045117971802,0,0
3,task_init,relative_low_soft,True,7.751045117971802,3,0
4,episode,relative_low,False,4.099848866227683,52,0
4,episode,relative_low,True,4.099848866227683,78,3
4,episode,relative_magnitude,False,4.099848866227683,52,0
4,episode,relative_magnitude,True,4.099848866227683,78,3
4,episode,relative_low_soft,False,4.160067726220738,55,3
4,episode,relative_low_soft,True,4.160067726220738,76,6
4,task_init,relative_low,False,5.473239822511666,13,0
4,task_init,relative_low,True,5.473239822511666,26,0
4,task_init,relative_magnitude,False,5.473239822511666,13,0
4,task_init,relative_magnitude,True,5.473239822511666,26,0
4,task_init,relative_low_soft,False,5.473239822511666,13,0
4,task_init,relative_low_soft,True,5.473239822511666,27,2
