episode,failure,query,back_mobility,back_flow_path,flow_acceleration,back_token_diversity,mobility_log_ratio,acceleration_log_ratio,path_log_ratio,diversity_log_ratio,front_back_path_log_ratio,decoupling,both_increasing,both_decreasing,outer_up_inner_down,path_decoupling,layer_agreement,token_diversity_contraction,recent_decoupling,persistent_decoupling,decoupling_occupancy,decoupling_drop,mobility_rebound,routing_recovery
0,False,0,,,,,,,,,,,,,,,,,,,,,,
0,False,1,,,,,,,,,,,,,,,,,,,,,,
0,False,2,,,,,,,,,,,,,,,,,,,,,,
0,False,3,,,,,,,,,,,,,,,,,,,,,,
0,False,4,,,,,,,,,,,,,,,,,,,,,,
0,False,5,,,,,,,,,,,,,,,,,,,,,,
0,False,6,,,,,,,,,,,,,,,,,,,,,,
0,False,7,0.09237803518772125,0.0988059714436531,0.00963020883500576,0.0030003581196069717,0.1789456605911255,0.06705212593078613,0.08751050382852554,0.38466382026672363,0.0804366022348404,0.0,0.06705212593078613,0.0,0.0,0.0,0.0,0.0,,,,,,
0,False,8,0.09133170545101166,0.09179043024778366,0.009050300344824791,0.002954174531623721,0.16618657112121582,0.004951810464262962,0.0006401641294360161,0.3775126039981842,0.11691988259553909,0.0,0.004951810464262962,0.0,0.0,0.0,0.0,0.0,,,,,,
0,False,9,0.0916336253285408,0.09032850712537766,0.009015916846692562,0.002696074778214097,0.15542413294315338,0.001145841320976615,-0.004656336735934019,0.31744322180747986,0.15728405117988586,0.0,0.001145841320976615,0.0,0.0,0.0,0.0,0.0,,,,,,
1,False,0,,,,,,,,,,,,,,,,,,,,,,
1,False,1,,,,,,,,,,,,,,,,,,,,,,
1,False,2,,,,,,,,,,,,,,,,,,,,,,
1,False,3,,,,,,,,,,,,,,,,,,,,,,
1,False,4,,,,,,,,,,,,,,,,,,,,,,
1,False,5,,,,,,,,,,,,,,,,,,,,,,
1,False,6,,,,,,,,,,,,,,,,,,,,,,
1,False,7,0.09320834279060364,0.09646398574113846,0.009518240578472614,0.003003462217748165,0.20564503967761993,0.0717562586069107,0.06685510277748108,0.41695570945739746,0.09283646196126938,0.0,0.0717562586069107,0.0,0.0,0.0,0.0,0.0,,,,,,
1,False,8,0.09096591919660568,0.09051914513111115,0.009031498804688454,0.0029045753180980682,0.18626752495765686,0.019270267337560654,-0.006267962511628866,0.3879086375236511,0.13085678219795227,0.0,0.019270267337560654,0.0,0.0,0.0,0.0,0.0,,,,,,
1,False,9,0.08947150409221649,0.08815399557352066,0.008885250426828861,0.002572020050138235,0.17219795286655426,0.002946332097053528,-0.019468355923891068,0.28031831979751587,0.1766914278268814,0.0,0.002946332097053528,0.0,0.0,0.0,0.0,0.0,,,,,,
2,False,0,,,,,,,,,,,,,,,,,,,,,,
2,False,1,,,,,,,,,,,,,,,,,,,,,,
2,False,2,,,,,,,,,,,,,,,,,,,,,,
2,False,3,,,,,,,,,,,,,,,,,,,,,,
2,False,4,,,,,,,,,,,,,,,,,,,,,,
2,False,5,,,,,,,,,,,,,,,,,,,,,,
2,False,6,,,,,,,,,,,,,,,,,,,,,,
2,False,7,0.09146024286746979,0.10127421468496323,0.009728874079883099,0.0027567532379180193,0.1528107076883316,0.08230238407850266,0.09439804404973984,0.33142343163490295,0.0557069294154644,0.0,0.08230238407850266,0.0,0.0,0.0,0.0,0.0,,,,,,
2,False,8,0.09237759560346603,0.10142628848552704,0.009549672715365887,0.0030864570289850235,0.203825905919075,0.06371308863162994,0.08724204450845718,0.36617961525917053,0.05954630300402641,0.0,0.06371308863162994,0.0,0.0,0.0,0.0,0.0,,,,,,
2,False,9,0.09353328496217728,0.10547710210084915,0.01005340926349163,0.003268228145316243,0.19985586404800415,0.11511270701885223,0.12356967478990555,0.43457159399986267,0.05903535336256027,0.0,0.11511270701885223,0.0,0.0,0.0,0.0,0.0,,,,,,
2,False,10,0.09143505990505219,0.10286639630794525,0.009909618645906448,0.0030978356953710318,0.1708085834980011,0.10070820897817612,0.09618576616048813,0.37720638513565063,0.09172593802213669,0.0,0.10070820897817612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,False,11,0.0874328687787056,0.09603612869977951,0.0093943290412426,0.0025910402182489634,0.11769384890794754,0.0473141185939312,0.04275411739945412,0.221023291349411,0.11455243080854416,0.0,0.0473141185939312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,False,12,0.08770210295915604,0.08842358738183975,0.008816400542855263,0.002610852476209402,0.11270458996295929,-0.016171466559171677,-0.06317070871591568,0.20907367765903473,0.14967039227485657,0.0,0.0,0.0,0.016171466559171677,0.0,0.0,0.0,0.0,0.0,0.0,,,
