cohort,suite,task,query,feature,auc,v82_auc,delta,failures,successes,nonzero_failure,nonzero_success
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,decoupling,0.511300839964633,,,52,348,9,51
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,path_decoupling,0.5079022988505747,,,52,348,12,73
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,acceleration_log_ratio,0.39235190097259065,,,52,348,52,347
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,mobility_log_ratio,0.47982979664014147,,,52,348,43,297
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,token_diversity_contraction,0.5,,,52,348,0,0
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,layer_agreement,0.5670590185676393,,,52,348,30,171
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,decoupling,0.4921529619805482,,,52,348,1,12
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,path_decoupling,0.4904951370468612,,,52,348,3,26
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,acceleration_log_ratio,0.44667329796640143,,,52,348,52,348
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,mobility_log_ratio,0.5076812555260831,,,52,348,51,336
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,token_diversity_contraction,0.49712643678160917,,,52,348,0,2
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,layer_agreement,0.4932305481874447,,,52,348,12,84
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,decoupling,0.48563218390804597,,,52,348,16,118
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,path_decoupling,0.5372458001768347,,,52,348,13,58
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,acceleration_log_ratio,0.5029288240495137,,,52,348,44,294
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,mobility_log_ratio,0.5174624226348364,,,52,348,32,203
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,token_diversity_contraction,0.5144230769230769,,,52,348,22,152
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,layer_agreement,0.4797745358090186,,,52,348,30,235
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,decoupling,0.4894451812555261,,,52,348,30,198
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,path_decoupling,0.5560344827586207,,,52,348,24,126
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,acceleration_log_ratio,0.4781719717064545,,,52,348,31,204
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,mobility_log_ratio,0.4902188328912467,,,52,348,1,10
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,token_diversity_contraction,0.5028183023872679,,,52,348,43,256
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,layer_agreement,0.5436284261715296,,,52,348,49,336
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,recent_decoupling,0.47574049513704686,,,52,348,36,252
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,persistent_decoupling,0.5039235190097259,,,52,348,1,4
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,decoupling_occupancy,0.49245689655172414,,,52,348,36,252
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,decoupling,0.6497568523430592,,,52,348,38,183
