alarms,tp,fp,recall,precision,median_lead,tp_lead0,fp_lead0,recall_lead0,tp_lead2,fp_lead2,recall_lead2,tp_lead4,fp_lead4,recall_lead4,tp_lead8,fp_lead8,recall_lead8,tp_lead12,fp_lead12,recall_lead12,cohort,arm,is_baseline,family,mode,frozen,params,n_channels,excess_lead0,excess_hull_lead0,excess_lead2,excess_hull_lead2,excess_lead4,excess_hull_lead4,excess_lead8,excess_hull_lead8,excess_lead12,excess_hull_lead12,excess_tp,excess_hull_tp,thr_swept
956,486,470,0.997946611909651,0.5083682008368201,14.0,486,470,0.997946611909651,486,417,0.997946611909651,483,320,0.9917864476386037,413,234,0.8480492813141683,303,148,0.62217659137577,development_main,cusum|window,False,cusum,window,True,"{""k"": -1.0, ""thr"": 27.95472638104413, ""q_min"": 0.0}",5.0,125,118.3,125,122.2,261,144.7,191,106.0,81,26.9,261,144.7,
1234,562,672,0.9964539007092199,0.4554294975688817,16.0,562,672,0.9964539007092199,560,566,0.9929078014184397,551,446,0.9769503546099291,489,298,0.8670212765957447,370,202,0.6560283687943262,external_8b,cusum|window,False,cusum,window,True,"{""k"": -1.0, ""thr"": 27.95472638104413, ""q_min"": 0.0}",5.0,138,129.1,136,132.5,171,143.2,215,126.4,96,35.6,171,143.2,
868,409,459,0.839835728952772,0.47119815668202764,14.0,409,459,0.839835728952772,404,371,0.8295687885010267,399,294,0.8193018480492813,338,206,0.6940451745379876,260,135,0.5338809034907598,development_main,cusum_k>=0|window,False,cusum_k>=0,window,True,"{""k"": 0.0, ""thr"": 9.667232799530039, ""q_min"": 0.0}",5.0,48,42.1,80,46.4,177,70.7,116,41.5,38,-11.3,177,70.7,
1064,491,573,0.8705673758865248,0.46146616541353386,15.0,491,573,0.8705673758865248,487,464,0.8634751773049646,477,375,0.8457446808510638,435,272,0.7712765957446809,335,189,0.5939716312056738,external_8b,cusum_k>=0|window,False,cusum_k>=0,window,True,"{""k"": 0.0, ""thr"": 9.667232799530039, ""q_min"": 0.0}",5.0,67,63.2,107,73.7,97,90.9,161,80.3,61,4.6,97,90.9,
847,441,406,0.9055441478439425,0.5206611570247934,14.0,441,406,0.9055441478439425,439,375,0.9014373716632443,424,320,0.8706365503080082,315,288,0.6468172484599589,249,241,0.5112936344969199,development_main,kofm|window,False,kofm,window,True,"{""K"": 8.0, ""M"": 12.0, ""thr"": 0.4246377646923065, ""q_min"": 0.0}",6.0,80,78.0,115,79.7,202,85.7,93,-12.1,27,-61.3,202,85.7,
939,505,434,0.8953900709219859,0.5378061767838126,16.0,505,434,0.8953900709219859,503,396,0.8918439716312057,493,372,0.874113475177305,405,331,0.7180851063829787,310,283,0.549645390070922,external_8b,kofm|window,False,kofm,window,True,"{""K"": 8.0, ""M"": 12.0, ""thr"": 0.4246377646923065, ""q_min"": 0.0}",6.0,125,100.9,123,110.5,113,107.8,131,32.3,36,-48.8,113,107.8,
789,351,438,0.7207392197125256,0.4448669201520912,25.0,351,438,0.7207392197125256,347,372,0.7125256673511293,294,319,0.6036960985626283,222,273,0.45585215605749485,220,183,0.4517453798767967,development_main,single|window,False,single,window,True,"{""thr"": 0.5079474449157715, ""q_min"": 0.0}",1.0,-10,-14.4,23,-11.0,72,-43.9,0,-99.5,-2,-68.9,72,-43.9,
1096,412,684,0.7304964539007093,0.3759124087591241,25.0,412,684,0.7304964539007093,407,483,0.7216312056737588,361,348,0.6400709219858156,274,278,0.4858156028368794,274,198,0.4858156028368794,external_8b,single|window,False,single,window,True,"{""thr"": 0.5079474449157715, ""q_min"": 0.0}",1.0,-12,-21.5,27,-12.1,87,-16.7,0,-82.5,0,-59.2,87,-16.7,
441,384,57,0.7885010266940452,0.8707482993197279,11.0,384,57,0.7885010266940452,382,52,0.784394250513347,378,46,0.7761806981519507,300,31,0.6160164271047228,189,13,0.38809034907597534,development_main,cusum|v7budget,False,cusum,v7budget,True,"{""k"": -1.0, ""thr"": 40.65532922048826, ""q_min"": 0.0}",5.0,384,258.7,382,168.2,156,145.2,78,68.7,-33,-37.4,156,145.2,
531,457,74,0.8102836879432624,0.8606403013182674,13.0,457,74,0.8102836879432624,457,71,0.8102836879432624,450,63,0.7978723404255319,345,49,0.6117021276595744,235,23,0.4166666666666667,external_8b,cusum|v7budget,False,cusum,v7budget,True,"{""k"": -1.0, ""thr"": 40.65532922048826, ""q_min"": 0.0}",5.0,457,272.7,183,179.0,176,164.7,71,58.5,-39,-45.3,176,164.7,
