channel,const_frac,switch_rate,n_distinct,dead,best_excess,sign,thr,tp_lead4,fp_lead4,tp_lead0,fp_lead0,median_lead
hb:flow_endpoint:L14:-,0.0,1.0,218742,False,-164,-1,1.9173335409164434,58.0,118.0,58.0,121.0,19.0
flow:state_mobility:L4:s6,0.0,0.9138062719608373,189680,False,-164,1,4.4197007656097425,58.0,106.0,61.0,119.0,14.0
hb:flow_settling_log_ratio:L2:-,0.0,0.9999948024948025,216312,False,-164,1,2.9877112960815433,58.0,94.0,65.0,111.0,8.0
flow:state_mobility:L4:s3,0.0,0.9138089216693693,189674,False,-164,1,4.419657974243166,58.0,106.0,61.0,119.0,14.0
flow:state_mobility:L4:sm,0.0,0.9138089216693693,199017,False,-164,1,4.419713563919069,58.0,106.0,61.0,119.0,14.0
flow:state_mobility:L4:s9,0.0,0.9138089216693693,189591,False,-164,1,4.419641523361207,58.0,106.0,61.0,119.0,14.0
flow:state_mobility:L4:s0,0.0,0.9138075968151033,189640,False,-164,1,4.419576377868654,58.0,106.0,61.0,119.0,14.0
hb:flow_endpoint:L12:-,0.0,1.0,219022,False,-165,-1,1.8342705059051516,57.0,111.0,57.0,137.0,14.0
chan:query_hard_churn_d9:L14:-,0.0,0.89279128829717,750,False,-166,-1,4.706806182861328,56.0,105.0,61.0,111.0,18.0
flow:token_entropy:L15:s9,0.0,0.9999454331074461,59862,False,-166,-1,4.522213745117194,56.0,93.0,68.0,136.0,9.5
flow:token_entropy:L12:s9,0.0,0.9999357645279247,52404,False,-166,1,1.586538436412812,56.0,89.0,61.0,93.0,14.0
flow:token_entropy:L13:s9,0.0,0.9999627621759976,54554,False,-167,1,1.646739795207978,55.0,107.0,55.0,118.0,12.0
chan:hb_entropy_action:L12:-,0.0,0.9946947249561374,1064,False,-167,1,1.4804415702819824,55.0,94.0,70.0,104.0,12.0
chan:query_top1_churn:L5:-,0.0,0.8642615350163922,57,False,-167,-1,3.990249123573303,55.0,145.0,56.0,154.0,33.5
flow:action_consensus:L15:s9,0.0,0.9999673086194026,69847,False,-168,-1,6.273513736724857,54.0,99.0,61.0,151.0,12.0
flow:token_differentiation:L15:s9,0.0,0.9999427395934749,50923,False,-168,1,6.842084121704119,54.0,103.0,59.0,155.0,13.0
flow:mobility:L5:s6,0.0,0.9138089216693693,204487,False,-168,-1,2.0319681453704836,54.0,115.0,56.0,124.0,9.0
chan:query_hard_churn_d9:L15:-,0.0,0.8928117225255395,743,False,-168,-1,4.651943683624268,54.0,110.0,54.0,123.0,16.5
hb:action_consensus:L15:-,0.0,0.9999852256961432,68117,False,-168,-1,6.273509273529055,54.0,99.0,61.0,151.0,12.0
chan:query_hard_churn_d9:L13:-,0.0,0.8928486217110728,749,False,-169,-1,4.66363124847414,53.0,130.0,59.0,132.0,15.0
flow:token_entropy:L2:s9,0.0,0.9998759952445746,27294,False,-169,1,1.9139676260948182,53.0,86.0,56.0,98.0,8.0
flow:token_entropy:L13:s3,0.0,0.9999072883827798,29401,False,-169,1,1.4709819030761724,53.0,104.0,55.0,110.0,12.0
hb:conditional_query_d1:L13:-,0.0,0.9138089216693693,206295,False,-171,-1,1.2483413696289065,51.0,91.0,51.0,131.0,15.0
flow:flow_speed:L14:s3,0.0,1.0,218333,False,-171,-1,1.7806856560707094,51.0,95.0,51.0,144.0,11.0
hb:action_consensus:L13:-,0.0,0.9999672602150383,67649,False,-172,1,1.538384199142456,50.0,138.0,50.0,154.0,12.5
chan:query_hard_churn_d9:L12:-,0.0,0.8934475436760065,761,False,-172,-1,4.5575361251831055,50.0,118.0,55.0,141.0,15.0
flow:action_consensus:L13:s9,0.0,0.9999609609052333,69220,False,-172,1,1.538346757888794,50.0,137.0,50.0,153.0,12.5
chan:query_hard_churn:L5:-,0.0,0.9134715414572215,9893,False,-172,-1,3.561393961906434,50.0,122.0,54.0,132.0,11.5
flow:token_differentiation:L13:s9,0.0,0.9999474459959291,50495,False,-172,-1,1.5370244169235232,50.0,139.0,50.0,154.0,12.0
flow:flow_speed:L12:s6,0.0,1.0,219194,False,-173,-1,1.7115407538414003,49.0,111.0,50.0,159.0,12.0
flow:token_entropy:L12:s3,0.0,0.9998914164610256,28423,False,-174,1,1.3959807443618777,48.0,137.0,59.0,150.0,11.0
chan:tie_margin:L14:-,0.0,0.9991372190691542,3704,False,-174,-1,1.7625693368911748,48.0,116.0,50.0,133.0,18.5
chan:tie_margin:L13:-,0.0,0.9990744089410719,4012,False,-174,-1,1.7314621949195863,48.0,132.0,49.0,146.0,14.0
chan:hb_entropy_action:L13:-,0.0,0.9953461466722151,1235,False,-175,1,1.56583571434021,47.0,93.0,51.0,98.0,20.0
chan:query_hard_churn:L3:-,0.0,0.9134257783566334,8595,False,-175,-1,3.4610764598846453,47.0,123.0,59.0,135.0,8.0
hb:partial_query_d1:L12:-,0.0,0.9138089216693693,206264,False,-176,-1,1.44980530500412,46.0,157.0,46.0,158.0,47.0
hb:conditional_query_d1:L14:-,0.0,0.9138089216693693,206307,False,-176,-1,1.2181615900993348,46.0,120.0,46.0,150.0,16.5
flow:conditional_energy:L14:s9,0.0,1.0,217801,False,-177,1,5.076783876419068,45.0,145.0,45.0,151.0,21.0
chan:query_hard_churn_d9:L3:-,0.0,0.9015984600506135,763,False,-177,-1,3.641580758094795,45.0,136.0,51.0,157.0,17.0
flow:state_action_alignment:L14:s9,0.0,0.999991554054054,136298,False,-177,-1,5.140683717727668,45.0,145.0,45.0,151.0,21.0
hb:conditional_energy:L14:-,0.0,1.0,217762,False,-177,1,5.076782989501954,45.0,145.0,45.0,151.0,21.0
hb:state_action_alignment:L14:-,0.0,0.9999902291997881,132463,False,-177,-1,5.14070199012757,45.0,145.0,45.0,151.0,21.0
hb:flow_endpoint:L13:-,0.0,1.0,218867,False,-177,-1,1.8779005289077761,45.0,130.0,45.0,137.0,11.0
chan:query_top1_churn:L13:-,0.0002027027027027027,0.8340551094964126,86,False,-177,-1,5.419731988906877,45.0,131.0,47.0,141.0,18.0
flow:token_entropy:L12:s0,0.0,0.9997833511270716,23481,False,-177,1,1.3983633565902713,45.0,111.0,62.0,127.0,7.5
flow:state_mobility:L13:s0,0.0,0.9138008400583466,165870,False,-177,-1,2.4708329200744634,45.0,91.0,47.0,100.0,18.0
flow:state_mobility:L13:s3,0.0,0.9138049471065712,166011,False,-178,-1,2.471608982086185,44.0,92.0,46.0,101.0,18.0
flow:token_entropy:L14:s0,0.0,0.999797376628186,22928,False,-178,1,1.4040822982788086,44.0,109.0,44.0,118.0,20.0
flow:state_mobility:L5:s6,0.0,0.9138071435754859,192646,False,-178,1,4.651335525512698,44.0,145.0,50.0,157.0,14.0
flow:state_mobility:L5:s9,0.0,0.9138071435754859,192647,False,-178,1,4.651568050384523,44.0,145.0,50.0,157.0,14.0
flow:state_mobility:L5:s0,0.0,0.9138058187212199,192668,False,-178,1,4.651476812362673,44.0,145.0,50.0,157.0,14.0
flow:state_mobility:L5:s3,0.0,0.9138071435754859,192725,False,-178,1,4.6511239528656025,44.0,145.0,50.0,157.0,14.0
flow:state_mobility:L13:s9,0.0,0.9138089216693693,165963,False,-178,-1,2.471416206359864,44.0,91.0,47.0,100.0,18.0
flow:token_entropy:L12:sm,0.0,0.999903243205686,34203,False,-178,1,1.4575886058807375,44.0,126.0,56.0,134.0,11.5
flow:state_mobility:L5:sm,0.0,0.9138071435754859,202479,False,-178,1,4.651358394622805,44.0,145.0,50.0,157.0,14.0
flow:state_mobility:L13:sm,0.0,0.9138089216693693,203355,False,-178,-1,2.472000007629395,44.0,91.0,46.0,100.0,18.0
hb:partial_edge_std:L12:-,0.0,1.0,220569,False,-179,-1,1.7865534400939946,43.0,149.0,43.0,149.0,47.0
chan:query_hard_churn_d9:L2:-,0.0,0.9038647976907701,794,False,-179,1,2.3054275512695312,43.0,84.0,48.0,163.0,13.0
chan:query_hard_churn_d9:L5:-,0.0,0.9031398341497867,787,False,-179,-1,3.756797719001777,43.0,148.0,47.0,162.0,15.0
flow:state_mobility:L13:s6,0.0,0.9138011775807429,166336,False,-179,-1,2.4715688228607213,43.0,91.0,46.0,100.0,18.0
flow:flow_speed:L13:s3,0.0,1.0,218737,False,-179,-1,1.7568663048744202,43.0,139.0,44.0,161.0,12.0
flow:token_entropy:L13:sm,0.0,0.9998873028739558,35412,False,-181,1,1.5315946340560913,41.0,106.0,45.0,110.0,20.0
hb:conditional_query_d1:L5:-,0.0,0.9138089216693693,206555,False,-181,1,5.45332344055176,41.0,146.0,48.0,162.0,14.0
chan:query_top1_churn:L4:-,0.0,0.8627988573837344,52,False,-181,-1,3.944960355758667,41.0,148.0,45.0,160.0,15.0
chan:query_hard_churn:L4:-,0.0,0.9134232301636347,9183,False,-181,-1,3.4828162384033217,41.0,128.0,50.0,137.0,11.5
chan:denoise_hard_churn:L4:-,0.0,0.9983348971148761,4066,False,-182,-1,3.022598404884339,40.0,108.0,43.0,174.0,12.0
flow:mobility:L2:s9,0.0,0.9138089216693693,204910,False,-182,-1,2.1019944524765024,40.0,123.0,40.0,152.0,10.5
flow:conditional_energy:L13:s3,0.0,1.0,218091,False,-183,-1,1.7956463050842293,39.0,120.0,45.0,139.0,27.0
flow:state_action_alignment:L13:s3,0.0,1.0,141180,False,-183,1,1.7860112833976756,39.0,120.0,45.0,139.0,27.0
chan:query_top1_churn:L12:-,0.0,0.8434623850752396,86,False,-183,-1,5.340670776367216,39.0,144.0,40.0,152.0,10.0
flow:conditional_effective_rank:L12:s6,0.0,1.0,211815,False,-183,-1,1.6886615252494814,39.0,153.0,41.0,155.0,46.0
flow:conditional_energy:L14:s0,0.0,0.9999962462462463,217315,False,-184,1,5.355138711929326,38.0,150.0,40.0,158.0,36.0
flow:state_action_alignment:L14:s0,0.0,0.9999949324324324,128382,False,-184,-1,5.41073655128479,38.0,151.0,40.0,159.0,36.0
flow:mobility:L3:s9,0.0,0.9138089216693693,205121,False,-185,-1,2.008417935371399,37.0,98.0,37.0,140.0,12.0
flow:state_action_alignment:L14:sm,0.0,0.9999863256113256,131773,False,-185,-1,5.2759317016601575,37.0,154.0,38.0,161.0,36.0
flow:conditional_energy:L14:s3,0.0,1.0,217362,False,-185,1,5.283574962615967,37.0,152.0,39.0,160.0,36.0
flow:conditional_energy:L14:sm,0.0,1.0,219853,False,-185,1,5.217529592514041,37.0,153.0,38.0,161.0,36.0
chan:selected_mass:L12:-,0.0,0.9999731286863639,73502,False,-185,-1,1.8039089703559879,37.0,150.0,41.0,155.0,11.0
flow:conditional_energy:L13:s6,0.0,1.0,218164,False,-186,-1,1.7894942235946656,36.0,116.0,42.0,143.0,28.5
