alarms,tp,fp,recall,precision,median_lead,tp_lead0,fp_lead0,recall_lead0,tp_lead2,fp_lead2,recall_lead2,tp_lead4,fp_lead4,recall_lead4,tp_lead8,fp_lead8,recall_lead8,tp_lead12,fp_lead12,recall_lead12,thr,excess_tp,family,k,q_min,K,M
6000,487,5513,1.0,0.08116666666666666,16.0,487,5513,1.0,487,3925,1.0,487,2612,1.0,487,1758,1.0,402,678,0.8254620123203286,43.50261636682459,0,cusum,-3.0,0,,
5447,487,4960,1.0,0.089407013034698,15.0,487,4960,1.0,487,3661,1.0,487,2520,1.0,487,1634,1.0,391,635,0.8028747433264887,44.47912098137108,0,cusum,-3.0,0,,
4945,487,4458,1.0,0.09848331648129424,15.0,487,4458,1.0,487,3369,1.0,487,2439,1.0,487,1477,1.0,375,585,0.7700205338809035,45.76160464673429,0,cusum,-3.0,0,,
4489,487,4002,1.0,0.10848741367787926,15.0,487,4002,1.0,487,3039,1.0,487,2355,1.0,478,1289,0.9815195071868583,358,533,0.7351129363449692,47.39256469417263,0,cusum,-3.0,0,,
4076,487,3589,1.0,0.11947988223748773,14.0,487,3589,1.0,487,2770,1.0,487,2271,1.0,467,1111,0.9589322381930184,340,491,0.6981519507186859,49.071061306515254,0,cusum,-3.0,0,,
3700,487,3213,1.0,0.1316216216216216,14.0,487,3213,1.0,487,2583,1.0,487,2177,1.0,448,959,0.919917864476386,316,457,0.648870636550308,50.752933502197266,0,cusum,-3.0,0,,
3359,487,2872,1.0,0.14498362607919024,13.0,487,2872,1.0,487,2429,1.0,487,2026,1.0,432,813,0.8870636550308009,299,417,0.6139630390143738,52.62586321237925,126,cusum,-3.0,0,,
3050,486,2564,0.997946611909651,0.15934426229508197,13.0,486,2564,0.997946611909651,486,2261,0.997946611909651,483,1760,0.9917864476386037,419,673,0.8603696098562629,285,380,0.5852156057494866,55.09283951166513,122,cusum,-3.0,0,,
2769,484,2285,0.9938398357289527,0.1747923438064283,13.0,484,2285,0.9938398357289527,484,2016,0.9938398357289527,468,1329,0.9609856262833676,406,551,0.8336755646817249,258,344,0.5297741273100616,58.3213497697985,107,cusum,-3.0,0,,
2514,484,2030,0.9938398357289527,0.19252187748607796,12.0,484,2030,0.9938398357289527,477,1688,0.9794661190965093,451,1001,0.9260780287474333,398,489,0.8172484599589322,247,328,0.5071868583162218,61.272130544507824,90,cusum,-3.0,0,,
2282,478,1804,0.9815195071868583,0.20946538124452235,12.0,478,1804,0.9815195071868583,466,1388,0.9568788501026694,430,833,0.8829568788501027,391,452,0.8028747433264887,241,319,0.4948665297741273,63.44897489857029,69,cusum,-3.0,0,,
2072,472,1600,0.9691991786447639,0.2277992277992278,12.0,472,1600,0.9691991786447639,462,1207,0.9486652977412731,422,735,0.86652977412731,383,426,0.7864476386036962,240,313,0.4928131416837782,64.90734802246092,61,cusum,-3.0,0,,
1881,466,1415,0.9568788501026694,0.2477405635300372,12.0,466,1415,0.9568788501026694,455,1068,0.9342915811088296,419,676,0.8603696098562629,375,404,0.7700205338809035,238,313,0.4887063655030801,66.17039832759548,58,cusum,-3.0,0,,
1707,460,1247,0.944558521560575,0.2694786174575278,12.5,460,1247,0.944558521560575,443,943,0.9096509240246407,412,614,0.8459958932238193,366,378,0.7515400410677618,236,310,0.48459958932238195,67.53297157648448,51,cusum,-3.0,0,,
1550,454,1096,0.9322381930184805,0.2929032258064516,12.0,454,1096,0.9322381930184805,431,856,0.8850102669404517,410,572,0.8418891170431212,358,361,0.7351129363449692,234,306,0.4804928131416838,68.84175736195333,49,cusum,-3.0,0,,
1407,445,962,0.9137577002053389,0.31627576403695806,17.0,445,962,0.9137577002053389,420,768,0.8624229979466119,410,540,0.8418891170431212,353,351,0.7248459958932238,231,298,0.47433264887063653,70.18983441842569,49,cusum,-3.0,0,,
1278,431,847,0.8850102669404517,0.33724569640062596,27.0,431,847,0.8850102669404517,416,686,0.8542094455852156,409,511,0.839835728952772,347,338,0.7125256673511293,229,291,0.4702258726899384,71.81356071987668,48,cusum,-3.0,0,,
1160,419,741,0.8603696098562629,0.3612068965517241,27.0,419,741,0.8603696098562629,413,615,0.8480492813141683,409,477,0.839835728952772,323,326,0.6632443531827515,228,284,0.4681724845995893,73.62061491270326,48,cusum,-3.0,0,,
1053,414,639,0.8501026694045175,0.39316239316239315,26.0,414,639,0.8501026694045175,410,554,0.8418891170431212,409,436,0.839835728952772,296,323,0.6078028747433265,227,274,0.46611909650924027,75.90875905939052,48,cusum,-3.0,0,,
