cohort,mode,family,n_tie_cells,n_episodes_lost_with_strict_gt,n_episodes_delayed_with_strict_gt
development_main,window,cusum,0,0,0
external_8b,window,cusum,0,0,0
development_main,window,cusum_k>=0,0,0,0
external_8b,window,cusum_k>=0,0,0,0
development_main,window,kofm,2184,292,555
external_8b,window,kofm,2501,288,651
development_main,window,single,490,16,50
external_8b,window,single,626,13,47
development_main,v7budget,cusum,0,0,0
external_8b,v7budget,cusum,0,0,0
development_main,v7budget,cusum_k>=0,0,0,0
external_8b,v7budget,cusum_k>=0,0,0,0
development_main,v7budget,kofm,4671,1121,0
external_8b,v7budget,kofm,5612,1201,0
development_main,v7budget,single,307,123,184
external_8b,v7budget,single,401,119,282
