ci,arm_i,win_tp,win_fp,win_excess,win_sign,win_k,win_thr,win_lead,v7dev_tp,v7dev_fp,v7dev_excess,v7dev_sign,v7dev_k,v7dev_thr,v7dev_lead,v7ext_tp,v7ext_fp,v7ext_excess,v7ext_sign,v7ext_k,v7ext_thr,v7ext_lead,fp80_tp,fp80_fp,fp80_excess,fp80_sign,fp80_k,fp80_thr,fp80_lead,channel,arm
486,1,352,319,130,-1,0.0,10.257005019123499,12.0,164,35,-58,-1,0.75,10.521565875491568,8.0,209,54,-13,-1,0.0,20.077793382696164,7.0,226,71,4,-1,0.0,18.32185446558773,8.0,chan:query_hard_churn:L15:-,self
488,1,345,307,123,-1,0.0,10.392206288930531,13.0,209,34,-13,-1,0.0,20.61148542120652,10.0,217,50,-5,-1,0.0,19.37036135493096,10.0,234,68,12,-1,0.0,17.887951868418106,11.0,chan:query_top1_churn:L15:-,self
423,1,341,264,119,-1,0.0,10.691602960792743,11.0,164,33,-58,-1,0.0,20.67547117903427,6.0,201,41,-21,-1,0.0,19.06918283462524,6.0,224,59,2,-1,0.0,17.470778790035766,7.0,chan:query_hard_churn:L14:-,self
297,1,341,279,119,-1,0.0,10.759613727105627,11.0,179,31,-43,-1,0.0,20.31972832138481,7.0,213,42,-9,-1,0.0,18.2966766156377,8.0,265,76,43,-1,0.0,15.32738535468643,8.0,chan:query_hard_churn:L12:-,self
360,1,341,276,119,-1,0.0,10.801802116084742,11.0,195,32,-27,-1,0.0,20.37497122377964,7.0,219,44,-3,-1,0.0,18.904816436767536,8.0,255,79,33,-1,0.0,15.961255862906182,8.5,chan:query_hard_churn:L13:-,self
488,0,335,262,113,-1,0.0,12.199862773998365,13.0,186,34,-36,-1,0.0,22.869407246563885,10.0,201,45,-21,-1,0.0,21.18147240535634,10.5,233,79,11,-1,0.0,18.320277283127254,11.0,chan:query_top1_churn:L15:-,raw
362,1,328,279,106,-1,0.0,10.5504085491799,11.0,176,37,-46,-1,0.0,18.863489468033258,7.5,199,49,-23,-1,0.0,17.554807885659674,8.0,223,64,1,-1,0.0,16.395185660284927,9.0,chan:query_top1_churn:L13:-,self
527,1,325,314,103,-1,0.0,9.353616277333854,14.0,158,33,-64,-1,0.5,12.709618180506924,7.0,177,45,-45,-1,0.0,18.192437352618768,10.0,193,56,-29,-1,0.0,16.8196360051954,10.0,deriv:log_state_mobility:L13:sm,self
525,1,324,314,102,-1,0.0,9.366546312280605,14.0,157,32,-65,-1,0.0,20.46190710840996,9.0,176,45,-46,-1,0.0,18.194117578558128,10.0,193,56,-29,-1,0.0,16.809795184264303,10.0,deriv:log_state_mobility:L13:s9,self
538,1,323,296,101,-1,0.0,9.736626414286144,14.0,154,30,-68,-1,0.0,20.961341017645736,9.0,168,44,-54,-1,0.25,15.082649644258913,7.0,204,76,-18,-1,0.0,16.136518137132835,10.5,deriv:log_state_mobility:back:s9,self
