alarms,tp,fp,recall,precision,median_lead,tp_lead0,fp_lead0,recall_lead0,tp_lead2,fp_lead2,recall_lead2,tp_lead4,fp_lead4,recall_lead4,tp_lead8,fp_lead8,recall_lead8,tp_lead12,fp_lead12,recall_lead12,thr,excess_tp,family,k,q_min,K,M
6000,487,5513,1.0,0.08116666666666666,18.0,487,5513,1.0,487,4285,1.0,487,2969,1.0,487,1938,1.0,412,839,0.8459958932238193,41.36432957004856,0,cusum,-3.0,0,,
5447,487,4960,1.0,0.089407013034698,18.0,487,4960,1.0,487,3907,1.0,487,2777,1.0,487,1817,1.0,408,730,0.837782340862423,42.80986933476216,0,cusum,-3.0,0,,
4945,487,4458,1.0,0.09848331648129424,17.0,487,4458,1.0,487,3547,1.0,487,2633,1.0,487,1663,1.0,399,632,0.8193018480492813,44.22132310222935,0,cusum,-3.0,0,,
4489,487,4002,1.0,0.10848741367787926,17.0,487,4002,1.0,487,3221,1.0,487,2475,1.0,487,1491,1.0,393,559,0.8069815195071869,45.83798741160212,0,cusum,-3.0,0,,
4076,487,3589,1.0,0.11947988223748773,17.0,487,3589,1.0,487,2983,1.0,487,2349,1.0,484,1254,0.9938398357289527,388,507,0.7967145790554415,47.502171636014374,0,cusum,-3.0,0,,
3700,487,3213,1.0,0.1316216216216216,17.0,487,3213,1.0,487,2724,1.0,487,2187,1.0,482,1093,0.9897330595482546,384,448,0.7885010266940452,49.30301380157471,0,cusum,-3.0,0,,
3359,487,2872,1.0,0.14498362607919024,16.0,487,2872,1.0,487,2495,1.0,487,1983,1.0,477,903,0.9794661190965093,378,406,0.7761806981519507,51.506541071195834,126,cusum,-3.0,0,,
3050,487,2563,1.0,0.15967213114754097,16.0,487,2563,1.0,487,2261,1.0,487,1798,1.0,470,719,0.9650924024640657,365,371,0.7494866529774127,53.93727556434837,126,cusum,-3.0,0,,
2769,487,2282,1.0,0.1758757674250632,15.0,487,2282,1.0,487,2030,1.0,487,1485,1.0,459,573,0.9425051334702259,343,351,0.704312114989733,56.605604921547155,126,cusum,-3.0,0,,
2514,487,2027,1.0,0.19371519490851233,15.0,487,2027,1.0,487,1773,1.0,487,1153,1.0,443,482,0.9096509240246407,314,339,0.6447638603696099,59.605518408594904,126,cusum,-3.0,0,,
2282,487,1795,1.0,0.21340929009640666,14.0,487,1795,1.0,487,1476,1.0,487,891,1.0,431,428,0.8850102669404517,299,327,0.6139630390143738,62.410796553637525,126,cusum,-3.0,0,,
2072,487,1585,1.0,0.23503861003861004,14.0,487,1585,1.0,487,1259,1.0,487,737,1.0,426,396,0.8747433264887063,290,322,0.5954825462012321,64.4919400024414,126,cusum,-3.0,0,,
1881,487,1394,1.0,0.25890483785220625,13.0,487,1394,1.0,487,1077,1.0,487,633,1.0,415,384,0.8521560574948666,278,314,0.5708418891170431,66.26845334181914,126,cusum,-3.0,0,,
1707,487,1220,1.0,0.28529584065612185,13.0,487,1220,1.0,487,945,1.0,486,567,0.997946611909651,406,377,0.8336755646817249,270,310,0.5544147843942505,67.7706449678782,125,cusum,-3.0,0,,
1550,487,1063,1.0,0.3141935483870968,13.0,487,1063,1.0,487,806,1.0,484,516,0.9938398357289527,391,359,0.8028747433264887,267,302,0.5482546201232033,69.3475400563833,123,cusum,-3.0,0,,
1407,487,920,1.0,0.3461265103056148,12.0,487,920,1.0,487,686,1.0,484,474,0.9938398357289527,378,353,0.7761806981519507,258,290,0.5297741273100616,71.18425663922284,123,cusum,-3.0,0,,
1278,487,791,1.0,0.3810641627543036,12.0,487,791,1.0,487,619,1.0,482,449,0.9897330595482546,366,341,0.7515400410677618,257,283,0.5277207392197125,72.55456056955697,121,cusum,-3.0,0,,
1160,487,673,1.0,0.41982758620689653,12.0,487,673,1.0,487,540,1.0,480,419,0.9856262833675564,344,337,0.7063655030800822,246,263,0.5051334702258727,74.45332128163932,119,cusum,-3.0,0,,
1053,487,566,1.0,0.4624881291547958,11.0,487,566,1.0,487,489,1.0,472,398,0.9691991786447639,329,326,0.675564681724846,240,237,0.4928131416837782,76.61918510643211,111,cusum,-3.0,0,,
956,487,469,1.0,0.5094142259414226,11.0,487,469,1.0,486,417,0.997946611909651,458,373,0.9404517453798767,311,303,0.6386036960985626,233,175,0.4784394250513347,80.17878889754012,134,cusum,-3.0,0,,
