cohort,arm,tp_libero_goal,risk_libero_goal,tp_libero_long,risk_libero_long,tp_libero_object,risk_libero_object,tp_libero_spatial,risk_libero_spatial
development_main,cusum|window,100,102,221,222,36,37,126,126
external_8b,cusum|window,97,106,271,274,43,44,140,140
development_main,cusum_k>=0|window,90,102,149,222,34,37,126,126
external_8b,cusum_k>=0|window,85,106,210,274,42,44,140,140
development_main,kofm|window,94,102,178,222,36,37,116,126
external_8b,kofm|window,93,106,228,274,40,44,132,140
development_main,single|window,72,102,222,222,0,37,0,126
external_8b,single|window,87,106,274,274,0,44,0,140
development_main,cusum|v7budget,5,102,211,222,36,37,126,126
external_8b,cusum|v7budget,8,106,261,274,41,44,140,140
development_main,cusum_k>=0|v7budget,16,102,114,222,36,37,126,126
external_8b,cusum_k>=0|v7budget,16,106,159,274,42,44,140,140
development_main,kofm|v7budget,27,102,137,222,34,37,119,126
external_8b,kofm|v7budget,28,106,180,274,39,44,131,140
development_main,single|v7budget,0,102,222,222,0,37,0,126
external_8b,single|v7budget,0,106,274,274,0,44,0,140
development_main,v7_guard,57,102,184,222,20,37,42,126
external_8b,v7_guard,63,106,234,274,18,44,32,140
development_main,still_running_q37,0,102,222,222,0,37,0,126
external_8b,still_running_q37,0,106,274,274,0,44,0,140
