view,curve,phase,c1_mean_rank,non_c1_mean_rank,noise_mean_rank,c0_mean_rank,c1_minus_non_c1
full,point,0.5,0.8142219387755102,0.4667454103671706,0.4706910792951542,0.2677083333333333,0.3474765284083396
full,point,0.5555555555555556,0.8459821428571429,0.4633841792656587,0.46773127753303967,0.24409722222222222,0.3825979635914842
full,point,0.6111111111111112,0.8577168367346939,0.46214227861771057,0.4672907488986784,0.20243055555555556,0.39557455811698333
full,point,0.6666666666666666,0.8561862244897959,0.4623042656587473,0.4675523127753304,0.19756944444444444,0.39388195883104854
full,point,0.7222222222222222,0.8632015306122449,0.4615618250539957,0.46674008810572687,0.20034722222222223,0.40163970555824924
full,point,0.7777777777777778,0.8583545918367347,0.46207478401727864,0.4679102422907489,0.16770833333333332,0.39627980781945604
full,point,0.8333333333333333,0.8552933673469387,0.46239875809935205,0.46836453744493395,0.16145833333333334,0.3928946092475867
full,point,0.8888888888888888,0.8521045918367347,0.46273623110151185,0.4686674008810573,0.16354166666666667,0.38936836073522285
full,point,0.9444444444444444,0.8194515306122448,0.4661919546436285,0.47169603524229076,0.18854166666666666,0.35325957596861635
full,point,1.0,0.793813775510204,0.4689052375809935,0.47374724669603524,0.22465277777777778,0.32490853792921054
full,speed,0.5277777777777778,0.8262117346938775,0.4654765118790497,0.4707736784140969,0.19826388888888888,0.36073522281482784
full,speed,0.5833333333333334,0.8583545918367347,0.46207478401727864,0.467056718061674,0.2107638888888889,0.39627980781945604
full,speed,0.6388888888888888,0.857079081632653,0.46220977321814255,0.46795154185022025,0.17256944444444444,0.39486930841451046
full,speed,0.6944444444444444,0.8619260204081632,0.4616968142548596,0.46784140969162996,0.1517361111111111,0.40022920615330365
full,speed,0.75,0.8617984693877551,0.461710313174946,0.467125550660793,0.18854166666666666,0.4000881562128091
full,speed,0.8055555555555556,0.8505739795918368,0.4628982181425486,0.469011563876652,0.1545138888888889,0.38767576144928817
full,speed,0.861111111111111,0.8450892857142858,0.4634786717062635,0.46989262114537445,0.13993055555555556,0.38161061400802226
