failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,state,back_12_15,6,consensus_distance,0.13636363636363635,0.4090909090909091,-0.27272727272727276,-0.5328289590775966,-0.1666666716337204,0.09803921568627451,1.0,22,22
stagnation,1,state,front_2_5,4,top1_mass,0.18181818181818182,0.45454545454545453,-0.2727272727272727,-0.5567272782325745,-0.05735930865630513,0.09803921568627451,1.0,22,22
stagnation,1,state,front_2_5,5,top1_mass,0.18181818181818182,0.4090909090909091,-0.2272727272727273,-0.5416086986660957,-0.04392292583361268,0.09803921568627451,1.0,22,22
stagnation,1,action,front_2_5,2,top1_mass,0.36363636363636365,0.18181818181818182,0.18181818181818182,-0.08630952527746558,0.44870131015777587,0.1568627450980392,1.0,22,22
stagnation,1,action,front_2_5,8,entropy,0.4090909090909091,0.18181818181818182,0.2272727272727273,0.08601190708577633,0.4183612458407879,0.17647058823529413,1.0,22,22
stagnation,1,state,back_12_15,8,top1_mass,0.2727272727272727,0.09090909090909091,0.1818181818181818,0.04122727233916521,0.31578946113586426,0.17647058823529413,1.0,22,22
stagnation,1,action,front_2_5,8,token_dispersion,0.13636363636363635,0.3181818181818182,-0.18181818181818182,-0.3739880993962288,0.0,0.19607843137254902,1.0,22,22
stagnation,1,action,back_12_15,2,token_dispersion,0.22727272727272727,0.4090909090909091,-0.18181818181818185,-0.4000000059604645,0.12750000394880756,0.21568627450980393,1.0,22,22
stagnation,1,state,back_12_15,7,top1_mass,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.04440993871539831,0.35400001332163805,0.21568627450980393,1.0,22,22
stagnation,1,action,back_12_15,0,consensus_distance,0.22727272727272727,0.4090909090909091,-0.18181818181818185,-0.3333333432674408,0.06812500171363334,0.23529411764705882,1.0,22,22
stagnation,1,action,back_12_15,9,top1_mass,0.2727272727272727,0.13636363636363635,0.13636363636363635,-0.0825833348557353,0.4822368428111075,0.23529411764705882,1.0,22,22
