mode,their_n_all_runs,their_recall,their_median_alarm_phase,their_median_remaining_queries,our_n_external_8b,denominators_differ,our_recall__v7_guard,our_recall__mobility|global,our_recall__expert_load_effective_rank|per_task,our_recall__combo:P-C,our_recall__twotier:WATCH_a3
dropped,548,0.2481751824817518,0.4379084967320261,13.0,241,True,0.7800829875518672,0.2531120331950207,0.8381742738589212,0.9004149377593361,0.7053941908713693
no_grasp,442,0.2941176470588235,0.4285714285714285,13.0,143,True,0.8321678321678322,0.5454545454545454,0.4195804195804196,0.3916083916083916,0.8601398601398601
moved_unmet,200,0.265,0.4285714285714285,14.0,89,True,0.6741573033707865,0.3033707865168539,0.6292134831460674,0.6067415730337079,0.6067415730337079
regressed,65,0.123076923076923,0.3431372549019608,33.5,26,True,0.8461538461538461,0.4615384615384615,0.6538461538461539,0.6923076923076923,0.8076923076923077
timeout_holding,57,0.3684210526315789,0.5185185185185185,17.0,23,True,0.782608695652174,0.391304347826087,0.391304347826087,0.6086956521739131,0.5652173913043478
released_outside,48,0.4375,0.4285714285714285,12.0,25,True,0.64,0.12,0.88,0.96,0.6
no_contact,32,0.3125,0.4313725490196078,13.0,14,True,0.9285714285714286,0.1428571428571428,0.2857142857142857,0.3571428571428571,0.7857142857142857
mechanism,7,0.4285714285714285,0.2941176470588235,36.0,1,True,1.0,1.0,0.0,1.0,1.0
no_progress,4,0.25,0.1724137931034483,24.0,2,True,1.0,1.0,0.0,1.0,1.0
