method,threshold_mode,suite,chunk,episodes_still_running,survival_prior,alarms_at_chunk,alarms_at_chunk_risk,alarms_at_chunk_timely,cumulative_alarms,cumulative_alarms_risk
v4:front_lock,per_task,libero_goal,0,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,1,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,2,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,3,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,4,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,5,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,6,4000,0.0255,0,0,0,0,0
v4:front_lock,per_task,libero_goal,7,3879,0.026295436968290797,0,0,0,0,0
v4:front_lock,per_task,libero_goal,8,3195,0.03192488262910798,0,0,0,0,0
v4:front_lock,per_task,libero_goal,9,2027,0.05032067094227923,1,1,0,1,1
v4:front_lock,per_task,libero_goal,10,1666,0.061224489795918366,0,0,0,1,1
v4:front_lock,per_task,libero_goal,11,1648,0.061893203883495146,0,0,0,1,1
v4:front_lock,per_task,libero_goal,12,1373,0.07428987618353969,0,0,0,1,1
v4:front_lock,per_task,libero_goal,13,810,0.1259259259259259,0,0,0,1,1
v4:front_lock,per_task,libero_goal,14,585,0.17435897435897435,0,0,0,1,1
v4:front_lock,per_task,libero_goal,15,503,0.20278330019880716,3,3,0,4,4
v4:front_lock,per_task,libero_goal,16,484,0.21074380165289255,15,15,0,19,19
v4:front_lock,per_task,libero_goal,17,459,0.2222222222222222,4,4,0,23,23
v4:front_lock,per_task,libero_goal,18,301,0.3388704318936877,1,1,0,24,24
v4:front_lock,per_task,libero_goal,19,172,0.5930232558139535,2,2,0,26,26
v4:front_lock,per_task,libero_goal,20,129,0.7906976744186046,1,1,0,27,27
v4:front_lock,per_task,libero_goal,21,118,0.864406779661017,0,0,0,27,27
v4:front_lock,per_task,libero_goal,22,112,0.9107142857142857,3,2,1,30,29
v4:front_lock,per_task,libero_goal,23,107,0.9532710280373832,0,0,0,30,29
v4:front_lock,per_task,libero_goal,24,107,0.9532710280373832,3,3,0,33,32
v4:front_lock,per_task,libero_goal,25,105,0.9714285714285714,24,24,0,57,56
v4:front_lock,per_task,libero_goal,26,103,0.9902912621359223,7,7,0,64,63
v4:front_lock,per_task,libero_goal,27,102,1.0,2,2,0,66,65
v4:front_lock,per_task,libero_goal,28,102,1.0,1,1,0,67,66
v4:front_lock,per_task,libero_goal,29,102,1.0,2,2,0,69,68
v4:front_lock,per_task,libero_long,0,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,1,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,2,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,3,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,4,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,5,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,6,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,7,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,8,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,9,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,10,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,11,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,12,2800,0.07928571428571428,0,0,0,0,0
v4:front_lock,per_task,libero_long,13,2800,0.07928571428571428,1,0,1,1,0
v4:front_lock,per_task,libero_long,14,2799,0.07931404072883172,0,0,0,1,0
v4:front_lock,per_task,libero_long,15,2778,0.07991360691144708,1,0,1,2,0
v4:front_lock,per_task,libero_long,16,2719,0.08164766458256711,2,0,2,4,0
v4:front_lock,per_task,libero_long,17,2632,0.08434650455927052,1,0,1,5,0
