left,right,pooled_tp_left,pooled_tp_right,tasks_agreeing_with_pooled_sign,tasks_opposing,tasks_tied,n_tasks
baseline:length_only_task_devcal@fpr0.005,v7_guard,564,439,26,0,13,39
baseline:length_only_task_devcal@fpr0.005,v4_dual_regime,564,410,24,0,15,39
baseline:length_only_task_devcal@fpr0.005,combo:P-C,564,391,11,0,28,39
baseline:length_only_task_devcal@fpr0.005,combo:G-A,564,288,27,0,12,39
baseline:length_only_task_devcal@fpr0.005,mobility|global,564,195,28,0,11,39
baseline:length_only_task_devcal@fpr0.005,expert_load_effective_rank|per_task,564,370,18,0,21,39
baseline:length_only_task_devcal@fpr0.005,twotier:WATCH_a3,564,410,17,0,22,39
baseline:length_only_task_devcal@fpr0.005,twotier:ACT_b,564,146,29,0,10,39
baseline:length_only_task_devcal@fpr0.005,prior:HB_MoE_top4churn@qfpr1pct,564,131,35,0,4,39
v7_guard,v4_dual_regime,439,410,6,15,18,39
combo:P-C,expert_load_effective_rank|per_task,391,370,14,3,22,39
combo:G-A,mobility|global,288,195,12,10,17,39
twotier:WATCH_a3,twotier:WATCH_a1,410,349,19,0,20,39
mobility|global,mobility|per_task,195,272,23,3,13,39
prior:HB_MoE_top4churn@qfpr1pct,mobility|global,131,195,14,16,9,39
