method,family,threshold_mode,runtime_task_identity,config,source,alarms,tp,fp,precision,recall,timely_fpr,mean_matched_prior,lift,published_tp,published_fp,reproduces_published,alarms_on_timely_success,alarms_on_late_success_plus10,alarms_on_persistent_failure,recall_persistent,recall_late,mode_dropped_n,mode_dropped_hit,mode_dropped_recall,mode_dropped_persistent_n,mode_no_grasp_n,mode_no_grasp_hit,mode_no_grasp_recall,mode_no_grasp_persistent_n,mode_moved_unmet_n,mode_moved_unmet_hit,mode_moved_unmet_recall,mode_moved_unmet_persistent_n,mode_regressed_n,mode_regressed_hit,mode_regressed_recall,mode_regressed_persistent_n,mode_released_outside_n,mode_released_outside_hit,mode_released_outside_recall,mode_released_outside_persistent_n,mode_no_contact_n,mode_no_contact_hit,mode_no_contact_recall,mode_no_contact_persistent_n,mode_timeout_holding_n,mode_timeout_holding_hit,mode_timeout_holding_recall,mode_timeout_holding_persistent_n,mode_mechanism_n,mode_mechanism_hit,mode_mechanism_recall,mode_mechanism_persistent_n,mode_no_progress_n,mode_no_progress_hit,mode_no_progress_recall,mode_no_progress_persistent_n,worst_mode_recall,worst_mode_name,mean_mode_recall,modes_scored_n,alarm_chunk_q25,alarm_chunk_median,alarm_chunk_q75,remaining_budget_q25,remaining_budget_median,remaining_budget_q75,matched_prior_q25,matched_prior_median,matched_prior_q75,lead_median,early_tp,early_fp,early_precision,early_share_of_tp,budget0_tp,budget0_fp,budget0_precision,budget2_tp,budget2_fp,budget2_precision,budget4_tp,budget4_fp,budget4_precision,budget8_tp,budget8_fp,budget8_precision,budget12_tp,budget12_fp,budget12_precision,budget_won,budget_ceiling,frac_of_ceiling,avg_budget_per_tp,budget_wasted_fp,gain_per_loss,missed_risks,miss_dropped,miss_no_grasp,miss_moved_unmet,miss_regressed,miss_released_outside,miss_no_contact,miss_timeout_holding,miss_mechanism,miss_no_progress,missed_persistent,missed_late
v4:front_lock,v4_layer_lock,per_task,True,front_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,276,240,36,0.8695652173913043,0.425531914893617,0.0023942537909018356,0.6236602119207122,1.3942932397647563,240.0,36.0,True,36,17,223,0.42638623326959846,0.4146341463414634,241,137,0.5684647302904564,231,143,31,0.21678321678321677,136,89,35,0.39325842696629215,83,26,10,0.38461538461538464,26,25,8,0.32,24,14,4,0.2857142857142857,14,23,12,0.5217391304347826,8,1,1,1.0,1,2,2,1.0,0,0.21678321678321677,no_grasp,0.3843678821149169,7,16.0,20.0,26.0,3.0,7.5,20.0,0.212,0.8936423841059602,0.9814814814814815,5.0,62,24,0.7209302325581395,0.25833333333333336,240,36,0.8695652173913043,194,36,0.8434782608695652,166,35,0.8258706467661692,105,33,0.7608695652173914,93,31,0.75,2754,17792,0.1547886690647482,11.475,979,2.8130745658835545,324,104,112,54,16,17,10,11,0,0,300,24
v4:back_lock,v4_layer_lock,per_task,True,back_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,555,409,146,0.736936936936937,0.725177304964539,0.00971002926310189,0.5250742644682098,1.4034908713023664,409.0,146.0,True,146,27,382,0.7304015296367112,0.6585365853658537,241,190,0.7883817427385892,231,143,106,0.7412587412587412,136,89,54,0.6067415730337079,83,26,20,0.7692307692307693,26,25,14,0.56,24,14,4,0.2857142857142857,14,23,18,0.782608695652174,8,1,1,1.0,1,2,2,1.0,0,0.2857142857142857,no_contact,0.6477051153754667,7,17.0,21.0,32.0,5.0,15.0,28.0,0.09028006589785832,0.4910394265232975,0.9557383470426949,12.0,70,121,0.36649214659685864,0.17114914425427874,409,146,0.736936936936937,359,146,0.7108910891089109,325,145,0.6914893617021277,225,139,0.6181318681318682,208,134,0.6081871345029239,5155,17792,0.2897369604316547,12.603911980440097,4009,1.285856822150162,155,51,37,35,6,11,10,5,0,0,141,14
v4:all_lock,v4_layer_lock,per_task,True,all_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,458,382,76,0.834061135371179,0.6773049645390071,0.005054535780792764,0.5793810303810997,1.4395727364814797,382.0,76.0,True,76,26,356,0.6806883365200764,0.6341463414634146,241,174,0.7219917012448133,231,143,103,0.7202797202797203,136,89,53,0.5955056179775281,83,26,16,0.6153846153846154,26,25,12,0.48,24,14,4,0.2857142857142857,14,23,17,0.7391304347826086,8,1,1,1.0,1,2,2,1.0,0,0.2857142857142857,no_contact,0.5940009107690817,7,17.25,24.0,33.0,4.0,14.0,20.0,0.212,0.4963768115942029,0.9655172413793104,13.0,65,52,0.5555555555555556,0.17015706806282724,382,76,0.834061135371179,335,76,0.8150851581508516,303,76,0.7994722955145118,214,72,0.7482517482517482,198,68,0.7443609022556391,4818,17792,0.2707958633093525,12.612565445026178,2055,2.3445255474452553,182,67,40,36,10,13,10,6,0,0,167,15
v4:L5_switching,v4_layer_lock,per_task,True,L5 | high | w4 | k8 | q0.80,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,39,34,5,0.8717948717948718,0.06028368794326241,0.00033253524873636604,0.5912943010533122,1.4743840254199732,34.0,5.0,True,5,1,33,0.06309751434034416,0.024390243902439025,241,15,0.06224066390041494,231,143,4,0.027972027972027972,136,89,9,0.10112359550561797,83,26,0,0.0,26,25,5,0.2,24,14,0,0.0,14,23,1,0.043478260869565216,8,1,0,0.0,1,2,0,0.0,0,0.0,regressed,0.06211636403537516,7,15.0,21.0,26.0,6.0,8.0,14.0,0.20423892100192678,0.7333333333333333,0.885752688172043,7.0,11,2,0.8461538461538461,0.3235294117647059,34,5,0.8717948717948718,32,5,0.8648648648648649,29,5,0.8529411764705882,15,5,0.75,12,4,0.75,284,17792,0.01596223021582734,8.352941176470589,83,3.4216867469879517,530,226,139,80,26,20,14,22,1,2,490,40
v4_dual_regime,v4_layer_lock,per_task,True,all_median lock q0.75 OR L5 instability q0.80,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,491,410,81,0.835030549898167,0.7269503546099291,0.00538707102952913,0.5753389203059673,1.4513715662658364,410.0,81.0,True,81,27,383,0.7323135755258127,0.6585365853658537,241,186,0.7717842323651453,231,143,106,0.7412587412587412,136,89,61,0.6853932584269663,83,26,16,0.6153846153846154,26,25,16,0.64,24,14,4,0.2857142857142857,14,23,18,0.782608695652174,8,1,1,1.0,1,2,2,1.0,0,0.2857142857142857,no_contact,0.6460205469717041,7,17.0,23.0,33.0,4.0,14.0,19.0,0.212,0.4963768115942029,0.9601538091804854,12.0,76,54,0.5846153846153846,0.18536585365853658,410,81,0.835030549898167,364,81,0.8179775280898877,330,81,0.8029197080291971,229,77,0.7483660130718954,210,72,0.7446808510638298,5092,17792,0.28619604316546765,12.419512195121952,2138,2.381665107577175,154,55,37,28,10,9,10,5,0,0,140,14
v7:freeze,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'relative_freeze', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,402,343,59,0.8532338308457711,0.6081560283687943,0.003923915935089119,0.5796699742896846,1.4719303546665599,343.0,59.0,True,59,25,318,0.6080305927342257,0.6097560975609756,241,142,0.5892116182572614,231,143,100,0.6993006993006993,136,89,48,0.5393258426966292,83,26,18,0.6923076923076923,26,25,11,0.44,24,14,5,0.35714285714285715,14,23,16,0.6956521739130435,8,1,1,1.0,1,2,2,1.0,0,0.35714285714285715,no_contact,0.5732772690883119,7,19.0,25.0,32.0,4.0,16.0,20.0,0.43630573248407645,0.48841354723707664,0.9655172413793104,14.0,51,39,0.5666666666666667,0.14868804664723032,343,59,0.8532338308457711,300,59,0.8356545961002786,262,59,0.8161993769470405,204,56,0.7846153846153846,186,53,0.7782426778242678,4535,17792,0.2548898381294964,13.221574344023324,1478,3.068335588633288,221,99,43,41,8,14,9,7,0,0,205,16
v7:acceleration,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'flow_acceleration', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,494,289,205,0.5850202429149798,0.5124113475177305,0.013633945198191008,0.48111372639364464,1.2159708002933165,289.0,205.0,True,205,27,262,0.5009560229445507,0.6585365853658537,241,109,0.45228215767634855,231,143,60,0.4195804195804196,136,89,48,0.5393258426966292,83,26,24,0.9230769230769231,26,25,17,0.68,24,14,12,0.8571428571428571,14,23,16,0.6956521739130435,8,1,1,1.0,1,2,2,1.0,0,0.4195804195804196,no_grasp,0.6524371962980317,7,20.0,23.5,34.0,7.0,17.0,28.0,0.10579150579150579,0.48154657293497366,0.8807717041800642,10.0,41,139,0.22777777777777777,0.14186851211072665,289,205,0.5850202429149798,242,205,0.5413870246085011,218,203,0.517814726840855,164,201,0.44931506849315067,140,193,0.42042042042042044,3612,17792,0.20301258992805754,12.498269896193772,5209,0.6934152428489153,275,132,83,41,2,8,2,7,0,0,261,14
v7:periodicity,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'recurrence_loss', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,2193,341,1852,0.15549475604195168,0.6046099290780141,0.12317105613195,0.1435270479995487,1.0833829456482698,341.0,1852.0,True,1852,17,324,0.6195028680688337,0.4146341463414634,241,201,0.8340248962655602,231,143,52,0.36363636363636365,136,89,38,0.42696629213483145,83,26,17,0.6538461538461539,26,25,15,0.6,24,14,11,0.7857142857142857,14,23,7,0.30434782608695654,8,1,0,0.0,1,2,0,0.0,0,0.30434782608695654,timeout_holding,0.566933688240593,7,11.0,12.0,14.0,11.0,15.0,17.0,0.014671557185728577,0.06763285024154589,0.09333333333333334,9.0,130,1798,0.06742738589211618,0.3812316715542522,341,1852,0.15549475604195168,333,1851,0.15247252747252749,314,1850,0.14510166358595195,215,1844,0.10441962117532783,113,1292,0.0804270462633452,4359,17792,0.24499775179856115,12.782991202346041,34915,0.12484605470428183,223,40,91,51,9,10,3,16,1,2,199,24
v7:turbulence,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'confirmed_turbulence', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,198,167,31,0.8434343434343434,0.29609929078014185,0.0020617185421654693,0.7344294031462325,1.148421263937886,167.0,31.0,True,31,14,153,0.2925430210325048,0.34146341463414637,241,87,0.36099585062240663,231,143,23,0.16083916083916083,136,89,19,0.21348314606741572,83,26,16,0.6153846153846154,26,25,8,0.32,24,14,9,0.6428571428571429,14,23,5,0.21739130434782608,8,1,0,0.0,1,2,0,0.0,0,0.16083916083916083,no_grasp,0.36156446001693826,7,21.0,26.0,35.5,2.0,7.0,20.0,0.46678023850085176,0.9072847682119205,0.9790209790209791,6.0,6,9,0.4,0.03592814371257485,167,31,0.8434343434343434,125,31,0.8012820512820513,105,30,0.7777777777777778,70,27,0.7216494845360825,51,27,0.6538461538461539,1476,17792,0.08295863309352518,8.838323353293413,645,2.2883720930232556,397,154,120,70,10,17,5,18,1,2,370,27
v7_guard,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'intrinsic_guard_v7', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,519,439,80,0.8458574181117534,0.7783687943262412,0.005320563979781857,0.6060370916824788,1.3957188919963397,439.0,80.0,True,80,30,409,0.7820267686424475,0.7317073170731707,241,188,0.7800829875518672,231,143,119,0.8321678321678322,136,89,60,0.6741573033707865,83,26,22,0.8461538461538461,26,25,16,0.64,24,14,13,0.9285714285714286,14,23,18,0.782608695652174,8,1,1,1.0,1,2,2,1.0,0,0.64,released_outside,0.7833917276382765,7,19.0,25.0,32.0,4.0,15.0,20.0,0.4514003294892916,0.4963768115942029,0.9655172413793104,12.0,57,44,0.5643564356435643,0.12984054669703873,439,80,0.8458574181117534,379,80,0.8257080610021786,331,79,0.8073170731707318,251,74,0.7723076923076924,221,71,0.7568493150684932,5534,17792,0.3110386690647482,12.605922551252847,1894,2.921858500527983,125,53,24,29,4,9,1,5,0,0,114,11
