method,dev_tp,dev_fp,dev_precision,dev_timely_fpr,ext_tp,ext_fp,ext_precision,ext_timely_fpr,fp_inflation,recall_shift
partial_query_d1|global,40,21,0.6557377049180327,0.0014671976524837,65,173,0.2731092436974789,0.0115057196062782,7.841969748793627,0.033112703336391575
build:AND_mobility_flowsettling_per_task,183,1,0.9945652173913044,6.986655488017886e-05,187,8,0.958974358974359,0.0005320563979781,7.615323224260544,-0.04420973684593765
conditional_effective_rank|global,42,20,0.6774193548387096,0.0013973310976035,88,158,0.3577235772357723,0.0105081138600691,7.5201316839588666,0.06978606899966505
flow_path|global,49,1,0.98,6.986655488017886e-05,50,4,0.925925925925926,0.000266028198989,3.807661612129557,-0.01196353415760118
partial_edge_std|global,69,40,0.6330275229357798,0.0027946621952071,99,147,0.4024390243902439,0.0097765363128491,3.498289106145297,0.03384813665953079
flow_endpoint|global,57,3,0.95,0.0002095996646405,59,9,0.8676470588235294,0.0005985634477254,2.8557462090983816,-0.012433192071883148
conditional_energy|per_task,26,5,0.8387096774193549,0.0003493327744008,37,12,0.7551020408163265,0.0007980845969672,2.2845969672789233,0.012214746530356646
state_action_alignment|per_task,26,5,0.8387096774193549,0.0003493327744008,37,12,0.7551020408163265,0.0007980845969672,2.2845969672789233,0.012214746530356646
expert_load_effective_rank|global,214,15,0.9344978165938864,0.0010479983232026,237,36,0.8681318681318682,0.0023942537909018,2.2845969672786786,-0.019212285377255445
combo:G-B,267,10,0.9638989169675092,0.0006986655488017,308,23,0.9305135951661632,0.0015296621441872,2.189405426975417,-0.0021553293430613962
expert_load_effective_rank|per_task,322,45,0.8773841961852861,0.003143994969608,370,93,0.7991360691144709,0.0061851556264964,1.9672918329343188,-0.00516259629807625
flow_settling_log_ratio|global,4,1,0.8,6.986655488017886e-05,3,2,0.6,0.0001330140994945,1.9038308060647784,-0.0028944034252260916
build:OR_crossframe_global,334,28,0.9226519337016574,0.001956263536645,381,54,0.8758620689655172,0.0035913806863527,1.835836848705943,-0.010299707282974357
combo:G-A,249,7,0.97265625,0.0004890658841612,288,13,0.956810631229236,0.0008645916467145,1.7678428913465651,-0.0006553366245795056
mobility|per_task,243,31,0.8868613138686131,0.0021658632012855,272,57,0.8267477203647416,0.0037909018355945,1.7502960636408127,-0.01670380240872621
v4:front_lock,222,23,0.9061224489795918,0.0016069307622441,240,36,0.8695652173913043,0.0023942537909018,1.4899545438772939,-0.030320241163877826
baseline:length_only_suite@fpr0.01,487,87,0.8484320557491289,0.0060783902745755,564,129,0.8138528138528138,0.0085794094173982,1.4114607700140422,0.0
combo:P-C,339,40,0.8944591029023746,0.0027946621952071,391,57,0.8727678571428571,0.0037909018355945,1.3564794493216283,-0.0028361512808190437
flow_settling_log_ratio|per_task,284,62,0.8208092485549133,0.004331726402571,304,87,0.7774936061381074,0.0057861133280127,1.3357522590943143,-0.044155125460556
partial_edge_std|per_task,93,10,0.9029126213592232,0.0006986655488017,103,14,0.8803418803418803,0.0009310986964618,1.3326815642459435,-0.008340978927286746
v7:acceleration,234,149,0.6109660574412533,0.0104101166771466,289,205,0.5850202429149798,0.013633945198191,1.3096822659175082,0.03191853437604675
flow_endpoint|per_task,151,29,0.8388888888888889,0.0020261300915251,162,39,0.8059701492537313,0.0025937749401436,1.2801620937336875,-0.022827559089518945
prior:length_only_same_run@qfpr10pct,487,678,0.4180257510729613,0.0473695242087612,564,907,0.3834126444595513,0.0603218941207768,1.2734325524346306,0.0
conditional_energy|global,26,6,0.8125,0.000419199329281,33,8,0.8048780487804879,0.0005320563979781,1.269220537376979,0.005122547948796366
state_action_alignment|global,26,6,0.8125,0.000419199329281,33,8,0.8048780487804879,0.0005320563979781,1.269220537376979,0.005122547948796366
v7:turbulence,138,24,0.8518518518518519,0.0016767973171242,167,31,0.8434343434343434,0.0020617185421654,1.2295573955839583,0.01273173431196939
v4:back_lock,364,116,0.7583333333333333,0.0081045203661007,409,146,0.736936936936937,0.0097100292631018,1.1981004210584212,-0.022255959922524604
v4:all_lock,349,61,0.8512195121951219,0.0042618598476909,382,76,0.834061135371179,0.0050545357807927,1.1859929611555098,-0.03932747899282041
baseline:length_only_task@fpr0.005,487,21,0.9586614173228346,0.0014671976524837,564,26,0.9559322033898304,0.0017291832934291,1.1785619275643644,0.0
v4_dual_regime,372,67,0.8473804100227791,0.0046810591769719,410,81,0.835030549898167,0.0053870710295291,1.1508230991888266,-0.03691001499992719
prior:length_only_same_run@qfpr1pct,487,107,0.8198653198653199,0.0074757213721791,550,129,0.8100147275405007,0.0085794094173982,1.1476363270207577,-0.024822695035460973
v7_guard,382,67,0.8507795100222717,0.0046810591769719,439,80,0.8458574181117534,0.0053205639797818,1.1366154066062428,-0.006025456187105815
partial_query_d1|per_task,154,17,0.9005847953216374,0.001187731432963,156,20,0.8863636363636364,0.0013301409949454,1.1199004741561271,-0.03962602123290665
prior:length_only_same_run@qfpr5pct,487,385,0.5584862385321101,0.0268986236288688,564,447,0.5578635014836796,0.0297286512370311,1.1052108705340964,0.0
flow_path|per_task,139,32,0.8128654970760234,0.0022357297561657,153,37,0.8052631578947368,0.0024607608406491,1.1006521847565918,-0.014144348813840746
v7:freeze,309,52,0.8559556786703602,0.0036330608537693,343,59,0.8532338308457711,0.0039239159350891,1.080057861133275,-0.026340891549070156
mobility|global,172,15,0.9197860962566844,0.0010479983232026,195,17,0.9198113207547168,0.0011306198457036,1.0788374567704606,-0.0074380706889772275
baseline:length_only_task@fpr0.01,487,64,0.8838475499092558,0.0044714595123314,564,71,0.8881889763779528,0.0047220005320563,1.0560311502394144,0.0
conditional_query_d1|per_task,147,20,0.8802395209580839,0.0013973310976035,155,22,0.8757062146892656,0.00146315509444,1.0471069433360438,-0.027025354245853173
baseline:length_only_task@fpr0.05,487,373,0.5662790697674419,0.0260602249703067,564,410,0.5790554414784395,0.027267890396382,1.0463413277303373,0.0
prior:HB_MoE_top4churn@qfpr10pct,167,1266,0.1165387299371946,0.0884510584783064,210,1324,0.1368970013037809,0.0880553338653897,0.9955260613075224,0.029424614443619213
prior:HB_MoE_top4churn@qfpr5pct,124,666,0.1569620253164557,0.0465311255501991,168,696,0.1944444444444444,0.0462889066241021,0.9947944752414019,0.04325221722224648
conditional_query_d1|global,178,30,0.8557692307692307,0.0020959966464053,194,31,0.8622222222222222,0.0020617185421654,0.9836459164671432,-0.021531448876461745
build:AND_mobility_expertload_global,63,3,0.9545454545454546,0.0002095996646405,69,3,0.9583333333333334,0.0001995211492418,0.9519154030327939,-0.007023024160076899
action_consensus|per_task,111,34,0.7655172413793103,0.002375462865926,101,34,0.7481481481481481,0.0022612396914072,0.9519154030327166,-0.048848063844350254
baseline:length_only_suite@fpr0.05,487,547,0.4709864603481625,0.0382170055194578,564,543,0.5094850948509485,0.0361133280127693,0.944954412882573,0.0
v7:periodicity,305,1890,0.1389521640091116,0.132047788723538,341,1852,0.1554947560419516,0.12317105613195,0.9327763631833866,-0.021673438478454043
prior:HB_MoE_top4churn@qfpr1pct,96,421,0.1856866537717601,0.0294138196045553,131,386,0.253384912959381,0.0256717212024474,0.8727775429231108,0.03514424687258799
baseline:length_only_suite@fpr0.005,487,60,0.8903107861060329,0.0041919932928107,564,55,0.9111470113085622,0.0036578877361,0.8725891194466615,0.0
action_consensus|global,15,6,0.7142857142857143,0.000419199329281,15,5,0.75,0.0003325352487363,0.7932628358605821,-0.004205076674385074
v4:L5_switching,26,7,0.7878787878787878,0.0004890658841612,34,5,0.8717948717948718,0.0003325352487363,0.6799395735947383,0.0068955975941864325
conditional_effective_rank|per_task,118,20,0.855072463768116,0.0013973310976035,103,10,0.911504424778761,0.0006650704974727,0.475957701516364,-0.05967568118601366
