method,family,threshold_mode,runtime_task_identity,config,source,alarms,tp,fp,precision,recall,timely_fpr,mean_matched_prior,lift,published_tp,published_fp,reproduces_published,alarms_on_timely_success,alarms_on_late_success_plus10,alarms_on_persistent_failure,recall_persistent,recall_late,mode_dropped_n,mode_dropped_hit,mode_dropped_recall,mode_dropped_persistent_n,mode_no_grasp_n,mode_no_grasp_hit,mode_no_grasp_recall,mode_no_grasp_persistent_n,mode_moved_unmet_n,mode_moved_unmet_hit,mode_moved_unmet_recall,mode_moved_unmet_persistent_n,mode_regressed_n,mode_regressed_hit,mode_regressed_recall,mode_regressed_persistent_n,mode_released_outside_n,mode_released_outside_hit,mode_released_outside_recall,mode_released_outside_persistent_n,mode_no_contact_n,mode_no_contact_hit,mode_no_contact_recall,mode_no_contact_persistent_n,mode_timeout_holding_n,mode_timeout_holding_hit,mode_timeout_holding_recall,mode_timeout_holding_persistent_n,mode_mechanism_n,mode_mechanism_hit,mode_mechanism_recall,mode_mechanism_persistent_n,mode_no_progress_n,mode_no_progress_hit,mode_no_progress_recall,mode_no_progress_persistent_n,worst_mode_recall,worst_mode_name,mean_mode_recall,modes_scored_n,alarm_chunk_q25,alarm_chunk_median,alarm_chunk_q75,remaining_budget_q25,remaining_budget_median,remaining_budget_q75,matched_prior_q25,matched_prior_median,matched_prior_q75,lead_median,early_tp,early_fp,early_precision,early_share_of_tp,budget0_tp,budget0_fp,budget0_precision,budget2_tp,budget2_fp,budget2_precision,budget4_tp,budget4_fp,budget4_precision,budget8_tp,budget8_fp,budget8_precision,budget12_tp,budget12_fp,budget12_precision,budget_won,budget_ceiling,frac_of_ceiling,avg_budget_per_tp,budget_wasted_fp,gain_per_loss,missed_risks,miss_dropped,miss_no_grasp,miss_moved_unmet,miss_regressed,miss_released_outside,miss_no_contact,miss_timeout_holding,miss_mechanism,miss_no_progress,missed_persistent,missed_late
v4:front_lock,v4_layer_lock,per_task,True,front_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,245,222,23,0.9061224489795918,0.45585215605749485,0.0016069307622441137,0.7166152915715068,1.2644475489666205,,,,23,11,211,0.4617067833698031,0.36666666666666664,218,146,0.6697247706422018,209,116,17,0.14655172413793102,111,72,19,0.2638888888888889,67,28,16,0.5714285714285714,28,18,7,0.3888888888888889,15,14,4,0.2857142857142857,14,14,6,0.42857142857142855,6,6,6,1.0,6,1,1,1.0,1,0.14655172413793102,no_grasp,0.3935383654674566,7,18.0,21.0,27.0,3.0,5.0,14.0,0.43106796116504853,0.9532710280373832,1.0,5.0,27,13,0.675,0.12162162162162163,222,23,0.9061224489795918,186,23,0.8899521531100478,148,23,0.8654970760233918,86,22,0.7962962962962963,67,22,0.7528089887640449,1770,15003,0.11797640471905618,7.972972972972973,533,3.320825515947467,265,72,99,53,12,11,10,8,0,0,246,19
v4:back_lock,v4_layer_lock,per_task,True,back_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,480,364,116,0.7583333333333333,0.7474332648870636,0.008104520366100747,0.5523311217604797,1.3729686839232411,,,,116,20,344,0.7527352297592997,0.6666666666666666,218,184,0.8440366972477065,209,116,80,0.6896551724137931,111,72,42,0.5833333333333334,67,28,22,0.7857142857142857,28,18,11,0.6111111111111112,15,14,5,0.35714285714285715,14,14,13,0.9285714285714286,6,6,6,1.0,6,1,1,1.0,1,0.35714285714285715,no_contact,0.6856521265049308,7,18.0,23.0,32.0,5.0,15.0,21.0,0.20278330019880716,0.444,0.9714285714285714,8.0,42,92,0.31343283582089554,0.11538461538461539,364,116,0.7583333333333333,327,116,0.7381489841986456,295,116,0.7177615571776156,188,115,0.6204620462046204,168,113,0.597864768683274,3960,15003,0.26394721055788845,10.87912087912088,3181,1.2448915435397674,123,34,36,30,6,7,9,1,0,0,113,10
v4:all_lock,v4_layer_lock,per_task,True,all_median | low | w4 | k4 | q0.75,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,410,349,61,0.8512195121951219,0.7166324435318275,0.00426185984769091,0.6191326485943629,1.374858060106624,349.0,61.0,True,61,19,330,0.7221006564551422,0.6333333333333333,218,178,0.8165137614678899,209,116,80,0.6896551724137931,111,72,39,0.5416666666666666,67,28,22,0.7857142857142857,28,18,9,0.5,15,14,4,0.2857142857142857,14,14,10,0.7142857142857143,6,6,6,1.0,6,1,1,1.0,1,0.2857142857142857,no_contact,0.6190785551803765,7,19.0,25.0,33.0,4.0,13.0,18.0,0.4228571428571429,0.45962732919254656,0.9767441860465116,8.0,33,36,0.4782608695652174,0.09455587392550144,349,61,0.8512195121951219,316,61,0.8381962864721485,279,61,0.8205882352941176,181,61,0.7479338842975206,161,59,0.7318181818181818,3664,15003,0.24421782310204626,10.498567335243553,1580,2.318987341772152,138,40,36,33,6,9,10,4,0,0,127,11
v4:L5_switching,v4_layer_lock,per_task,True,L5 | high | w4 | k8 | q0.80,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,33,26,7,0.7878787878787878,0.053388090349075976,0.000489065884161252,0.42031914906823714,1.8744775003122183,26.0,7.0,True,7,1,25,0.05470459518599562,0.03333333333333333,218,8,0.03669724770642202,209,116,4,0.034482758620689655,111,72,10,0.1388888888888889,67,28,0,0.0,28,18,4,0.2222222222222222,15,14,0,0.0,14,14,0,0.0,6,6,0,0.0,6,1,0,0.0,1,0.0,regressed,0.061755873919746115,7,15.0,16.0,22.0,7.0,13.0,14.0,0.20278330019880716,0.4111111111111111,0.6727272727272727,12.5,12,4,0.75,0.46153846153846156,26,7,0.7878787878787878,25,7,0.78125,24,7,0.7741935483870968,18,6,0.75,14,5,0.7368421052631579,294,15003,0.019596080783843232,11.307692307692308,86,3.4186046511627906,461,210,112,62,28,14,14,14,6,1,432,29
v4_dual_regime,v4_layer_lock,per_task,True,all_median lock q0.75 OR L5 instability q0.80,moe-hb-front-back-0905/experiments/evaluate_layer_survival_baseline.py,439,372,67,0.8473804100227791,0.7638603696098563,0.0046810591769719835,0.6017462444519309,1.408202241120044,372.0,67.0,True,67,20,352,0.7702407002188184,0.6666666666666666,218,185,0.8486238532110092,209,116,83,0.7155172413793104,111,72,48,0.6666666666666666,67,28,22,0.7857142857142857,28,18,13,0.7222222222222222,15,14,4,0.2857142857142857,14,14,10,0.7142857142857143,6,6,6,1.0,6,1,1,1.0,1,0.2857142857142857,no_contact,0.6769634670276421,7,18.0,24.0,33.0,4.0,13.0,18.0,0.4111111111111111,0.4567901234567901,0.9714285714285714,9.0,45,40,0.5294117647058824,0.12096774193548387,372,67,0.8473804100227791,339,67,0.8349753694581281,301,67,0.8179347826086957,198,66,0.75,175,64,0.7322175732217573,3941,15003,0.26268079717389853,10.594086021505376,1657,2.3783946891973446,115,33,33,24,6,5,10,4,0,0,105,10
v7:freeze,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'relative_freeze', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,361,309,52,0.8559556786703602,0.6344969199178645,0.0036330608537693005,0.5993240445383393,1.4282017991280573,309.0,52.0,True,52,18,291,0.6367614879649891,0.6,218,146,0.6697247706422018,209,116,79,0.6810344827586207,111,72,33,0.4583333333333333,67,28,23,0.8214285714285714,28,18,4,0.2222222222222222,15,14,6,0.42857142857142855,14,14,12,0.8571428571428571,6,6,5,0.8333333333333334,6,1,1,1.0,1,0.2222222222222222,released_outside,0.5912082380141764,7,19.0,25.0,32.0,4.0,15.0,20.0,0.4111111111111111,0.43529411764705883,0.9902912621359223,10.0,30,28,0.5172413793103449,0.0970873786407767,309,52,0.8559556786703602,271,52,0.8390092879256966,222,52,0.8102189781021898,169,52,0.7647058823529411,151,50,0.7512437810945274,3492,15003,0.23275344931013797,11.300970873786408,1255,2.7824701195219124,178,72,37,39,5,14,8,2,1,0,166,12
v7:acceleration,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'flow_acceleration', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,383,234,149,0.6109660574412533,0.4804928131416838,0.01041011667714665,0.507433362204758,1.2040321014500386,234.0,149.0,True,149,18,216,0.4726477024070022,0.6,218,85,0.38990825688073394,209,116,52,0.4482758620689655,111,72,42,0.5833333333333334,67,28,23,0.8214285714285714,28,18,7,0.3888888888888889,15,14,12,0.8571428571428571,14,14,8,0.5714285714285714,6,6,5,0.8333333333333334,6,1,0,0.0,1,0.3888888888888889,released_outside,0.5800580487388459,7,21.0,25.0,36.0,7.0,15.0,27.0,0.19072164948453607,0.45962732919254656,0.8762033898305085,11.0,18,88,0.16981132075471697,0.07692307692307693,234,149,0.6109660574412533,203,149,0.5767045454545454,183,149,0.5512048192771084,138,148,0.4825174825174825,116,148,0.4393939393939394,2849,15003,0.18989535426248083,12.175213675213675,3574,0.7971460548405148,253,133,64,30,5,11,2,6,1,1,241,12
v7:periodicity,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'recurrence_loss', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,2195,305,1890,0.13895216400911162,0.6262833675564682,0.13204778872353803,0.13323739666656476,1.0428916166596112,305.0,1890.0,True,1890,11,294,0.6433260393873085,0.36666666666666664,218,177,0.8119266055045872,209,116,46,0.39655172413793105,111,72,34,0.4722222222222222,67,28,18,0.6428571428571429,28,18,10,0.5555555555555556,15,14,11,0.7857142857142857,14,14,8,0.5714285714285714,6,6,1,0.16666666666666666,6,1,0,0.0,1,0.39655172413793105,no_grasp,0.6051794439171851,7,11.0,12.0,14.0,11.0,14.0,17.0,0.010853622763273688,0.06146341463414634,0.08433734939759036,9.0,113,1829,0.05818743563336766,0.3704918032786885,305,1890,0.13895216400911162,297,1890,0.13580246913580246,281,1890,0.1294334408106863,190,1885,0.09156626506024096,96,1328,0.06741573033707865,3965,15003,0.2642804772378858,13.0,34106,0.11625520436286871,182,41,70,38,10,8,3,6,5,1,163,19
v7:turbulence,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'confirmed_turbulence', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,162,138,24,0.8518518518518519,0.28336755646817247,0.0016767973171242926,0.7275642456130036,1.170826984679725,138.0,24.0,True,24,9,129,0.28227571115973743,0.3,218,64,0.29357798165137616,209,116,23,0.19827586206896552,111,72,17,0.2361111111111111,67,28,13,0.4642857142857143,28,18,5,0.2777777777777778,15,14,9,0.6428571428571429,14,14,6,0.42857142857142855,6,6,1,0.16666666666666666,6,1,0,0.0,1,0.19827586206896552,no_grasp,0.36306528833193086,7,21.0,26.0,39.0,3.0,10.0,20.0,0.4228571428571429,0.888,1.0,8.0,1,4,0.2,0.007246376811594203,138,24,0.8518518518518519,111,24,0.8222222222222222,93,24,0.7948717948717948,70,22,0.7608695652173914,44,20,0.6875,1376,15003,0.09171499033526628,9.971014492753623,446,3.085201793721973,349,154,93,55,15,13,5,8,5,1,328,21
v7_guard,v7_intrinsic_guard,task_agnostic,False,"sealed branch 'intrinsic_guard_v7', pooled 16k-corpus thresholds",moe-v7-0905/results/intrinsic_guard_v7/sealed_first_alarms.npz,449,382,67,0.8507795100222717,0.784394250513347,0.0046810591769719835,0.6265708335487826,1.3578345247952448,382.0,67.0,True,67,19,363,0.7943107221006565,0.6333333333333333,218,175,0.8027522935779816,209,116,99,0.853448275862069,111,72,45,0.625,67,28,24,0.8571428571428571,28,18,9,0.5,15,14,12,0.8571428571428571,14,14,12,0.8571428571428571,6,6,5,0.8333333333333334,6,1,1,1.0,1,0.5,released_outside,0.7646613058383745,7,19.0,25.0,32.0,4.0,13.0,20.0,0.4111111111111111,0.4567901234567901,0.9902912621359223,9.0,31,29,0.5166666666666667,0.08115183246073299,382,67,0.8507795100222717,332,67,0.8320802005012531,272,67,0.8023598820058997,207,66,0.7582417582417582,171,62,0.7339055793991416,4241,15003,0.28267679797373857,11.102094240837696,1509,2.810470510271703,105,43,17,27,4,9,2,2,1,0,94,11
