method,threshold_mode,suite,chunk,episodes_still_running,survival_prior,alarms_at_chunk,alarms_at_chunk_risk,alarms_at_chunk_timely,cumulative_alarms,cumulative_alarms_risk
v4:front_lock,per_task,libero_goal,0,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,1,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,2,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,3,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,4,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,5,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,6,4000,0.0265,0,0,0,0,0
v4:front_lock,per_task,libero_goal,7,3877,0.027340727366520507,0,0,0,0,0
v4:front_lock,per_task,libero_goal,8,3179,0.03334381881094684,0,0,0,0,0
v4:front_lock,per_task,libero_goal,9,2027,0.05229403058707449,0,0,0,0,0
v4:front_lock,per_task,libero_goal,10,1672,0.06339712918660287,0,0,0,0,0
v4:front_lock,per_task,libero_goal,11,1659,0.06389391199517781,0,0,0,0,0
v4:front_lock,per_task,libero_goal,12,1383,0.07664497469269703,0,0,0,0,0
v4:front_lock,per_task,libero_goal,13,835,0.12694610778443113,0,0,0,0,0
v4:front_lock,per_task,libero_goal,14,601,0.17637271214642264,3,3,0,3,3
v4:front_lock,per_task,libero_goal,15,519,0.20423892100192678,4,4,0,7,7
v4:front_lock,per_task,libero_goal,16,500,0.212,16,16,0,23,23
v4:front_lock,per_task,libero_goal,17,475,0.2231578947368421,4,4,0,27,27
v4:front_lock,per_task,libero_goal,18,327,0.3241590214067278,0,0,0,27,27
v4:front_lock,per_task,libero_goal,19,189,0.5608465608465608,1,1,0,28,28
v4:front_lock,per_task,libero_goal,20,139,0.762589928057554,0,0,0,28,28
v4:front_lock,per_task,libero_goal,21,124,0.8548387096774194,1,0,1,29,28
v4:front_lock,per_task,libero_goal,22,115,0.9217391304347826,0,0,0,29,28
v4:front_lock,per_task,libero_goal,23,112,0.9464285714285714,1,1,0,30,29
v4:front_lock,per_task,libero_goal,24,111,0.954954954954955,3,3,0,33,32
v4:front_lock,per_task,libero_goal,25,108,0.9814814814814815,18,18,0,51,50
v4:front_lock,per_task,libero_goal,26,107,0.9906542056074766,11,11,0,62,61
v4:front_lock,per_task,libero_goal,27,107,0.9906542056074766,1,1,0,63,62
v4:front_lock,per_task,libero_goal,28,107,0.9906542056074766,0,0,0,63,62
v4:front_lock,per_task,libero_goal,29,107,0.9906542056074766,2,2,0,65,64
v4:front_lock,per_task,libero_long,0,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,1,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,2,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,3,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,4,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,5,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,6,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,7,4000,0.0685,0,0,0,0,0
v4:front_lock,per_task,libero_long,8,4000,0.0685,7,6,1,7,6
v4:front_lock,per_task,libero_long,9,4000,0.0685,14,11,3,21,17
v4:front_lock,per_task,libero_long,10,4000,0.0685,3,3,0,24,20
v4:front_lock,per_task,libero_long,11,4000,0.0685,0,0,0,24,20
v4:front_lock,per_task,libero_long,12,4000,0.0685,1,1,0,25,21
v4:front_lock,per_task,libero_long,13,4000,0.0685,0,0,0,25,21
v4:front_lock,per_task,libero_long,14,4000,0.0685,1,1,0,26,22
v4:front_lock,per_task,libero_long,15,3968,0.0690524193548387,8,5,3,34,27
v4:front_lock,per_task,libero_long,16,3918,0.06993363961204696,7,2,5,41,29
v4:front_lock,per_task,libero_long,17,3834,0.0714658320292123,4,2,2,45,31
v4:front_lock,per_task,libero_long,18,3749,0.07308615630834889,1,0,1,46,31
v4:front_lock,per_task,libero_long,19,3695,0.07415426251691475,2,0,2,48,31
v4:front_lock,per_task,libero_long,20,3654,0.0749863163656267,2,1,1,50,32
v4:front_lock,per_task,libero_long,21,3457,0.07925947353196414,1,0,1,51,32
v4:front_lock,per_task,libero_long,22,3035,0.09028006589785832,2,0,2,53,32
v4:front_lock,per_task,libero_long,23,2590,0.10579150579150579,0,0,0,53,32
v4:front_lock,per_task,libero_long,24,2017,0.13584531482399603,0,0,0,53,32
v4:front_lock,per_task,libero_long,25,1388,0.19740634005763688,2,1,1,55,33
v4:front_lock,per_task,libero_long,26,979,0.27987742594484166,2,0,2,57,33
v4:front_lock,per_task,libero_long,27,771,0.3553826199740597,1,0,1,58,33
v4:front_lock,per_task,libero_long,28,662,0.41389728096676737,2,1,1,60,34
v4:front_lock,per_task,libero_long,29,628,0.43630573248407645,2,2,0,62,36
v4:front_lock,per_task,libero_long,30,607,0.4514003294892916,3,2,1,65,38
v4:front_lock,per_task,libero_long,31,587,0.46678023850085176,7,7,0,72,45
v4:front_lock,per_task,libero_long,32,569,0.48154657293497366,6,6,0,78,51
v4:front_lock,per_task,libero_long,33,561,0.48841354723707664,7,6,1,85,57
v4:front_lock,per_task,libero_long,34,558,0.4910394265232975,4,2,2,89,59
v4:front_lock,per_task,libero_long,35,552,0.4963768115942029,0,0,0,89,59
v4:front_lock,per_task,libero_long,36,544,0.5036764705882353,2,2,0,91,61
v4:front_lock,per_task,libero_long,37,519,0.5279383429672447,2,2,0,93,63
v4:front_lock,per_task,libero_long,38,459,0.5969498910675382,2,2,0,95,65
v4:front_lock,per_task,libero_long,39,384,0.7135416666666666,1,1,0,96,66
v4:front_lock,per_task,libero_long,40,334,0.8203592814371258,3,3,0,99,69
v4:front_lock,per_task,libero_long,41,311,0.8810289389067524,0,0,0,99,69
v4:front_lock,per_task,libero_long,42,302,0.9072847682119205,2,2,0,101,71
v4:front_lock,per_task,libero_long,43,297,0.9225589225589226,2,2,0,103,73
v4:front_lock,per_task,libero_long,44,288,0.9513888888888888,3,3,0,106,76
v4:front_lock,per_task,libero_long,45,285,0.9614035087719298,1,1,0,107,77
v4:front_lock,per_task,libero_long,46,282,0.9716312056737588,2,2,0,109,79
v4:front_lock,per_task,libero_long,47,279,0.982078853046595,0,0,0,109,79
v4:front_lock,per_task,libero_long,48,276,0.9927536231884058,0,0,0,109,79
v4:front_lock,per_task,libero_long,49,276,0.9927536231884058,0,0,0,109,79
v4:front_lock,per_task,libero_long,50,276,0.9927536231884058,1,1,0,110,80
v4:front_lock,per_task,libero_long,51,274,1.0,2,2,0,112,82
v4:front_lock,per_task,libero_object,0,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,1,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,2,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,3,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,4,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,5,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,6,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,7,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,8,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,9,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,10,3600,0.012222222222222223,0,0,0,0,0
v4:front_lock,per_task,libero_object,11,3576,0.012304250559284116,0,0,0,0,0
v4:front_lock,per_task,libero_object,12,2999,0.014671557185728577,0,0,0,0,0
v4:front_lock,per_task,libero_object,13,1735,0.025360230547550433,0,0,0,0,0
v4:front_lock,per_task,libero_object,14,988,0.044534412955465584,0,0,0,0,0
v4:front_lock,per_task,libero_object,15,440,0.1,0,0,0,0,0
v4:front_lock,per_task,libero_object,16,229,0.19213973799126638,2,2,0,2,2
v4:front_lock,per_task,libero_object,17,130,0.3384615384615385,1,1,0,3,3
v4:front_lock,per_task,libero_object,18,79,0.5569620253164557,1,1,0,4,4
v4:front_lock,per_task,libero_object,19,66,0.6666666666666666,0,0,0,4,4
v4:front_lock,per_task,libero_object,20,60,0.7333333333333333,1,1,0,5,5
v4:front_lock,per_task,libero_object,21,53,0.8301886792452831,2,1,1,7,6
v4:front_lock,per_task,libero_object,22,50,0.88,1,1,0,8,7
v4:front_lock,per_task,libero_object,23,48,0.9166666666666666,1,1,0,9,8
v4:front_lock,per_task,libero_object,24,46,0.9565217391304348,1,1,0,10,9
v4:front_lock,per_task,libero_object,25,46,0.9565217391304348,3,3,0,13,12
v4:front_lock,per_task,libero_object,26,45,0.9777777777777777,2,2,0,15,14
v4:front_lock,per_task,libero_object,27,45,0.9777777777777777,1,1,0,16,15
v4:front_lock,per_task,libero_spatial,0,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,1,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,2,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,3,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,4,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,5,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,6,4000,0.035,0,0,0,0,0
v4:front_lock,per_task,libero_spatial,7,3986,0.035122930255895635,1,0,1,1,0
v4:front_lock,per_task,libero_spatial,8,3677,0.03807451726951319,0,0,0,1,0
v4:front_lock,per_task,libero_spatial,9,2975,0.047058823529411764,0,0,0,1,0
v4:front_lock,per_task,libero_spatial,10,2070,0.06763285024154589,0,0,0,1,0
v4:front_lock,per_task,libero_spatial,11,1500,0.09333333333333334,1,0,1,2,0
v4:front_lock,per_task,libero_spatial,12,764,0.18324607329842932,0,0,0,2,0
v4:front_lock,per_task,libero_spatial,13,329,0.425531914893617,0,0,0,2,0
v4:front_lock,per_task,libero_spatial,14,164,0.8536585365853658,0,0,0,2,0
v4:front_lock,per_task,libero_spatial,15,147,0.9523809523809523,6,5,1,8,5
v4:front_lock,per_task,libero_spatial,16,146,0.958904109589041,12,12,0,20,17
v4:front_lock,per_task,libero_spatial,17,145,0.9655172413793104,12,12,0,32,29
v4:front_lock,per_task,libero_spatial,18,145,0.9655172413793104,8,7,1,40,36
v4:front_lock,per_task,libero_spatial,19,143,0.9790209790209791,5,5,0,45,41
v4:front_lock,per_task,libero_spatial,20,142,0.9859154929577465,16,16,0,61,57
v4:front_lock,per_task,libero_spatial,21,142,0.9859154929577465,22,22,0,83,79
v4:front_lock,per_task,ALL,0,15600,,0,0,0,0,0
v4:front_lock,per_task,ALL,1,15600,,0,0,0,0,0
v4:front_lock,per_task,ALL,2,15600,,0,0,0,0,0
v4:front_lock,per_task,ALL,3,15600,,0,0,0,0,0
v4:front_lock,per_task,ALL,4,15600,,0,0,0,0,0
v4:front_lock,per_task,ALL,5,15600,,0,0,0,0,0
