method,threshold_mode,alarms,tp,fp,precision,recall,timely_fpr,mean_matched_prior,lift,alarm_chunk_median,remaining_budget_median,lead_median,early_tp,early_fp,budget_won,frac_of_ceiling,avg_budget_per_tp,gain_per_loss,worst_mode_recall,worst_mode_name,missed_risks
baseline:length_only_task_devcal@fpr0.005,per_task,609,564,45,0.9261083743842364,1.0,0.0029928172386272,0.8113551594197095,1.1414340115204291,26.0,6.0,6.0,63,9,3623,0.203630845323741,6.423758865248227,8.123318385650224,1.0,dropped,0
v7_guard,task_agnostic,519,439,80,0.8458574181117534,0.7783687943262412,0.0053205639797818,0.6060370916824788,1.3957188919963397,25.0,15.0,12.0,57,44,5534,0.3110386690647482,12.605922551252847,2.921858500527983,0.64,released_outside,125
v4_dual_regime,per_task,491,410,81,0.835030549898167,0.7269503546099291,0.0053870710295291,0.5753389203059673,1.4513715662658364,23.0,14.0,12.0,76,54,5092,0.2861960431654676,12.419512195121952,2.381665107577175,0.2857142857142857,no_contact,154
combo:P-C,per_task,448,391,57,0.8727678571428571,0.6932624113475178,0.0037909018355945,0.6017681277111626,1.450339120588602,19.0,9.0,7.0,96,31,4227,0.2375786870503597,10.81074168797954,3.7046450482033295,0.3571428571428571,no_contact,173
combo:G-A,global,301,288,13,0.956810631229236,0.5106382978723404,0.0008645916467145,0.7149174188226448,1.3383512641291504,21.0,8.0,8.0,24,6,2667,0.1498988309352518,9.260416666666666,10.93032786885246,0.2142857142857142,no_contact,276
mobility|global,global,212,195,17,0.9198113207547168,0.3457446808510638,0.0011306198457036,0.5214150585184776,1.7640674271437853,34.0,15.0,15.0,36,4,3016,0.1695143884892086,15.466666666666669,8.064171122994653,0.12,released_outside,369
expert_load_effective_rank|per_task,per_task,463,370,93,0.7991360691144709,0.6560283687943262,0.0061851556264964,0.5162688757758398,1.5479067335088583,18.0,11.0,9.0,97,69,4514,0.2537095323741007,12.2,2.038843721770551,0.2857142857142857,no_contact,194
twotier:WATCH_a3,global,607,410,197,0.6754530477759473,0.7269503546099291,0.0131018888002128,0.4212617368842155,1.6034046974496443,18.0,17.0,12.0,113,171,6033,0.3390849820143884,14.714634146341464,1.020466847090663,0.5652173913043478,timeout_holding,154
twotier:ACT_b,global,155,146,9,0.9419354838709676,0.2588652482269503,0.0005985634477254,0.5126090498890054,1.837531904820884,35.0,15.0,15.0,23,0,2242,0.126011690647482,15.356164383561644,13.11111111111111,0.0,no_contact,418
build:OR_crossframe_global,global,435,381,54,0.8758620689655172,0.675531914893617,0.0035913806863527,0.588476586988446,1.488354997176317,20.0,12.0,11.0,59,29,4732,0.2659622302158273,12.41994750656168,4.498098859315589,0.3571428571428571,no_contact,183
prior:HB_MoE_top4churn@qfpr1pct,task_agnostic,517,131,386,0.253384912959381,0.2322695035460993,0.0256717212024474,0.0685440585549809,3.696672159500658,9.0,22.0,13.0,116,384,2153,0.1210094424460431,16.435114503816795,0.2333622371558638,0.0769230769230769,regressed,433
