left,right,metric,tasks,mean_per_task_difference,tasks_left_higher,tasks_right_higher,tasks_tied,permutation_p,survives_task_stratified_permutation
baseline:length_only_task_devcal@fpr0.005,v7_guard,tp,39,3.2051282051282053,26,0,13,0.0,True
baseline:length_only_task_devcal@fpr0.005,v7_guard,fp,39,-0.8974358974358975,12,11,16,0.16935,False
baseline:length_only_task_devcal@fpr0.005,v7_guard,early_tp,39,0.15384615384615385,7,9,23,0.89575,False
baseline:length_only_task_devcal@fpr0.005,v4_dual_regime,tp,39,3.948717948717949,24,0,15,0.0,True
baseline:length_only_task_devcal@fpr0.005,v4_dual_regime,fp,39,-0.9230769230769231,11,11,17,0.1223,False
baseline:length_only_task_devcal@fpr0.005,v4_dual_regime,early_tp,39,-0.3333333333333333,7,11,21,0.7621,False
baseline:length_only_task_devcal@fpr0.005,combo:P-C,tp,39,4.435897435897436,11,0,28,0.00115,True
baseline:length_only_task_devcal@fpr0.005,combo:P-C,fp,39,-0.3076923076923077,11,11,17,0.3613,False
baseline:length_only_task_devcal@fpr0.005,combo:P-C,early_tp,39,-0.8461538461538461,5,11,23,0.23035,False
baseline:length_only_task_devcal@fpr0.005,combo:G-A,tp,39,7.076923076923077,27,0,12,0.0,True
baseline:length_only_task_devcal@fpr0.005,combo:G-A,fp,39,0.8205128205128205,20,4,15,0.0007,True
baseline:length_only_task_devcal@fpr0.005,combo:G-A,early_tp,39,1.0,7,4,28,0.15345,False
baseline:length_only_task_devcal@fpr0.005,mobility|global,tp,39,9.461538461538462,28,0,11,0.0,True
baseline:length_only_task_devcal@fpr0.005,mobility|global,fp,39,0.717948717948718,21,4,14,0.0054,True
baseline:length_only_task_devcal@fpr0.005,mobility|global,early_tp,39,0.6923076923076923,8,3,28,0.38315,False
baseline:length_only_task_devcal@fpr0.005,expert_load_effective_rank|per_task,tp,39,4.9743589743589745,18,0,21,0.0,True
baseline:length_only_task_devcal@fpr0.005,expert_load_effective_rank|per_task,fp,39,-1.2307692307692308,8,15,16,0.0148,True
baseline:length_only_task_devcal@fpr0.005,expert_load_effective_rank|per_task,early_tp,39,-0.8717948717948718,5,11,23,0.2288,False
baseline:length_only_task_devcal@fpr0.005,twotier:WATCH_a3,tp,39,3.948717948717949,17,0,22,0.0,True
baseline:length_only_task_devcal@fpr0.005,twotier:WATCH_a3,fp,39,-3.8974358974358974,13,10,16,0.15675,False
baseline:length_only_task_devcal@fpr0.005,twotier:WATCH_a3,early_tp,39,-1.2820512820512822,8,8,23,0.56735,False
baseline:length_only_task_devcal@fpr0.005,twotier:ACT_b,tp,39,10.717948717948717,29,0,10,0.0,True
baseline:length_only_task_devcal@fpr0.005,twotier:ACT_b,fp,39,0.9230769230769231,22,1,16,0.0001,True
baseline:length_only_task_devcal@fpr0.005,twotier:ACT_b,early_tp,39,1.0256410256410255,8,2,29,0.1402,False
baseline:length_only_task_devcal@fpr0.005,prior:HB_MoE_top4churn@qfpr1pct,tp,39,11.102564102564102,35,0,4,0.0,True
baseline:length_only_task_devcal@fpr0.005,prior:HB_MoE_top4churn@qfpr1pct,fp,39,-8.743589743589743,0,38,1,0.0,True
baseline:length_only_task_devcal@fpr0.005,prior:HB_MoE_top4churn@qfpr1pct,early_tp,39,-1.358974358974359,9,20,10,0.2335,False
v7_guard,v4_dual_regime,tp,39,0.7435897435897436,6,15,18,0.59735,False
v7_guard,v4_dual_regime,fp,39,-0.02564102564102564,9,12,18,1.0,False
v7_guard,v4_dual_regime,early_tp,39,-0.48717948717948717,4,9,26,0.12565,False
combo:P-C,expert_load_effective_rank|per_task,tp,39,0.5384615384615384,14,3,22,0.30095,False
combo:P-C,expert_load_effective_rank|per_task,fp,39,-0.9230769230769231,8,18,13,0.0414,True
combo:P-C,expert_load_effective_rank|per_task,early_tp,39,-0.02564102564102564,8,10,21,1.0,False
combo:G-A,mobility|global,tp,39,2.3846153846153846,12,10,17,0.1091,False
combo:G-A,mobility|global,fp,39,-0.10256410256410256,5,4,30,0.7174,False
combo:G-A,mobility|global,early_tp,39,-0.3076923076923077,5,4,30,0.33175,False
twotier:WATCH_a3,twotier:WATCH_a1,tp,39,1.564102564102564,19,0,20,0.0,True
twotier:WATCH_a3,twotier:WATCH_a1,fp,39,3.5128205128205128,11,0,28,0.00095,True
twotier:WATCH_a3,twotier:WATCH_a1,early_tp,39,1.3076923076923077,8,0,31,0.00735,True
mobility|global,mobility|per_task,tp,39,-1.9743589743589745,3,23,13,0.6094,False
mobility|global,mobility|per_task,fp,39,-1.0256410256410255,2,14,23,0.0388,True
mobility|global,mobility|per_task,early_tp,39,-0.9230769230769231,0,9,30,0.0037,True
prior:HB_MoE_top4churn@qfpr1pct,mobility|global,tp,39,-1.641025641025641,16,14,9,0.58165,False
prior:HB_MoE_top4churn@qfpr1pct,mobility|global,fp,39,9.461538461538462,38,0,1,0.0,True
prior:HB_MoE_top4churn@qfpr1pct,mobility|global,early_tp,39,2.051282051282051,22,4,13,0.0239,True
