method,tp,tp_not_found_by_any_other_routing_method
baseline:length_only_task_devcal@fpr0.005,564,0
v7_guard,439,0
v4_dual_regime,410,0
combo:P-C,391,0
combo:G-A,288,0
mobility|global,195,0
expert_load_effective_rank|per_task,370,0
twotier:WATCH_a3,410,0
twotier:ACT_b,146,0
build:OR_crossframe_global,381,0
prior:HB_MoE_top4churn@qfpr1pct,131,0
