method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
v4:front_lock,per_task,libero_goal,30,106,4000,65,64,1,0.9846153846153847,0.6037735849056604,0.6522078407905092,1.5096650531247533,24.0
v4:front_lock,per_task,libero_long,52,274,4000,112,82,30,0.7321428571428571,0.29927007299270075,0.3436373071660571,2.130568602055367,26.0
v4:front_lock,per_task,libero_object,28,44,3600,16,15,1,0.9375,0.3409090909090909,0.7643437930066354,1.226542308026385,22.5
v4:front_lock,per_task,libero_spatial,22,140,4000,83,79,4,0.9518072289156626,0.5642857142857143,0.9520461415425169,0.999749053521222,19.0
v4:back_lock,per_task,libero_goal,30,106,4000,96,85,11,0.8854166666666666,0.8018867924528302,0.6690244400940584,1.323444426846627,24.0
v4:back_lock,per_task,libero_long,52,274,4000,325,202,123,0.6215384615384615,0.7372262773722628,0.3354741848357545,1.8527162137461093,30.0
v4:back_lock,per_task,libero_object,28,44,3600,19,18,1,0.9473684210526315,0.4090909090909091,0.6727480284362243,1.4082069080971538,20.0
v4:back_lock,per_task,libero_spatial,22,140,4000,115,104,11,0.9043478260869565,0.7428571428571429,0.9163351992949422,0.986918135178907,18.0
v4:all_lock,per_task,libero_goal,30,106,4000,84,81,3,0.9642857142857143,0.7641509433962265,0.7219767701430223,1.335618754180541,24.0
v4:all_lock,per_task,libero_long,52,274,4000,260,191,69,0.7346153846153847,0.6970802919708029,0.38315783332286735,1.917265734187306,32.0
v4:all_lock,per_task,libero_object,28,44,3600,18,17,1,0.9444444444444444,0.38636363636363635,0.7200926639612875,1.3115595974120606,22.0
v4:all_lock,per_task,libero_spatial,22,140,4000,96,93,3,0.96875,0.6642857142857143,0.9596641521591781,1.0094677370415257,19.0
v4:L5_switching,per_task,libero_goal,30,106,4000,15,13,2,0.8666666666666667,0.12264150943396226,0.5274673015797448,1.6430718341611557,17.0
v4:L5_switching,per_task,libero_long,52,274,4000,7,5,2,0.7142857142857143,0.01824817518248175,0.6422974202518275,1.1120793759465237,37.0
v4:L5_switching,per_task,libero_object,28,44,3600,15,14,1,0.9333333333333333,0.3181818181818182,0.596337946829965,1.5651080705073033,20.0
v4:L5_switching,per_task,libero_spatial,22,140,4000,2,2,0,1.0,0.014285714285714285,0.8536585365853658,1.1714285714285715,14.0
v4_dual_regime,per_task,libero_goal,30,106,4000,93,88,5,0.946236559139785,0.8301886792452831,0.6734675100034104,1.405021838596183,24.0
v4_dual_regime,per_task,libero_long,52,274,4000,267,196,71,0.7340823970037453,0.7153284671532847,0.3899517550775592,1.8824954303840498,33.0
v4_dual_regime,per_task,libero_object,28,44,3600,33,31,2,0.9393939393939394,0.7045454545454546,0.6638405198106864,1.4150897864171281,21.0
v4_dual_regime,per_task,libero_spatial,22,140,4000,98,95,3,0.9693877551020408,0.6785714285714286,0.9575007722495086,1.0124145934886355,19.0
v7:freeze,task_agnostic,libero_goal,30,106,4000,61,61,0,1.0,0.5754716981132075,0.7379020615241958,1.3551933950888007,24.0
v7:freeze,task_agnostic,libero_long,52,274,4000,243,192,51,0.7901234567901234,0.7007299270072993,0.4203171908277881,1.879826650044994,32.0
v7:freeze,task_agnostic,libero_object,28,44,3600,23,17,6,0.7391304347826086,0.38636363636363635,0.5596682223188459,1.3206582137542233,19.0
v7:freeze,task_agnostic,libero_spatial,22,140,4000,75,73,2,0.9733333333333334,0.5214285714285715,0.9734114323598834,0.9999197677118291,19.0
v7:acceleration,task_agnostic,libero_goal,30,106,4000,35,27,8,0.7714285714285715,0.25471698113207547,0.7694208314375099,1.0026094172512985,21.0
v7:acceleration,task_agnostic,libero_long,52,274,4000,370,177,193,0.4783783783783784,0.6459854014598541,0.3523346713423441,1.357738585748107,26.0
v7:acceleration,task_agnostic,libero_object,28,44,3600,27,25,2,0.9259259259259259,0.5681818181818182,0.7411182272640853,1.2493633159503814,21.0
v7:acceleration,task_agnostic,libero_spatial,22,140,4000,62,60,2,0.967741935483871,0.42857142857142855,0.9736521162153223,0.9939298845727109,20.0
v7:periodicity,task_agnostic,libero_goal,30,106,4000,94,86,8,0.9148936170212766,0.8113207547169812,0.6494492917851068,1.4087221721445828,22.0
v7:periodicity,task_agnostic,libero_long,52,274,4000,590,106,484,0.17966101694915254,0.38686131386861317,0.15327028898425643,1.1721842383138386,15.0
v7:periodicity,task_agnostic,libero_object,28,44,3600,841,19,822,0.022592152199762187,0.4318181818181818,0.04044625037202747,0.5585722283761282,12.0
v7:periodicity,task_agnostic,libero_spatial,22,140,4000,668,130,538,0.19461077844311378,0.9285714285714286,0.19350571223296983,1.0057107679013295,11.0
v7:turbulence,task_agnostic,libero_goal,30,106,4000,16,15,1,0.9375,0.14150943396226415,0.9007824846065642,1.0407617999027512,23.0
v7:turbulence,task_agnostic,libero_long,52,274,4000,115,88,27,0.7652173913043478,0.32116788321167883,0.5774558351570701,1.3251531021349987,32.0
v7:turbulence,task_agnostic,libero_object,28,44,3600,12,10,2,0.8333333333333334,0.22727272727272727,0.8938072342235591,0.9323412268611153,22.5
v7:turbulence,task_agnostic,libero_spatial,22,140,4000,55,54,1,0.9818181818181818,0.38571428571428573,0.9794798948273321,1.002387274106593,20.0
v7_guard,task_agnostic,libero_goal,30,106,4000,74,73,1,0.9864864864864865,0.6886792452830188,0.7647080862944404,1.2900170720918116,24.0
v7_guard,task_agnostic,libero_long,52,274,4000,305,236,69,0.7737704918032787,0.8613138686131386,0.43086456101522413,1.795855500345823,31.0
v7_guard,task_agnostic,libero_object,28,44,3600,29,22,7,0.7586206896551724,0.5,0.6318904747072418,1.2005572484798814,20.0
v7_guard,task_agnostic,libero_spatial,22,140,4000,111,108,3,0.972972972972973,0.7714285714285715,0.9748318677591397,0.9980931124149237,19.0
mobility|per_task,per_task,libero_goal,30,106,4000,81,78,3,0.9629629629629629,0.7358490566037735,0.6276542248895665,1.534225254569732,23.0
mobility|per_task,per_task,libero_long,52,274,4000,136,94,42,0.6911764705882353,0.34306569343065696,0.34627810906765644,1.996015493007073,24.5
mobility|per_task,per_task,libero_object,28,44,3600,17,15,2,0.8823529411764706,0.3409090909090909,0.6927065154286313,1.2737760097874788,21.0
mobility|per_task,per_task,libero_spatial,22,140,4000,95,85,10,0.8947368421052632,0.6071428571428571,0.9070552295855687,0.9864193633656312,18.0
mobility|global,global,libero_goal,30,106,4000,38,37,1,0.9736842105263158,0.3490566037735849,0.629613274001022,1.5464798007494602,23.5
mobility|global,global,libero_long,52,274,4000,172,156,16,0.9069767441860465,0.5693430656934306,0.49232783998238483,1.8422211187945363,35.0
mobility|global,global,libero_object,28,44,3600,2,2,0,1.0,0.045454545454545456,0.9671497584541062,1.033966033966034,25.5
mobility|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
conditional_query_d1|per_task,per_task,libero_goal,30,106,4000,35,33,2,0.9428571428571428,0.3113207547169811,0.43229996556800604,2.1810252555035654,16.0
conditional_query_d1|per_task,per_task,libero_long,52,274,4000,77,64,13,0.8311688311688312,0.23357664233576642,0.45371076867663906,1.831935427922822,32.0
conditional_query_d1|per_task,per_task,libero_object,28,44,3600,18,15,3,0.8333333333333334,0.3409090909090909,0.6976407220734381,1.194502136940354,20.0
conditional_query_d1|per_task,per_task,libero_spatial,22,140,4000,47,43,4,0.9148936170212766,0.30714285714285716,0.9574386457091588,0.9555637023024386,18.0
conditional_query_d1|global,global,libero_goal,30,106,4000,13,13,0,1.0,0.12264150943396226,0.9141361293292621,1.0939289761293425,25.0
conditional_query_d1|global,global,libero_long,52,274,4000,192,163,29,0.8489583333333334,0.5948905109489051,0.4223811284602165,2.0099343368587443,32.0
conditional_query_d1|global,global,libero_object,28,44,3600,2,2,0,1.0,0.045454545454545456,0.9671497584541062,1.033966033966034,25.5
conditional_query_d1|global,global,libero_spatial,22,140,4000,18,16,2,0.8888888888888888,0.11428571428571428,0.9697029866616115,0.9166609787900719,18.0
partial_query_d1|per_task,per_task,libero_goal,30,106,4000,44,38,6,0.8636363636363636,0.3584905660377358,0.5049230744203403,1.7104315635165452,17.0
partial_query_d1|per_task,per_task,libero_long,52,274,4000,70,60,10,0.8571428571428571,0.21897810218978103,0.45335134134168725,1.890681197955992,33.0
partial_query_d1|per_task,per_task,libero_object,28,44,3600,7,6,1,0.8571428571428571,0.13636363636363635,0.9001173222912352,0.9522568179901402,23.0
partial_query_d1|per_task,per_task,libero_spatial,22,140,4000,55,52,3,0.9454545454545454,0.37142857142857144,0.9597909843480406,0.9850629573237412,20.0
partial_query_d1|global,global,libero_goal,30,106,4000,0,0,0,0.0,0.0,,,
partial_query_d1|global,global,libero_long,52,274,4000,233,62,171,0.26609442060085836,0.22627737226277372,0.14744243443339294,1.8047343129095335,17.0
partial_query_d1|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
partial_query_d1|global,global,libero_spatial,22,140,4000,5,3,2,0.6,0.02142857142857143,0.46154408767979227,1.2999841532284235,13.0
