model,snapshots,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high
initial_policy_state,4,10.0,0.14253685216367473,0.32980895787477493,0.12308814783632527,0.06755359743654124,0.19478547683660374
mean_moe_action,4,10.0,0.19847111257419492,0.3966362774372101,0.06715388742580508,0.018061836167213616,0.08075135660464564
mean_moe_action+state,4,10.0,0.23360078769249992,0.4335891976952553,0.03202421230750008,-0.05887461176900713,0.16755732263412093
sim_state+mean_moe_action+state,4,10.0,0.23366009833455803,0.43337177485227585,0.03196490166544197,-0.06636785626620835,0.11869443148941716
initial_sim_state,4,10.0,0.24138427576420174,0.4094810336828232,0.02424072423579826,-0.11502484244024469,0.13077296704372185
as_moe,4,10.0,0.26562499875823686,0.4583333283662796,1.2417631367611648e-09,-2.25690507543036e-08,1.821252998412959e-08
mean_rate,4,,0.265625,0.45833333333333337,0.0,0.0,0.0
mean_moe_state,4,10.0,0.2797912058001524,0.47127701342105865,-0.014166205800152376,-0.15605215131341643,0.07445442617961663
mean_output_action,4,10.0,0.5127485172957131,0.6206033378839493,-0.24712351729571316,-0.36941084368460203,0.11736311678148706
