family,quantity,mode,primary,representation,direction,quantile,dev_low_prior_tp,dev_lift,median_alarm_chunk,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
published,conditional_query_d1,global,False,L5,low,0.95,24,1.633233216802104,31.0,194,31,0.34397163120567376,0.0020617185421654693,0.8622222222222222,38,10,0.7916666666666666,0.1958762886597938,0.4994217760998185,1.7264409833220637
published,mobility,global,False,L12,low,0.975,19,1.7335914587939218,34.0,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853
published,expert_load_effective_rank,global,False,L3,low,0.925,12,1.197632692247722,17.0,237,36,0.42021276595744683,0.0023942537909018356,0.8681318681318682,30,22,0.5769230769230769,0.12658227848101267,0.6711226645210323,1.293551706753098
published,partial_edge_std,global,False,L3,high,0.95,41,3.242257717055814,19.0,42,35,0.07446808510638298,0.0023277467411545625,0.5454545454545454,26,34,0.43333333333333335,0.6190476190476191,0.2216066532790339,2.461363579945145
published,conditional_effective_rank,global,False,L3,high,0.96,27,2.9898808562259394,17.0,42,62,0.07446808510638298,0.004123437084330939,0.40384615384615385,20,59,0.25316455696202533,0.47619047619047616,0.21061165881695576,1.9174919190828827
circuit,kirchhoff_efficiency,global,True,back_median,high,0.9,18,1.4476133126383768,21.0,50,21,0.08865248226950355,0.0013966480446927375,0.704225352112676,19,17,0.5277777777777778,0.38,0.48216795955158914,1.460539503221238
circuit,spectral_erank,global,True,back_median,high,0.9,18,1.4327584910238575,22.0,52,19,0.09219858156028368,0.001263633945198191,0.7323943661971831,19,15,0.5588235294117647,0.36538461538461536,0.49788751974709944,1.4710036647819587
circuit,dd_deficit,global,False,L3,low,0.96,25,3.3905435925362775,17.0,41,62,0.0726950354609929,0.004123437084330939,0.39805825242718446,18,59,0.23376623376623376,0.43902439024390244,0.2152403974293834,1.8493659051980724
circuit,res_cv,global,True,back_median,low,0.9,16,1.4985910412847177,16.0,42,18,0.07446808510638298,0.0011971268954509178,0.7,18,15,0.5454545454545454,0.42857142857142855,0.46032032637065756,1.5206801870320807
circuit,thalt_cv,global,False,back_median,low,0.9,14,1.3947387222291856,25.0,43,19,0.07624113475177305,0.001263633945198191,0.6935483870967742,18,10,0.6428571428571429,0.4186046511627907,0.4557011680551883,1.5219368211335838
circuit,gap_ratio,global,True,back_median,high,0.9,17,1.6105828202108505,16.0,39,15,0.06914893617021277,0.0009976057462090981,0.7222222222222222,16,12,0.5714285714285714,0.41025641025641024,0.48503367269931513,1.4890146042910848
circuit,norm_fiedler,global,True,L15,high,0.95,14,1.5115170329632828,21.0,42,2,0.07446808510638298,0.00013301409949454643,0.9545454545454546,15,2,0.8823529411764706,0.35714285714285715,0.6494644432270036,1.4697424385584381
published,action_consensus,global,False,L15,high,0.975,13,3.477332966377684,16.0,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053
circuit,res_adjacent_mean,global,False,L3,high,0.975,17,3.0078419378803565,19.0,20,23,0.03546099290780142,0.0015296621441872838,0.46511627906976744,10,22,0.3125,0.5,0.23935205912207685,1.9432307404238538
circuit,res_chain_series,global,False,L3,high,0.975,17,3.0078419378803565,19.0,20,23,0.03546099290780142,0.0015296621441872838,0.46511627906976744,10,22,0.3125,0.5,0.23935205912207685,1.9432307404238538
circuit,res_mean,global,False,L3,high,0.975,17,3.0078419378803565,19.0,21,23,0.03723404255319149,0.0015296621441872838,0.4772727272727273,10,22,0.3125,0.47619047619047616,0.25255676872014615,1.8897641496260393
published,partial_query_d1,global,False,L3,high,0.96,30,3.225353913205714,17.0,20,63,0.03546099290780142,0.004189944134078212,0.24096385542168675,10,62,0.1388888888888889,0.5,0.16096812117851791,1.4969663164202025
circuit,res_end2end,global,False,L3,high,0.975,20,3.0587739958748386,19.0,21,21,0.03723404255319149,0.0013966480446927375,0.5,9,19,0.32142857142857145,0.42857142857142855,0.29594987461796857,1.6894752891699403
circuit,res_shortcut,global,True,L12,high,0.96,6,1.1865139776300748,21.0,39,6,0.06914893617021277,0.0003990422984836393,0.8666666666666667,9,4,0.6923076923076923,0.23076923076923078,0.6716289721782805,1.2903949986788454
circuit,th_max,global,False,L2,low,0.975,1,1.0903155617612557,20.0,36,1,0.06382978723404255,6.650704974727321e-05,0.972972972972973,7,0,1.0,0.19444444444444445,0.7745058679266432,1.2562499695162122
circuit,th_mean,global,False,L2,low,0.98,1,1.086287896040356,20.0,36,2,0.06382978723404255,0.00013301409949454643,0.9473684210526315,6,1,0.8571428571428571,0.16666666666666666,0.7676682370935423,1.234085735576933
