family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
circuit,lam_max,development_main,L2,0.4996906146170543,0.5021036062081281,0.00030938538294572604
circuit,lam_max,development_main,L3,0.46075696691160856,0.45939089720181886,0.039243033088391444
circuit,lam_max,development_main,L4,0.5003994490523747,0.4990729881252253,0.00039944905237465633
circuit,lam_max,development_main,L5,0.48490632583243637,0.4945320668366219,0.015093674167563631
circuit,lam_max,development_main,L12,0.5276025559309157,0.5271645628983262,0.02760255593091565
circuit,lam_max,development_main,L13,0.49542484704594075,0.4933985997035816,0.004575152954059247
circuit,lam_max,development_main,L14,0.5026711131175252,0.5073186939997458,0.0026711131175252145
circuit,lam_max,development_main,L15,0.4885613321758743,0.48294096295661276,0.011438667824125726
circuit,lam_max,external_8b,L2,0.5209728584956802,0.522943357890379,0.020972858495680202
circuit,lam_max,external_8b,L3,0.4517673771068402,0.4502070542788031,0.04823262289315983
circuit,lam_max,external_8b,L4,0.5203224807456001,0.5183878469010037,0.020322480745600058
circuit,lam_max,external_8b,L5,0.5036095925621628,0.5117381382061225,0.0036095925621627556
circuit,lam_max,external_8b,L12,0.5338286507873672,0.5325722614024624,0.03382865078736719
circuit,lam_max,external_8b,L13,0.4914998396245851,0.48974411825666864,0.0085001603754149
circuit,lam_max,external_8b,L14,0.5043387884152323,0.5085933316514487,0.004338788415232275
circuit,lam_max,external_8b,L15,0.4700317900998984,0.46350685408062625,0.029968209900101572
circuit,gap_ratio,development_main,L2,0.46999454381723577,0.47287722671024784,0.030005456182764234
