family,quantity,mode,primary,representation,direction,quantile,dev_low_prior_tp,dev_lift,median_alarm_chunk,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,precision_lo95,precision_hi95,lift_lo95,lift_hi95,lift_significant
published,conditional_query_d1,global,False,L5,low,0.95,24,1.633233216802104,31.0,194,31,0.3439716312056737,0.0020617185421654,0.8622222222222222,38,10,0.7916666666666666,0.1958762886597938,0.4994217760998185,1.7264409833220635,0.8110736854609121,0.9012098353605157,1.6240254716061966,1.8045064882801436,True
published,mobility,global,False,L12,low,0.975,19,1.7335914587939218,34.0,195,17,0.3457446808510638,0.0011306198457036,0.9198113207547168,36,4,0.9,0.1846153846153846,0.5214150585184776,1.7640674271437853,0.8753457925243777,0.9493335854369387,1.678788861625019,1.8206869363043086,True
published,expert_load_effective_rank,global,False,L3,low,0.925,12,1.197632692247722,17.0,237,36,0.4202127659574468,0.0023942537909018,0.8681318681318682,30,22,0.5769230769230769,0.1265822784810126,0.6711226645210323,1.293551706753098,0.8228414991096269,0.903205823624919,1.2260672193165663,1.345813323514443,True
published,partial_edge_std,global,False,L3,high,0.95,41,3.242257717055814,19.0,42,35,0.0744680851063829,0.0023277467411545,0.5454545454545454,26,34,0.4333333333333333,0.6190476190476191,0.2216066532790339,2.461363579945145,0.43473084290770964,0.6518583911555924,1.961722883655133,2.941510922665355,True
published,conditional_effective_rank,global,False,L3,high,0.96,27,2.98988085622594,17.0,42,62,0.0744680851063829,0.0041234370843309,0.4038461538461538,20,59,0.2531645569620253,0.4761904761904761,0.2106116588169557,1.9174919190828827,0.3146012745308088,0.4999412936208402,1.4937505183615278,2.373758871797991,True
circuit,kirchhoff_efficiency,global,True,back_median,high,0.9,18,1.4476133126383768,21.0,50,21,0.0886524822695035,0.0013966480446927,0.704225352112676,19,17,0.5277777777777778,0.38,0.4821679595515891,1.460539503221238,0.5898146179892135,0.7976711480055388,1.2232555197938384,1.654342915583533,True
circuit,spectral_erank,global,True,back_median,high,0.9,18,1.4327584910238575,22.0,52,19,0.0921985815602836,0.0012636339451981,0.7323943661971831,19,15,0.5588235294117647,0.3653846153846153,0.4978875197470994,1.4710036647819589,0.6194601133933413,0.8214719651524114,1.2441768247334144,1.6499147549825628,True
circuit,dd_deficit,global,False,L3,low,0.96,25,3.390543592536277,17.0,41,62,0.0726950354609929,0.0041234370843309,0.3980582524271844,18,59,0.2337662337662337,0.4390243902439024,0.2152403974293834,1.8493659051980724,0.3088339434681383,0.49461314316432037,1.4348326204399493,2.297956838360672,True
circuit,res_cv,global,True,back_median,low,0.9,16,1.4985910412847177,16.0,42,18,0.0744680851063829,0.0011971268954509,0.7,18,15,0.5454545454545454,0.4285714285714285,0.4603203263706575,1.5206801870320807,0.5749129205003304,0.8010183386322168,1.248940982105146,1.740132452867666,True
circuit,thalt_cv,global,False,back_median,low,0.9,14,1.3947387222291856,25.0,43,19,0.076241134751773,0.0012636339451981,0.6935483870967742,18,10,0.6428571428571429,0.4186046511627907,0.4557011680551883,1.5219368211335838,0.5703278379161566,0.7941841341636532,1.2515391179490818,1.7427739708305345,True
circuit,gap_ratio,global,True,back_median,high,0.9,17,1.6105828202108503,16.0,39,15,0.0691489361702127,0.000997605746209,0.7222222222222222,16,12,0.5714285714285714,0.4102564102564102,0.4850336726993151,1.4890146042910848,0.5910955706796761,0.8238317234892141,1.2186691439175843,1.6985041861205556,True
