horizon_phase,tp,fn,fp,tn,tpr,fpr,precision,tp_with_at_least_3_query_lead,tp_with_at_least_5_query_lead,median_failure_alarm_lead_queries
0.1,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,46.0
0.11,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,46.0
0.12000000000000001,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,45.0
0.13,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,45.0
0.14,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,44.0
0.15000000000000002,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,44.0
0.16,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,43.0
0.17,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,43.0
0.18,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,42.0
0.19,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,42.0
0.2,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,41.0
0.21000000000000002,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,41.0
0.22,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,40.0
0.23,530,0,15070,0,1.0,1.0,0.03397435897435897,530,530,40.0
0.24000000000000002,530,0,14949,121,1.0,0.9919708029197081,0.034239937980489694,530,530,39.0
0.25,530,0,14949,121,1.0,0.9919708029197081,0.034239937980489694,530,530,39.0
0.26,530,0,14949,121,1.0,0.9919708029197081,0.034239937980489694,530,530,38.0
0.27,530,0,14264,806,1.0,0.9465162574651625,0.035825334595106124,530,530,37.0
0.28,530,0,14264,806,1.0,0.9465162574651625,0.035825334595106124,530,530,37.0
0.29000000000000004,530,0,14243,827,1.0,0.9451227604512276,0.03587626074595546,530,530,36.0
0.30000000000000004,530,0,13075,1995,1.0,0.8676177836761778,0.03895626607864756,530,530,36.0
0.31,530,0,13016,2054,1.0,0.8637027206370272,0.039125941237265614,530,530,35.0
0.32,530,0,13000,2070,1.0,0.8626410086264101,0.03917220990391722,530,530,35.0
0.33,530,0,12913,2157,1.0,0.8568679495686795,0.039425723424830764,530,530,34.0
0.33999999999999997,530,0,12552,2518,1.0,0.8329130723291307,0.040513682923100446,530,530,34.0
0.35,530,0,12471,2599,1.0,0.8275381552753815,0.04076609491577571,530,530,33.0
0.36,530,0,12471,2599,1.0,0.8275381552753815,0.04076609491577571,530,530,33.0
0.37,530,0,12088,2982,1.0,0.8021234240212343,0.04200348708194643,530,530,32.0
0.38,530,0,12088,2982,1.0,0.8021234240212343,0.04200348708194643,530,530,32.0
0.39,530,0,12055,3015,1.0,0.7999336429993364,0.04211362733412793,530,530,31.0
0.4,530,0,12027,3043,1.0,0.7980756469807565,0.042207533646571635,530,530,31.0
0.41000000000000003,530,0,10915,4155,1.0,0.7242866622428666,0.04630843162953255,530,530,30.0
0.42000000000000004,530,0,10915,4155,1.0,0.7242866622428666,0.04630843162953255,530,530,30.0
0.43000000000000005,530,0,9932,5138,1.0,0.6590577305905773,0.05065952972662971,530,530,29.0
0.44000000000000006,530,0,9547,5523,1.0,0.6335102853351029,0.05259501835863848,530,530,29.0
0.45000000000000007,530,0,9100,5970,1.0,0.6038487060384871,0.055036344755970926,530,530,28.0
0.45999999999999996,530,0,8173,6897,1.0,0.5423357664233577,0.06089854073308055,530,530,28.0
0.47,530,0,6189,8881,1.0,0.4106834771068348,0.07888078583122489,530,530,27.0
0.48,530,0,6189,8881,1.0,0.4106834771068348,0.07888078583122489,530,530,27.0
0.49,530,0,5548,9522,1.0,0.3681486396814864,0.08719973675551168,530,530,26.0
0.5,530,0,5548,9522,1.0,0.3681486396814864,0.08719973675551168,530,530,26.0
0.51,530,0,3716,11354,1.0,0.24658261446582613,0.12482336316533207,530,530,25.0
0.52,530,0,3466,11604,1.0,0.22999336429993364,0.13263263263263264,530,530,24.0
0.53,530,0,3466,11604,1.0,0.22999336429993364,0.13263263263263264,530,530,24.0
0.54,530,0,2579,12491,1.0,0.17113470471134704,0.1704728208427147,530,530,23.0
0.55,530,0,1845,13225,1.0,0.12242866622428666,0.2231578947368421,530,530,23.0
0.56,530,0,1810,13260,1.0,0.1201061712010617,0.2264957264957265,530,530,22.0
0.5700000000000001,530,0,1787,13283,1.0,0.1185799601857996,0.22874406560207164,530,530,22.0
0.58,530,0,1486,13584,1.0,0.09860650298606503,0.2628968253968254,530,530,21.0
0.59,530,0,1486,13584,1.0,0.09860650298606503,0.2628968253968254,530,530,21.0
0.6,530,0,1025,14045,1.0,0.06801592568015925,0.3408360128617363,530,530,20.0
0.61,530,0,755,14315,1.0,0.05009953550099536,0.41245136186770426,530,530,20.0
0.62,530,0,742,14328,1.0,0.04923689449236895,0.4166666666666667,530,530,19.0
0.63,530,0,742,14328,1.0,0.04923689449236895,0.4166666666666667,530,530,19.0
0.64,530,0,437,14633,1.0,0.028998009289980094,0.5480868665977249,530,530,18.0
0.65,530,0,408,14662,1.0,0.027073656270736563,0.5650319829424307,530,530,18.0
0.66,530,0,405,14665,1.0,0.02687458526874585,0.5668449197860963,530,530,17.0
0.67,530,0,366,14704,1.0,0.024286662242866623,0.5915178571428571,530,530,17.0
0.6799999999999999,530,0,338,14732,1.0,0.022428666224286662,0.6105990783410138,530,530,16.0
0.69,530,0,324,14746,1.0,0.021499668214996683,0.6206088992974239,530,530,16.0
0.7,530,0,307,14763,1.0,0.020371599203715993,0.6332138590203107,530,530,15.0
0.71,530,0,304,14766,1.0,0.02017252820172528,0.6354916067146283,530,530,15.0
0.72,530,0,270,14800,1.0,0.017916390179163903,0.6625,530,530,14.0
0.73,530,0,269,14801,1.0,0.01785003317850033,0.6633291614518148,530,530,14.0
0.74,530,0,224,14846,1.0,0.014863968148639682,0.7029177718832891,530,530,13.0
0.75,530,0,224,14846,1.0,0.014863968148639682,0.7029177718832891,530,530,13.0
0.76,530,0,122,14948,1.0,0.00809555408095554,0.8128834355828221,530,530,12.0
0.77,530,0,73,14997,1.0,0.00484406104844061,0.87893864013267,530,530,11.0
0.78,530,0,71,14999,1.0,0.0047113470471134705,0.8818635607321131,530,404,11.0
0.79,530,0,41,15029,1.0,0.00272063702720637,0.9281961471103327,530,404,10.0
0.8,530,0,41,15029,1.0,0.00272063702720637,0.9281961471103327,530,404,10.0
0.8099999999999999,530,0,31,15039,1.0,0.0020570670205706703,0.9447415329768271,530,404,9.0
0.82,530,0,31,15039,1.0,0.0020570670205706703,0.9447415329768271,530,404,9.0
0.83,530,0,24,15046,1.0,0.0015925680159256802,0.9566787003610109,530,367,8.0
0.84,530,0,22,15048,1.0,0.00145985401459854,0.9601449275362319,530,267,8.0
0.85,530,0,18,15052,1.0,0.0011944260119442602,0.9671532846715328,530,267,7.0
0.86,530,0,18,15052,1.0,0.0011944260119442602,0.9671532846715328,530,267,7.0
0.87,530,0,15,15055,1.0,0.0009953550099535502,0.9724770642201835,404,267,6.0
0.88,530,0,15,15055,1.0,0.0009953550099535502,0.9724770642201835,404,267,6.0
0.89,530,0,13,15057,1.0,0.0008626410086264101,0.9760589318600368,404,267,5.0
