corpus,target,horizon,feature_block,t_bin,metric,value,n
A,obj_ncfar,1,clock,all,auc,0.7207027162438079,15806
A,obj_ncfar,1,clock,q0-11,auc,nan,4224
A,obj_ncfar,1,clock,q12-23,auc,0.7744514505820751,4224
A,obj_ncfar,1,clock,q24+,auc,0.7523570852944454,7358
A,obj_free_disp,1,clock,all,r2,-0.004313893951935849,15806
A,obj_free_disp,1,clock,all,r2_within_branch,0.0014907721482313174,15806
A,obj_free_disp,1,clock,q0-11,r2,-0.0004442440210423726,4224
A,obj_free_disp,1,clock,q12-23,r2,-0.0016276796895765278,4224
A,obj_free_disp,1,clock,q24+,r2,-0.011122967047359045,7358
A,obj_gt_arm,1,clock,all,auc,0.568289087807452,15806
A,obj_gt_arm,1,clock,q0-11,auc,0.475823347663749,4224
A,obj_gt_arm,1,clock,q12-23,auc,0.4778194313117139,4224
A,obj_gt_arm,1,clock,q24+,auc,0.6311551080883863,7358
A,undo_nc,1,clock,all,auc,0.27235567861523696,15806
A,undo_nc,1,clock,q0-11,auc,nan,4224
A,undo_nc,1,clock,q12-23,auc,0.6484782608695652,4224
A,undo_nc,1,clock,q24+,auc,0.22786393196598298,7358
A,eef_disp,1,clock_causal,all,r2,-0.12863388561597233,15806
A,eef_disp,1,clock_causal,all,r2_within_branch,-0.026910781577478227,15806
A,eef_disp,1,clock_causal,q0-11,r2,-0.5158709145138998,4224
A,eef_disp,1,clock_causal,q12-23,r2,-0.6303411908829033,4224
A,eef_disp,1,clock_causal,q24+,r2,-0.16055284537685643,7358
A,eef_path,1,clock_causal,all,r2,-0.12863387978843316,15806
A,eef_path,1,clock_causal,all,r2_within_branch,-0.026910780703427617,15806
A,eef_path,1,clock_causal,q0-11,r2,-0.5158709230886454,4224
A,eef_path,1,clock_causal,q12-23,r2,-0.6303411347396605,4224
A,eef_path,1,clock_causal,q24+,r2,-0.16055285457772617,7358
A,obj_disp,1,clock_causal,all,r2,-0.7948921229106549,15806
A,obj_disp,1,clock_causal,all,r2_within_branch,-0.006822865141295209,15806
A,obj_disp,1,clock_causal,q0-11,r2,-62.06556467107841,4224
A,obj_disp,1,clock_causal,q12-23,r2,-0.3294193917196461,4224
A,obj_disp,1,clock_causal,q24+,r2,-1.3454768117965117,7358
A,dgoal,1,clock_causal,all,r2,-0.8895021087845448,15806
A,dgoal,1,clock_causal,all,r2_within_branch,-0.34314357746614144,15806
A,dgoal,1,clock_causal,q0-11,r2,nan,4224
A,dgoal,1,clock_causal,q12-23,r2,-199371.46635913945,4224
A,dgoal,1,clock_causal,q24+,r2,-0.9953275654638973,7358
A,undo,1,clock_causal,all,auc,0.7437243986295098,15806
A,undo,1,clock_causal,q0-11,auc,nan,4224
A,undo,1,clock_causal,q12-23,auc,0.4883957064113722,4224
A,undo,1,clock_causal,q24+,auc,0.8902613936319053,7358
A,grip_flips,1,clock_causal,all,r2,-0.004019336094760684,15806
A,grip_flips,1,clock_causal,all,r2_within_branch,-0.0007692110995120294,15806
A,grip_flips,1,clock_causal,q0-11,r2,-0.014438862489525334,4224
A,grip_flips,1,clock_causal,q12-23,r2,-0.011253600966724564,4224
A,grip_flips,1,clock_causal,q24+,r2,-0.010998118336654872,7358
A,obj_disp_p1,1,clock_causal,all,r2,-1.0764923027758773,15806
A,obj_disp_p1,1,clock_causal,all,r2_within_branch,-0.43815969695024537,15806
A,obj_disp_p1,1,clock_causal,q0-11,r2,-34589371409.5812,4224
A,obj_disp_p1,1,clock_causal,q12-23,r2,-47270.16669587095,4224
A,obj_disp_p1,1,clock_causal,q24+,r2,-1.2095111564622874,7358
A,obj_disp_p2,1,clock_causal,all,r2,-0.39903448881922743,15806
A,obj_disp_p2,1,clock_causal,all,r2_within_branch,-0.12986536775059113,15806
A,obj_disp_p2,1,clock_causal,q0-11,r2,-66.28246908560942,4224
A,obj_disp_p2,1,clock_causal,q12-23,r2,-0.20818870400136785,4224
A,obj_disp_p2,1,clock_causal,q24+,r2,-14.21645035050403,7358
A,obj_nc,1,clock_causal,all,auc,0.645625231401185,15806
A,obj_nc,1,clock_causal,q0-11,auc,0.6042750050651718,4224
A,obj_nc,1,clock_causal,q12-23,auc,0.49701318910541026,4224
A,obj_nc,1,clock_causal,q24+,auc,0.5043880039185744,7358
A,obj_ncfar,1,clock_causal,all,auc,0.7151998645575934,15806
A,obj_ncfar,1,clock_causal,q0-11,auc,nan,4224
A,obj_ncfar,1,clock_causal,q12-23,auc,0.7720341667188497,4224
A,obj_ncfar,1,clock_causal,q24+,auc,0.7511953615352448,7358
A,obj_free_disp,1,clock_causal,all,r2,-0.03228071986705583,15806
A,obj_free_disp,1,clock_causal,all,r2_within_branch,-0.003543503863178782,15806
A,obj_free_disp,1,clock_causal,q0-11,r2,-0.001922416135166749,4224
A,obj_free_disp,1,clock_causal,q12-23,r2,-0.013358912982272653,4224
A,obj_free_disp,1,clock_causal,q24+,r2,-0.052831879542451554,7358
A,obj_gt_arm,1,clock_causal,all,auc,0.461967115967055,15806
A,obj_gt_arm,1,clock_causal,q0-11,auc,0.7259947238782506,4224
A,obj_gt_arm,1,clock_causal,q12-23,auc,0.3282556175200547,4224
A,obj_gt_arm,1,clock_causal,q24+,auc,0.49460377625504226,7358
A,undo_nc,1,clock_causal,all,auc,0.2289420859328473,15806
A,undo_nc,1,clock_causal,q0-11,auc,nan,4224
A,undo_nc,1,clock_causal,q12-23,auc,0.66,4224
A,undo_nc,1,clock_causal,q24+,auc,0.05177588794397198,7358
A,eef_disp,1,clock_rich,all,r2,0.144033575909337,15806
A,eef_disp,1,clock_rich,all,r2_within_branch,0.14567414312883567,15806
A,eef_disp,1,clock_rich,q0-11,r2,-0.01498093910605866,4224
A,eef_disp,1,clock_rich,q12-23,r2,-0.1638769692177361,4224
A,eef_disp,1,clock_rich,q24+,r2,0.12898274835575155,7358
A,eef_path,1,clock_rich,all,r2,0.14403357899568628,15806
A,eef_path,1,clock_rich,all,r2_within_branch,0.14567414586238486,15806
A,eef_path,1,clock_rich,q0-11,r2,-0.014980937658883753,4224
A,eef_path,1,clock_rich,q12-23,r2,-0.1638769551357882,4224
A,eef_path,1,clock_rich,q24+,r2,0.12898276807437797,7358
A,obj_disp,1,clock_rich,all,r2,-0.4608914070015969,15806
A,obj_disp,1,clock_rich,all,r2_within_branch,-0.37905596739391545,15806
A,obj_disp,1,clock_rich,q0-11,r2,-48.60702878361667,4224
A,obj_disp,1,clock_rich,q12-23,r2,-0.5764631565908067,4224
A,obj_disp,1,clock_rich,q24+,r2,0.09633618768685018,7358
A,dgoal,1,clock_rich,all,r2,0.27485816778581895,15806
A,dgoal,1,clock_rich,all,r2_within_branch,0.263925419464945,15806
A,dgoal,1,clock_rich,q0-11,r2,nan,4224
A,dgoal,1,clock_rich,q12-23,r2,-15296.797911557916,4224
A,dgoal,1,clock_rich,q24+,r2,0.2531309438838294,7358
A,undo,1,clock_rich,all,auc,0.6034253363499964,15806
A,undo,1,clock_rich,q0-11,auc,nan,4224
A,undo,1,clock_rich,q12-23,auc,0.4544531476646359,4224
A,undo,1,clock_rich,q24+,auc,0.8883799260872205,7358
A,grip_flips,1,clock_rich,all,r2,0.038562776565673085,15806
A,grip_flips,1,clock_rich,all,r2_within_branch,0.04099769564996991,15806
A,grip_flips,1,clock_rich,q0-11,r2,0.08783250108418658,4224
A,grip_flips,1,clock_rich,q12-23,r2,0.01760274370401141,4224
A,grip_flips,1,clock_rich,q24+,r2,0.022981151534475858,7358
A,obj_disp_p1,1,clock_rich,all,r2,0.2248672786832225,15806
A,obj_disp_p1,1,clock_rich,all,r2_within_branch,0.213439654971004,15806
A,obj_disp_p1,1,clock_rich,q0-11,r2,-105396929081.9568,4224
A,obj_disp_p1,1,clock_rich,q12-23,r2,-2768.8516277906906,4224
A,obj_disp_p1,1,clock_rich,q24+,r2,0.1914084818990047,7358
A,obj_disp_p2,1,clock_rich,all,r2,-0.6951707639534218,15806
A,obj_disp_p2,1,clock_rich,all,r2_within_branch,-0.5866218567706613,15806
A,obj_disp_p2,1,clock_rich,q0-11,r2,-50.42561570867656,4224
A,obj_disp_p2,1,clock_rich,q12-23,r2,-0.5919540212012986,4224
A,obj_disp_p2,1,clock_rich,q24+,r2,-5.527715838313845,7358
A,obj_nc,1,clock_rich,all,auc,0.6444167799564761,15806
A,obj_nc,1,clock_rich,q0-11,auc,0.4616397649760249,4224
A,obj_nc,1,clock_rich,q12-23,auc,0.5250914996962692,4224
A,obj_nc,1,clock_rich,q24+,auc,0.5748966686449495,7358
A,obj_ncfar,1,clock_rich,all,auc,0.7881793256012251,15806
A,obj_ncfar,1,clock_rich,q0-11,auc,nan,4224
A,obj_ncfar,1,clock_rich,q12-23,auc,0.7364200119007536,4224
A,obj_ncfar,1,clock_rich,q24+,auc,0.7053883906925882,7358
A,obj_free_disp,1,clock_rich,all,r2,-0.06788536544916912,15806
A,obj_free_disp,1,clock_rich,all,r2_within_branch,-0.06465000265318077,15806
A,obj_free_disp,1,clock_rich,q0-11,r2,-0.003956649918102739,4224
A,obj_free_disp,1,clock_rich,q12-23,r2,-0.043326522167987325,4224
A,obj_free_disp,1,clock_rich,q24+,r2,-0.06972459410879317,7358
A,obj_gt_arm,1,clock_rich,all,auc,0.8098102068634566,15806
A,obj_gt_arm,1,clock_rich,q0-11,auc,0.9362994629449014,4224
A,obj_gt_arm,1,clock_rich,q12-23,auc,0.8205915065826741,4224
A,obj_gt_arm,1,clock_rich,q24+,auc,0.6843173033659147,7358
A,undo_nc,1,clock_rich,all,auc,0.40829712176196564,15806
A,undo_nc,1,clock_rich,q0-11,auc,nan,4224
A,undo_nc,1,clock_rich,q12-23,auc,0.6106521739130435,4224
A,undo_nc,1,clock_rich,q24+,auc,0.548024012006003,7358
A,eef_disp,1,route,all,r2,0.21477803817390462,15806
A,eef_disp,1,route,all,r2_within_branch,0.3258732220938919,15806
A,eef_disp,1,route,q0-11,r2,0.05373010681662363,4224
A,eef_disp,1,route,q12-23,r2,-0.058761344677292826,4224
A,eef_disp,1,route,q24+,r2,0.1372938858211462,7358
A,eef_path,1,route,all,r2,0.21477802995539286,15806
A,eef_path,1,route,all,r2_within_branch,0.32587321308926265,15806
A,eef_path,1,route,q0-11,r2,0.05373008657084513,4224
A,eef_path,1,route,q12-23,r2,-0.05876130000955246,4224
A,eef_path,1,route,q24+,r2,0.13729386958278586,7358
A,obj_disp,1,route,all,r2,-0.9708286863840767,15806
A,obj_disp,1,route,all,r2_within_branch,-0.30200523466818896,15806
A,obj_disp,1,route,q0-11,r2,-81.0156042341026,4224
A,obj_disp,1,route,q12-23,r2,-0.3210704618669463,4224
A,obj_disp,1,route,q24+,r2,-1.6977215038013362,7358
A,dgoal,1,route,all,r2,-0.6660025288510378,15806
A,dgoal,1,route,all,r2_within_branch,-0.30294839691224207,15806
