snapshot_key,query,layers,branches,horizontal,vertical_lag1,vertical_lag2,vertical_lag3,vertical_lag4,vertical_lag5,vertical_lag6,vertical_lag7,vertical_lag8
w00_s000,0,deep,16,0.4267876984126984,,,,,,,,
w00_s000,0,front,16,0.6022103174603175,,,,,,,,
w00_s000,1,deep,16,0.5993670634920636,0.8130208333333333,,,,,,,
w00_s000,1,front,16,0.630109126984127,0.7237946428571429,,,,,,,
w00_s000,2,deep,16,0.5368769841269841,0.842827380952381,0.8698660714285715,,,,,,
w00_s000,2,front,16,0.600373015873016,0.680639880952381,0.7963839285714287,,,,,,
w00_s000,3,deep,16,0.492170634920635,0.7288095238095239,0.906279761904762,0.9004613095238096,,,,,
w00_s000,3,front,16,0.5868750000000001,0.6543601190476191,0.7580208333333334,0.8273214285714287,,,,,
w00_s000,4,deep,16,0.5151884920634922,0.6902678571428573,0.8247470238095238,0.9064136904761906,0.9060565476190476,,,,
w00_s000,4,front,16,0.5672678571428572,0.6391369047619049,0.7379613095238096,0.7995833333333333,0.8370833333333334,,,,
w00_s000,5,deep,16,0.5275476190476192,0.7220238095238096,0.8419791666666667,0.8767113095238096,0.8869791666666667,0.9232738095238096,,,
w00_s000,5,front,16,0.5623055555555556,0.6345535714285715,0.7253125000000001,0.7816964285714287,0.8089732142857143,0.8240625000000001,,,
w00_s000,6,deep,16,0.49872420634920644,0.7174851190476191,0.8526488095238096,0.8705208333333334,0.8977529761904762,0.9127529761904762,0.9411011904761905,,
w00_s000,6,front,16,0.5581031746031748,0.604717261904762,0.7135267857142857,0.7566220238095239,0.78,0.8009375000000001,0.8188988095238097,,
w00_s000,7,deep,16,0.5903373015873018,0.7743303571428573,0.8417261904761906,0.8614285714285714,0.8694345238095239,0.9042708333333334,0.9163690476190476,0.9260416666666667,
w00_s000,7,front,16,0.6374464285714286,0.7202380952380953,0.7694642857142857,0.8182738095238096,0.8253125000000001,0.8317261904761906,0.8321279761904763,0.837232142857143,
w00_s000,8,deep,16,0.5548392857142858,0.7166815476190478,0.8371577380952382,0.8877678571428572,0.8917261904761906,0.8859375,0.8956696428571429,0.9143154761904762,0.9020982142857144
w00_s000,8,front,16,0.6387440476190477,0.6908928571428572,0.7673958333333333,0.8010565476190477,0.833407738095238,0.8440476190476192,0.8386309523809524,0.8269196428571428,0.8366369047619049
w00_s000,9,deep,16,0.5529523809523812,0.6901190476190477,0.7819047619047621,0.8616517857142858,0.8864583333333333,0.865044642857143,0.847857142857143,0.887529761904762,0.924404761904762
w00_s000,9,front,16,0.6683630952380953,0.7035416666666667,0.7262797619047621,0.7770089285714287,0.8239285714285715,0.8491666666666667,0.8483630952380954,0.8455952380952381,0.8363244047619048
w00_s000,10,deep,16,0.537748015873016,0.6568303571428573,0.7565327380952382,0.8213095238095238,0.9036607142857144,0.9171279761904763,0.8711755952380953,0.8602678571428571,0.8914583333333334
