task,denoise,family,conditional_auc,auc_ci_low,auc_ci_high,conditional_pairs,mixed_scenes
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,shared_identity,0.5078125,0.29761658795749707,0.6823576097105508,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,8,hidden_identity,0.5625,0.4085844651952462,0.7029042119565216,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,routed_identity,0.4453125,0.15873015873015872,0.6019417475728155,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,routed_scalar,0.59375,0.3909064785788924,0.7768824609733697,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,routed_full,0.59375,0.369860135835156,0.7530964685615847,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,shared_identity,0.5078125,0.31745063879210217,0.6337261212624584,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9,hidden_identity,0.546875,0.3469387755102041,0.6605689553122224,128,7
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,routed_identity,0.4978902953586498,0.4029823902072372,0.5753139024519891,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,routed_scalar,0.4810126582278481,0.3927662603539157,0.5761936090225563,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,routed_full,0.4641350210970464,0.3587552114918132,0.5784871371253244,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,shared_identity,0.5168776371308017,0.45360580214792934,0.5758295361785597,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,hidden_identity,0.4641350210970464,0.384334209257951,0.5310045583782464,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,routed_identity,0.5126582278481012,0.4240482264041969,0.5825269913790758,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,routed_scalar,0.5,0.42051136363636366,0.5800499351125654,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,routed_full,0.4704641350210971,0.3789453336950624,0.5653170680036719,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,shared_identity,0.5084388185654009,0.4415184921763869,0.5681453701705158,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,hidden_identity,0.47468354430379744,0.3852572473965663,0.5487804878048781,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,routed_identity,0.4767932489451477,0.357541523998318,0.5874154014999085,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,routed_scalar,0.5274261603375527,0.45537205877825776,0.5891328136436832,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,routed_full,0.540084388185654,0.4665005172575943,0.6115859810456328,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,shared_identity,0.5126582278481012,0.4441620990387731,0.5740791062801932,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,2,hidden_identity,0.4873417721518987,0.3876983949234789,0.5676663001299828,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,routed_identity,0.4767932489451477,0.3641091747549944,0.580110497237569,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,routed_scalar,0.5358649789029536,0.46394903532301324,0.5953398153147281,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,routed_full,0.5126582278481012,0.4265142884195994,0.5925925925925926,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,shared_identity,0.4767932489451477,0.3904475605359611,0.5496771523178807,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,hidden_identity,0.47890295358649787,0.37415307038140894,0.5637497550780485,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,routed_identity,0.48945147679324896,0.3935905886066255,0.565,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,routed_scalar,0.5421940928270043,0.4405440685045948,0.6328298953475026,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,routed_full,0.5337552742616034,0.41048789173789174,0.6345699129661393,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,shared_identity,0.4704641350210971,0.39315891472868214,0.5422801187782805,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,hidden_identity,0.47468354430379744,0.378593633794437,0.5547966087537587,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,5,routed_identity,0.45147679324894513,0.3633930786405359,0.5174662873999156,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,5,routed_scalar,0.5295358649789029,0.4202225733458177,0.6291668497363796,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,5,routed_full,0.5295358649789029,0.41893345432546886,0.6143633560918811,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,5,shared_identity,0.459915611814346,0.3936749165739711,0.519380423464075,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,5,hidden_identity,0.47257383966244726,0.375,0.5557461406518011,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,routed_identity,0.5358649789029536,0.4301518374763316,0.6266756756756756,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,routed_scalar,0.5147679324894515,0.4305423027989822,0.5912299771167048,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,routed_full,0.4978902953586498,0.40540376541590134,0.5786701086956522,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,shared_identity,0.45358649789029537,0.3781705709314631,0.5172433702317433,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,hidden_identity,0.4641350210970464,0.3995091722255913,0.5194571417298869,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,routed_identity,0.45358649789029537,0.37689548619589286,0.5169522529971061,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,routed_scalar,0.4831223628691983,0.4064794866876202,0.5518876995645864,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,routed_full,0.4578059071729958,0.39377156659765356,0.5185208161014612,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,shared_identity,0.43248945147679324,0.3543617919987427,0.505051145977542,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,hidden_identity,0.45147679324894513,0.38618854471136277,0.5158936607490875,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,routed_identity,0.42616033755274263,0.3444730564892117,0.4916387959866221,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,routed_scalar,0.4641350210970464,0.3806800330504325,0.5384615384615384,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,routed_full,0.4177215189873418,0.3185635945899081,0.5064607872747408,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,shared_identity,0.44936708860759494,0.3592666237142032,0.5354339717832755,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,hidden_identity,0.48945147679324896,0.40425256311321794,0.5775016408114558,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,routed_identity,0.4767932489451477,0.3838833977716804,0.5555616338439094,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,routed_scalar,0.48945147679324896,0.38629603603950485,0.5761609074814765,474,13
