corpus,group,relative,concordant,pairs,n_events,auc_trap_high,event_kind,signal,tier,variant
A,w00_s000,-8,31.0,60,6,0.5166666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-8,5.0,39,13,0.1282051282051282,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-8,7.0,64,8,0.109375,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-8,20.0,39,13,0.5128205128205128,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-8,26.0,64,8,0.40625,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-8,43.0,63,8,0.6825396825396826,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-8,1.0,15,15,0.06666666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-8,4.0,15,15,0.26666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-8,16.0,28,14,0.5714285714285714,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-8,11.0,39,13,0.28205128205128205,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-8,20.0,60,10,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-8,2.0,15,1,0.13333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s002,-8,1.0,1,1,1.0,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s003,-8,3.0,15,1,0.2,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-8,20.0,25,2,0.8,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-8,11.0,23,2,0.4782608695652174,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-7,24.0,60,6,0.4,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-7,6.0,39,13,0.15384615384615385,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-7,11.0,64,8,0.171875,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-7,14.0,39,13,0.358974358974359,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-7,23.0,64,8,0.359375,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-7,41.0,62,8,0.6612903225806451,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-7,2.0,15,15,0.13333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-7,5.0,15,15,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-7,18.0,28,14,0.6428571428571429,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-7,12.0,39,13,0.3076923076923077,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-7,22.0,60,10,0.36666666666666664,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-7,2.0,13,1,0.15384615384615385,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s003,-7,2.0,13,1,0.15384615384615385,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-7,14.0,19,2,0.7368421052631579,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-7,14.0,19,2,0.7368421052631579,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-6,28.0,58,6,0.4827586206896552,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-6,8.0,39,13,0.20512820512820512,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-6,15.0,64,8,0.234375,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-6,18.0,39,13,0.46153846153846156,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-6,31.0,64,8,0.484375,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-6,38.0,59,8,0.6440677966101694,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-6,4.0,15,15,0.26666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-6,3.0,15,15,0.2,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-6,17.0,28,14,0.6071428571428571,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-6,20.0,39,13,0.5128205128205128,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-6,28.0,60,10,0.4666666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-6,8.0,9,1,0.8888888888888888,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s003,-6,4.0,6,1,0.6666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-6,8.0,13,2,0.6153846153846154,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-6,14.0,15,2,0.9333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-5,49.0,58,6,0.8448275862068966,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-5,26.0,39,13,0.6666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-5,43.0,64,8,0.671875,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-5,30.0,39,13,0.7692307692307693,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-5,51.0,64,8,0.796875,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-5,46.0,59,8,0.7796610169491526,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-5,5.0,15,15,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-5,5.0,15,15,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-5,20.0,28,14,0.7142857142857143,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-5,26.0,39,13,0.6666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-5,36.0,60,10,0.6,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-5,2.0,3,1,0.6666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s003,-5,2.0,2,1,1.0,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-5,3.0,8,2,0.375,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-5,14.0,15,2,0.9333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-4,50.0,57,6,0.8771929824561403,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-4,15.0,39,13,0.38461538461538464,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-4,38.0,64,8,0.59375,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-4,25.0,39,13,0.6410256410256411,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-4,50.0,64,8,0.78125,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-4,38.0,58,8,0.6551724137931034,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-4,5.0,15,15,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-4,5.0,15,15,0.3333333333333333,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-4,23.0,28,14,0.8214285714285714,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-4,27.0,39,13,0.6923076923076923,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-4,40.0,60,10,0.6666666666666666,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-4,1.0,1,1,1.0,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-4,1.0,4,2,0.25,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-4,13.0,15,2,0.8666666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-3,30.0,56,6,0.5357142857142857,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-3,1.0,39,13,0.02564102564102564,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-3,21.0,64,8,0.328125,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-3,22.0,39,13,0.5641025641025641,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-3,34.0,64,8,0.53125,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-3,35.0,57,8,0.6140350877192983,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-3,7.0,15,15,0.4666666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-3,6.0,15,15,0.4,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-3,21.0,28,14,0.75,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s002,-3,33.0,39,13,0.8461538461538461,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s003,-3,20.0,59,10,0.3389830508474576,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s001,-3,1.0,1,1,1.0,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s004,-3,1.0,4,2,0.25,trap,weighted_recurrence,F0_router_probability,raw
A,w03_s005,-3,13.0,14,1,0.9285714285714286,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s000,-2,18.0,56,6,0.32142857142857145,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s001,-2,0.0,39,13,0.0,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s002,-2,14.0,64,8,0.21875,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s003,-2,15.0,39,13,0.38461538461538464,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s004,-2,17.0,63,8,0.2698412698412698,trap,weighted_recurrence,F0_router_probability,raw
A,w00_s005,-2,26.0,53,8,0.49056603773584906,trap,weighted_recurrence,F0_router_probability,raw
A,w01_s000,-2,6.0,15,15,0.4,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s000,-2,7.0,15,15,0.4666666666666667,trap,weighted_recurrence,F0_router_probability,raw
A,w02_s001,-2,20.0,28,14,0.7142857142857143,trap,weighted_recurrence,F0_router_probability,raw
