corpus,group,relative,concordant,pairs,n_events,auc_trap_high,metric,token
A,w00_s000,-2,20.0,55,5,0.36363636363636365,top45_margin,1
A,w00_s001,-2,25.5,39,13,0.6538461538461539,top45_margin,1
A,w00_s002,-2,37.0,64,8,0.578125,top45_margin,1
A,w00_s003,-2,23.0,63,9,0.36507936507936506,top45_margin,1
A,w00_s004,-2,46.0,63,7,0.7301587301587301,top45_margin,1
A,w00_s005,-2,37.0,52,7,0.7115384615384616,top45_margin,1
A,w01_s000,-2,6.0,15,15,0.4,top45_margin,1
A,w01_s003,-2,5.0,15,15,0.3333333333333333,top45_margin,1
A,w02_s000,-2,44.0,63,7,0.6984126984126984,top45_margin,1
A,w02_s001,-2,31.0,63,7,0.49206349206349204,top45_margin,1
A,w02_s002,-2,31.0,63,8,0.49206349206349204,top45_margin,1
A,w02_s003,-2,33.0,59,10,0.559322033898305,top45_margin,1
A,w02_s004,-2,29.0,60,6,0.48333333333333334,top45_margin,1
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,1
A,w03_s004,-2,0.0,3,2,0.0,top45_margin,1
A,w03_s005,-2,8.0,14,1,0.5714285714285714,top45_margin,1
A,w00_s000,-2,39.0,55,5,0.7090909090909091,top45_margin,2
A,w00_s001,-2,34.0,39,13,0.8717948717948718,top45_margin,2
A,w00_s002,-2,29.0,64,8,0.453125,top45_margin,2
A,w00_s003,-2,44.0,63,9,0.6984126984126984,top45_margin,2
A,w00_s004,-2,26.5,63,7,0.42063492063492064,top45_margin,2
A,w00_s005,-2,44.5,52,7,0.8557692307692307,top45_margin,2
A,w01_s000,-2,15.0,15,15,1.0,top45_margin,2
A,w01_s003,-2,14.0,15,15,0.9333333333333333,top45_margin,2
A,w02_s000,-2,32.0,63,7,0.5079365079365079,top45_margin,2
A,w02_s001,-2,40.0,63,7,0.6349206349206349,top45_margin,2
A,w02_s002,-2,44.0,63,8,0.6984126984126984,top45_margin,2
A,w02_s003,-2,42.0,59,10,0.711864406779661,top45_margin,2
A,w02_s004,-2,41.0,60,6,0.6833333333333333,top45_margin,2
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,2
A,w03_s004,-2,1.0,3,2,0.3333333333333333,top45_margin,2
A,w03_s005,-2,1.0,14,1,0.07142857142857142,top45_margin,2
A,w00_s000,-2,44.0,55,5,0.8,top45_margin,3
A,w00_s001,-2,25.0,39,13,0.6410256410256411,top45_margin,3
A,w00_s002,-2,42.0,64,8,0.65625,top45_margin,3
A,w00_s003,-2,40.0,63,9,0.6349206349206349,top45_margin,3
A,w00_s004,-2,47.0,63,7,0.746031746031746,top45_margin,3
A,w00_s005,-2,34.0,52,7,0.6538461538461539,top45_margin,3
A,w01_s000,-2,11.0,15,15,0.7333333333333333,top45_margin,3
A,w01_s003,-2,15.0,15,15,1.0,top45_margin,3
A,w02_s000,-2,47.0,63,7,0.746031746031746,top45_margin,3
A,w02_s001,-2,50.0,63,7,0.7936507936507936,top45_margin,3
A,w02_s002,-2,46.0,63,8,0.7301587301587301,top45_margin,3
A,w02_s003,-2,41.0,59,10,0.6949152542372882,top45_margin,3
A,w02_s004,-2,34.0,60,6,0.5666666666666667,top45_margin,3
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,3
A,w03_s004,-2,1.0,3,2,0.3333333333333333,top45_margin,3
A,w03_s005,-2,6.0,14,1,0.42857142857142855,top45_margin,3
A,w00_s000,-2,37.0,55,5,0.6727272727272727,top45_margin,4
A,w00_s001,-2,36.5,39,13,0.9358974358974359,top45_margin,4
A,w00_s002,-2,47.0,64,8,0.734375,top45_margin,4
A,w00_s003,-2,43.0,63,9,0.6825396825396826,top45_margin,4
A,w00_s004,-2,30.0,63,7,0.47619047619047616,top45_margin,4
A,w00_s005,-2,35.0,52,7,0.6730769230769231,top45_margin,4
A,w01_s000,-2,12.0,15,15,0.8,top45_margin,4
A,w01_s003,-2,6.0,15,15,0.4,top45_margin,4
A,w02_s000,-2,34.0,63,7,0.5396825396825397,top45_margin,4
A,w02_s001,-2,46.5,63,7,0.7380952380952381,top45_margin,4
A,w02_s002,-2,28.0,63,8,0.4444444444444444,top45_margin,4
A,w02_s003,-2,31.0,59,10,0.5254237288135594,top45_margin,4
A,w02_s004,-2,36.0,60,6,0.6,top45_margin,4
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,4
A,w03_s004,-2,3.0,3,2,1.0,top45_margin,4
A,w03_s005,-2,9.0,14,1,0.6428571428571429,top45_margin,4
A,w00_s000,-2,50.0,55,5,0.9090909090909091,top45_margin,5
A,w00_s001,-2,27.0,39,13,0.6923076923076923,top45_margin,5
A,w00_s002,-2,42.0,64,8,0.65625,top45_margin,5
A,w00_s003,-2,59.0,63,9,0.9365079365079365,top45_margin,5
