corpus,event_kind,signal,tier,variant,relative,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT,null_max_effect_q95
A,trap,lag_periodicity,F0_router_probability,raw,-4,0.4919678714859438,0.5080321285140562,event_low,0.4197289640761874,0.5837050415848126,14,128,498,0.8375812093953023,1.0,0.25614754098360654
A,trap,lag_periodicity,F0_router_probability,raw,-3,0.597165991902834,0.597165991902834,event_high,0.5045181476846058,0.6653851606805292,14,127,494,,,
A,trap,lag_periodicity,F0_router_probability,raw,-2,0.6967213114754098,0.6967213114754098,event_high,0.6372197531895782,0.7563580118244523,14,127,488,0.001999000499750125,0.18990504747626186,0.25614754098360654
A,trap,lag_periodicity,F0_router_probability,raw,-1,0.7246376811594203,0.7246376811594203,event_high,0.6355851533575626,0.8014216385172187,13,126,483,,,
A,trap,lag_periodicity,F0_router_probability,raw,0,0.5051975051975052,0.5051975051975052,event_high,0.4087429621234279,0.6142864243112752,13,126,481,0.9390304847576212,1.0,0.25614754098360654
A,trap,lag_periodicity,F0_router_probability,raw,1,0.26458333333333334,0.7354166666666666,event_low,0.15584185725778646,0.39292408807098256,13,126,480,,,
A,trap,lag_periodicity,F0_router_probability,raw,2,0.1762208067940552,0.8237791932059448,event_low,0.08764624926736259,0.31003157324285474,13,126,471,,,
A,trap,lag_periodicity,F0_router_probability,raw,3,0.18181818181818182,0.8181818181818181,event_low,0.09755859839300147,0.29556981301975743,13,125,462,,,
A,trap,lag_periodicity,F0_router_probability,raw,4,0.2924107142857143,0.7075892857142857,event_low,0.22504284576736366,0.36914812460267005,13,122,448,,,
A,trap,late_flow_volatility,F0_router_probability,raw,-8,0.6212389380530974,0.6212389380530974,event_high,0.5435483870967742,0.6927909230893226,16,130,565,0.020989505247376312,0.7031484257871065,0.25614754098360654
A,trap,late_flow_volatility,F0_router_probability,raw,-7,0.5336976320582878,0.5336976320582878,event_high,0.46319564224837667,0.5942490459037743,15,129,549,,,
A,trap,late_flow_volatility,F0_router_probability,raw,-6,0.497131931166348,0.502868068833652,event_low,0.4245504736103436,0.5692989682368192,15,129,523,0.9610194902548725,1.0,0.25614754098360654
A,trap,late_flow_volatility,F0_router_probability,raw,-5,0.5728346456692913,0.5728346456692913,event_high,0.4957252641690682,0.6651731841104132,15,129,508,,,
A,trap,late_flow_volatility,F0_router_probability,raw,-4,0.7068273092369478,0.7068273092369478,event_high,0.6426913896489491,0.7685667689735213,14,128,498,0.0024987506246876563,0.15792103948025987,0.25614754098360654
A,trap,late_flow_volatility,F0_router_probability,raw,-3,0.8178137651821862,0.8178137651821862,event_high,0.7339656113537117,0.8835767477691469,14,127,494,,,
A,trap,late_flow_volatility,F0_router_probability,raw,-2,0.8483606557377049,0.8483606557377049,event_high,0.7518332327542854,0.9150507785017282,14,127,488,0.0014992503748125937,0.001999000499750125,0.25614754098360654
A,trap,late_flow_volatility,F0_router_probability,raw,-1,0.7908902691511387,0.7908902691511387,event_high,0.6999943566591422,0.8535873302768471,13,126,483,,,
A,trap,late_flow_volatility,F0_router_probability,raw,0,0.7297297297297297,0.7297297297297297,event_high,0.658317542787286,0.7817377378611899,13,126,481,0.0024987506246876563,0.08995502248875563,0.25614754098360654
A,trap,late_flow_volatility,F0_router_probability,raw,1,0.6125,0.6125,event_high,0.5288650420748056,0.6812661273265651,13,126,480,,,
A,trap,late_flow_volatility,F0_router_probability,raw,2,0.5222929936305732,0.5222929936305732,event_high,0.41800139226633676,0.6271269524759056,13,126,471,,,
A,trap,late_flow_volatility,F0_router_probability,raw,3,0.5346320346320347,0.5346320346320347,event_high,0.42452939702381387,0.6283594962911849,13,125,462,,,
A,trap,late_flow_volatility,F0_router_probability,raw,4,0.49107142857142855,0.5089285714285714,event_low,0.35813100064006825,0.626096837944664,13,122,448,,,
A,trap,route_acceleration,F0_router_probability,raw,-8,0.6035398230088496,0.6035398230088496,event_high,0.5265858728978908,0.673532363207063,16,130,565,0.03298350824587706,0.9160419790104948,0.25614754098360654
A,trap,route_acceleration,F0_router_probability,raw,-7,0.5355191256830601,0.5355191256830601,event_high,0.44826854088879126,0.6079793102593345,15,129,549,,,
A,trap,route_acceleration,F0_router_probability,raw,-6,0.51434034416826,0.51434034416826,event_high,0.45024557867596326,0.5787273856151407,15,129,523,0.6721639180409795,1.0,0.25614754098360654
A,trap,route_acceleration,F0_router_probability,raw,-5,0.6082677165354331,0.6082677165354331,event_high,0.5426803305441814,0.6713219959667502,15,129,508,,,
A,trap,route_acceleration,F0_router_probability,raw,-4,0.7449799196787149,0.7449799196787149,event_high,0.6784828455484506,0.8114549221135547,14,128,498,0.0009995002498750624,0.06496751624187906,0.25614754098360654
A,trap,route_acceleration,F0_router_probability,raw,-3,0.8259109311740891,0.8259109311740891,event_high,0.7417513598625823,0.8969304665351904,14,127,494,,,
A,trap,route_acceleration,F0_router_probability,raw,-2,0.8463114754098361,0.8463114754098361,event_high,0.7608197836665974,0.9120216395279847,14,127,488,0.0009995002498750624,0.001999000499750125,0.25614754098360654
A,trap,route_acceleration,F0_router_probability,raw,-1,0.7991718426501035,0.7991718426501035,event_high,0.711244828986207,0.8565551537070524,13,126,483,,,
A,trap,route_acceleration,F0_router_probability,raw,0,0.7172557172557172,0.7172557172557172,event_high,0.6532504628405185,0.7663560977478168,13,126,481,0.001999000499750125,0.12293853073463268,0.25614754098360654
A,trap,route_acceleration,F0_router_probability,raw,1,0.5625,0.5625,event_high,0.4675674164096983,0.6632446361479137,13,126,480,,,
A,trap,route_acceleration,F0_router_probability,raw,2,0.49044585987261147,0.5095541401273885,event_low,0.3744905872692436,0.6080444198604965,13,126,471,,,
A,trap,route_acceleration,F0_router_probability,raw,3,0.48484848484848486,0.5151515151515151,event_low,0.3923287537280594,0.5675314465408804,13,125,462,,,
A,trap,route_acceleration,F0_router_probability,raw,4,0.39955357142857145,0.6004464285714286,event_low,0.2797807283614802,0.5118477920450986,13,122,448,,,
A,trap,gate_entropy,F0_router_probability,raw,-8,0.3486725663716814,0.6513274336283186,event_low,0.2559624163708414,0.44097662054880515,16,130,565,0.01199400299850075,0.4112943528235882,0.25614754098360654
A,trap,gate_entropy,F0_router_probability,raw,-7,0.4371584699453552,0.5628415300546448,event_low,0.3583311855670103,0.508415220293725,15,129,549,,,
A,trap,gate_entropy,F0_router_probability,raw,-6,0.5086042065009561,0.5086042065009561,event_high,0.4117558735205794,0.5858283294325288,15,129,523,0.8330834582708646,1.0,0.25614754098360654
A,trap,gate_entropy,F0_router_probability,raw,-5,0.5570866141732284,0.5570866141732284,event_high,0.4315198107628622,0.6497111759324217,15,129,508,,,
A,trap,gate_entropy,F0_router_probability,raw,-4,0.43373493975903615,0.5662650602409638,event_low,0.34738736336976805,0.5067825832846289,14,128,498,0.12643678160919541,1.0,0.25614754098360654
A,trap,gate_entropy,F0_router_probability,raw,-3,0.2773279352226721,0.7226720647773279,event_low,0.2,0.3515163352272727,14,127,494,,,
A,trap,gate_entropy,F0_router_probability,raw,-2,0.1864754098360656,0.8135245901639344,event_low,0.11258016271139097,0.27629754307221166,14,127,488,0.0014992503748125937,0.00849575212393803,0.25614754098360654
A,trap,gate_entropy,F0_router_probability,raw,-1,0.2463768115942029,0.7536231884057971,event_low,0.15468245531144184,0.3574495917862444,13,126,483,,,
A,trap,gate_entropy,F0_router_probability,raw,0,0.32432432432432434,0.6756756756756757,event_low,0.2345630787037037,0.4044708180911207,13,126,481,0.00399800099950025,0.2798600699650175,0.25614754098360654
A,trap,gate_entropy,F0_router_probability,raw,1,0.45416666666666666,0.5458333333333334,event_low,0.3251716495741352,0.5661887254901959,13,126,480,,,
A,trap,gate_entropy,F0_router_probability,raw,2,0.42038216560509556,0.5796178343949044,event_low,0.2838670370819563,0.5433894651107144,13,126,471,,,
A,trap,gate_entropy,F0_router_probability,raw,3,0.36363636363636365,0.6363636363636364,event_low,0.2488487989286611,0.48577538420368527,13,125,462,,,
A,trap,gate_entropy,F0_router_probability,raw,4,0.39955357142857145,0.6004464285714286,event_low,0.2632696245327492,0.5286165292458198,13,122,448,,,
A,trap,top12_margin,F0_router_probability,raw,-8,0.5504424778761062,0.5504424778761062,event_high,0.48392281150822825,0.617549936259203,16,130,565,0.18040979510244878,1.0,0.25614754098360654
A,trap,top12_margin,F0_router_probability,raw,-7,0.48633879781420764,0.5136612021857924,event_low,0.40886209520081324,0.5617006062680291,15,129,549,,,
A,trap,top12_margin,F0_router_probability,raw,-6,0.49904397705544934,0.5009560229445507,event_low,0.418179595465659,0.5686293219577907,15,129,523,0.9865067466266867,1.0,0.25614754098360654
A,trap,top12_margin,F0_router_probability,raw,-5,0.4862204724409449,0.5137795275590551,event_low,0.4173906954085982,0.5425231880931837,15,129,508,,,
A,trap,top12_margin,F0_router_probability,raw,-4,0.572289156626506,0.572289156626506,event_high,0.4797676443902859,0.6412333498161139,14,128,498,0.14592703648175911,0.9995002498750625,0.25614754098360654
A,trap,top12_margin,F0_router_probability,raw,-3,0.6578947368421053,0.6578947368421053,event_high,0.5696698628125658,0.7344352729650213,14,127,494,,,
A,trap,top12_margin,F0_router_probability,raw,-2,0.75,0.75,event_high,0.6625208350990197,0.8208202883555937,14,127,488,0.004497751124437781,0.05897051474262868,0.25614754098360654
A,trap,top12_margin,F0_router_probability,raw,-1,0.7101449275362319,0.7101449275362319,event_high,0.6153787878787879,0.7910778679287807,13,126,483,,,
A,trap,top12_margin,F0_router_probability,raw,0,0.6964656964656964,0.6964656964656964,event_high,0.60791819342089,0.7780795163915368,13,126,481,0.0034982508745627187,0.1934032983508246,0.25614754098360654
A,trap,top12_margin,F0_router_probability,raw,1,0.6583333333333333,0.6583333333333333,event_high,0.594752126601856,0.7320996242929687,13,126,480,,,
A,trap,top12_margin,F0_router_probability,raw,2,0.5095541401273885,0.5095541401273885,event_high,0.4037931824811435,0.6367655539036805,13,126,471,,,
A,trap,top12_margin,F0_router_probability,raw,3,0.5562770562770563,0.5562770562770563,event_high,0.4352141982864137,0.6809583879423329,13,125,462,,,
A,trap,top12_margin,F0_router_probability,raw,4,0.4174107142857143,0.5825892857142857,event_low,0.2802469175803762,0.5555757575757575,13,122,448,,,
A,trap,state_action_gap,F0_router_probability,raw,-8,0.6035398230088496,0.6035398230088496,event_high,0.44505973403590854,0.7227568069306931,16,130,565,0.19140429785107446,0.9160419790104948,0.25614754098360654
A,trap,state_action_gap,F0_router_probability,raw,-7,0.5191256830601093,0.5191256830601093,event_high,0.4029017701809325,0.6149536509067302,15,129,549,,,
A,trap,state_action_gap,F0_router_probability,raw,-6,0.4435946462715105,0.5564053537284894,event_low,0.36874177631578947,0.517554523200178,15,129,523,0.2013993003498251,1.0,0.25614754098360654
A,trap,state_action_gap,F0_router_probability,raw,-5,0.4015748031496063,0.5984251968503937,event_low,0.339552088169395,0.46601311163125303,15,129,508,,,
A,trap,state_action_gap,F0_router_probability,raw,-4,0.5220883534136547,0.5220883534136547,event_high,0.4166613110539846,0.6142709179320056,14,128,498,0.6816591704147926,1.0,0.25614754098360654
A,trap,state_action_gap,F0_router_probability,raw,-3,0.5688259109311741,0.5688259109311741,event_high,0.42478589972689573,0.6910933628864608,14,127,494,,,
A,trap,state_action_gap,F0_router_probability,raw,-2,0.6311475409836066,0.6311475409836066,event_high,0.48075657894736845,0.7550767479435957,14,127,488,0.12293853073463268,0.5992003998001,0.25614754098360654
A,trap,state_action_gap,F0_router_probability,raw,-1,0.6418219461697723,0.6418219461697723,event_high,0.4875893558977204,0.7623707726993235,13,126,483,,,
A,trap,state_action_gap,F0_router_probability,raw,0,0.6715176715176715,0.6715176715176715,event_high,0.5164325025552323,0.7912332157208664,13,126,481,0.06496751624187906,0.29985007496251875,0.25614754098360654
A,trap,state_action_gap,F0_router_probability,raw,1,0.7375,0.7375,event_high,0.5692353142395123,0.8681133626679018,13,126,480,,,
A,trap,state_action_gap,F0_router_probability,raw,2,0.7707006369426752,0.7707006369426752,event_high,0.6141697748307777,0.896829273450055,13,126,471,,,
A,trap,state_action_gap,F0_router_probability,raw,3,0.7575757575757576,0.7575757575757576,event_high,0.5999667405764967,0.8769270833333334,13,125,462,,,
A,trap,state_action_gap,F0_router_probability,raw,4,0.6584821428571429,0.6584821428571429,event_high,0.5284563311397841,0.7576892118378689,13,122,448,,,
A,trap,macro_stickiness,F0_router_probability,raw,-8,0.5631672597864769,0.5631672597864769,event_high,0.49802649436033536,0.6387901149160228,16,129,562,0.09345327336331834,1.0,0.25614754098360654
A,trap,macro_stickiness,F0_router_probability,raw,-7,0.5245901639344263,0.5245901639344263,event_high,0.46125971209304545,0.5897163519333806,15,129,549,,,
A,trap,macro_stickiness,F0_router_probability,raw,-6,0.5478011472275335,0.5478011472275335,event_high,0.47446994535519127,0.6195467220578192,15,129,523,0.25537231384307846,1.0,0.25614754098360654
A,trap,macro_stickiness,F0_router_probability,raw,-5,0.5098425196850394,0.5098425196850394,event_high,0.4267985187598206,0.5949303325060223,15,129,508,,,
A,trap,macro_stickiness,F0_router_probability,raw,-4,0.46184738955823296,0.5381526104417671,event_low,0.38660684527624667,0.5359113121171578,14,128,498,0.35082458770614694,1.0,0.25614754098360654
A,trap,macro_stickiness,F0_router_probability,raw,-3,0.4939271255060729,0.5060728744939271,event_low,0.422741970283635,0.5575400393970538,14,127,494,,,
A,trap,macro_stickiness,F0_router_probability,raw,-2,0.5584016393442623,0.5584016393442623,event_high,0.4843969396066871,0.6404773128905825,14,127,488,0.20889555222388806,1.0,0.25614754098360654
A,trap,macro_stickiness,F0_router_probability,raw,-1,0.4855072463768116,0.5144927536231885,event_low,0.4030245219926263,0.5635855480664633,13,126,483,,,
A,trap,macro_stickiness,F0_router_probability,raw,0,0.5748440748440748,0.5748440748440748,event_high,0.5302974870657797,0.6276379589009466,13,126,481,0.01699150424787606,0.999000499750125,0.25614754098360654
A,trap,macro_stickiness,F0_router_probability,raw,1,0.5354166666666667,0.5354166666666667,event_high,0.49029747050816697,0.5955499909033941,13,126,480,,,
A,trap,macro_stickiness,F0_router_probability,raw,2,0.5360934182590233,0.5360934182590233,event_high,0.47184099651950906,0.6049669864559819,13,126,471,,,
A,trap,macro_stickiness,F0_router_probability,raw,3,0.696969696969697,0.696969696969697,event_high,0.6324202327327327,0.7582772928941367,13,125,462,,,
A,trap,macro_stickiness,F0_router_probability,raw,4,0.7566964285714286,0.7566964285714286,event_high,0.6690478402402045,0.823081896551724,13,122,448,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,-8,0.515929203539823,0.515929203539823,event_high,0.4332919254658385,0.5966224379584044,16,130,565,0.7286356821589205,1.0,0.25614754098360654
A,trap,top45_margin,F1_boundary_execution_weight,raw,-7,0.5136612021857924,0.5136612021857924,event_high,0.42787415377176014,0.590566243620736,15,129,549,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,-6,0.4837476099426386,0.5162523900573615,event_low,0.37375028898346196,0.5707675725380492,15,129,523,0.7816091954022989,1.0,0.25614754098360654
A,trap,top45_margin,F1_boundary_execution_weight,raw,-5,0.5216535433070866,0.5216535433070866,event_high,0.435055067600082,0.5923730162942519,15,129,508,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,-4,0.6224899598393574,0.6224899598393574,event_high,0.5281380908401226,0.6924997798811358,14,128,498,0.051974012993503245,0.6941529235382309,0.25614754098360654
A,trap,top45_margin,F1_boundary_execution_weight,raw,-3,0.6892712550607287,0.6892712550607287,event_high,0.5996926829644244,0.7528927312198802,14,127,494,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,-2,0.7233606557377049,0.7233606557377049,event_high,0.6410564334085779,0.7843554670684459,14,127,488,0.0034982508745627187,0.10744627686156921,0.25614754098360654
A,trap,top45_margin,F1_boundary_execution_weight,raw,-1,0.6770186335403726,0.6770186335403726,event_high,0.6075919791789898,0.7340295815295814,13,126,483,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,0,0.6434511434511434,0.6434511434511434,event_high,0.5686000611995103,0.718098664997914,13,126,481,0.004497751124437781,0.47626186906546725,0.25614754098360654
A,trap,top45_margin,F1_boundary_execution_weight,raw,1,0.6145833333333334,0.6145833333333334,event_high,0.5213108260232365,0.7113422721732124,13,126,480,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,2,0.6008492569002123,0.6008492569002123,event_high,0.5339563569245426,0.6732888619499914,13,126,471,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,3,0.5909090909090909,0.5909090909090909,event_high,0.4954624807669547,0.6861231657295961,13,125,462,,,
A,trap,top45_margin,F1_boundary_execution_weight,raw,4,0.59375,0.59375,event_high,0.518229341868334,0.6711409491738249,13,122,448,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,-8,0.368141592920354,0.631858407079646,event_low,0.2648983547545977,0.47318586900903964,16,130,565,0.03698150924537731,0.5947026486756621,0.25614754098360654
A,trap,tail_mass,F1_boundary_execution_weight,raw,-7,0.4444444444444444,0.5555555555555556,event_low,0.37943440310350907,0.5164763250555966,15,129,549,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,-6,0.4780114722753346,0.5219885277246654,event_low,0.40138089349034717,0.5531914893617021,15,129,523,0.5967016491754122,1.0,0.25614754098360654
A,trap,tail_mass,F1_boundary_execution_weight,raw,-5,0.44881889763779526,0.5511811023622047,event_low,0.37470781063045056,0.5213528842535348,15,129,508,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,-4,0.3032128514056225,0.6967871485943775,event_low,0.23575069899493745,0.3981470553885681,14,128,498,0.0069965017491254375,0.18640679660169915,0.25614754098360654
A,trap,tail_mass,F1_boundary_execution_weight,raw,-3,0.2165991902834008,0.7834008097165992,event_low,0.1521223760188447,0.3,14,127,494,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,-2,0.17418032786885246,0.8258196721311475,event_low,0.08945083944730196,0.2883892892394085,14,127,488,0.0034982508745627187,0.004997501249375313,0.25614754098360654
A,trap,tail_mass,F1_boundary_execution_weight,raw,-1,0.16770186335403728,0.8322981366459627,event_low,0.08131274131274131,0.28431466097889535,13,126,483,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,0,0.18503118503118504,0.814968814968815,event_low,0.10855868977682835,0.27525680534155106,13,126,481,0.0024987506246876563,0.0079960019990005,0.25614754098360654
A,trap,tail_mass,F1_boundary_execution_weight,raw,1,0.25625,0.74375,event_low,0.18759232754207628,0.3252790591959054,13,126,480,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,2,0.3524416135881104,0.6475583864118897,event_low,0.2606938137710701,0.43697634609399316,13,126,471,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,3,0.3333333333333333,0.6666666666666667,event_low,0.2279146213569987,0.44343468763652244,13,125,462,,,
A,trap,tail_mass,F1_boundary_execution_weight,raw,4,0.38839285714285715,0.6116071428571428,event_low,0.2606634509117701,0.5357311320754716,13,122,448,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-8,0.4920353982300885,0.5079646017699115,event_low,0.406691887214554,0.568071072988781,16,130,565,0.8555722138930535,1.0,0.25614754098360654
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-7,0.517304189435337,0.517304189435337,event_high,0.4378148653863279,0.5935114503816794,15,129,549,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-6,0.5258126195028681,0.5258126195028681,event_high,0.45317961108113813,0.6086223400916452,15,129,523,0.5502248875562219,1.0,0.25614754098360654
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-5,0.5118110236220472,0.5118110236220472,event_high,0.45846610509426394,0.565813373253493,15,129,508,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-4,0.4026104417670683,0.5973895582329317,event_low,0.34468449547905333,0.48067941686617477,14,128,498,0.04547726136931534,0.9510244877561219,0.25614754098360654
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-3,0.3097165991902834,0.6902834008097166,event_low,0.24765389082462252,0.38350529021010543,14,127,494,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-2,0.21721311475409835,0.7827868852459017,event_low,0.15194733025663962,0.29655632866059545,14,127,488,0.001999000499750125,0.02498750624687656,0.25614754098360654
A,trap,exec_entropy,F1_boundary_execution_weight,raw,-1,0.2484472049689441,0.7515527950310559,event_low,0.19196729541705515,0.31619888809182195,13,126,483,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,0,0.2972972972972973,0.7027027027027026,event_low,0.2220068752171473,0.3820992236778263,13,126,481,0.00399800099950025,0.1714142928535732,0.25614754098360654
A,trap,exec_entropy,F1_boundary_execution_weight,raw,1,0.3625,0.6375,event_low,0.285985269594219,0.4306049822064057,13,126,480,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,2,0.5031847133757962,0.5031847133757962,event_high,0.3781634502923976,0.616218468391427,13,126,471,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,3,0.4458874458874459,0.5541125541125541,event_low,0.33622857658307775,0.5550855798745495,13,125,462,,,
A,trap,exec_entropy,F1_boundary_execution_weight,raw,4,0.5647321428571429,0.5647321428571429,event_high,0.4151158645276292,0.7194467644881455,13,122,448,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-8,0.5557522123893806,0.5557522123893806,event_high,0.47437630880651965,0.6373239932413404,16,130,565,0.2748625687156422,1.0,0.25614754098360654
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-7,0.5437158469945356,0.5437158469945356,event_high,0.461602331841747,0.6183686895810956,15,129,549,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-6,0.4569789674952199,0.5430210325047802,event_low,0.3616252191933684,0.5251690253866356,15,129,523,0.33933033483258374,1.0,0.25614754098360654
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-5,0.4311023622047244,0.5688976377952756,event_low,0.3466880677847659,0.5087396817929087,15,129,508,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-4,0.44377510040160645,0.5562248995983936,event_low,0.34773526285667566,0.5340086771627839,14,128,498,0.2703648175912044,1.0,0.25614754098360654
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-3,0.4959514170040486,0.5040485829959513,event_low,0.4,0.5807257773609408,14,127,494,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-2,0.45081967213114754,0.5491803278688525,event_low,0.3551696071279915,0.5367026353057077,14,127,488,0.3188405797101449,1.0,0.25614754098360654
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,-1,0.484472049689441,0.515527950310559,event_low,0.4035364094511193,0.5600719323779668,13,126,483,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,0,0.5031185031185031,0.5031185031185031,event_high,0.4078370415523722,0.601715210355987,13,126,481,0.9610194902548725,1.0,0.25614754098360654
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,1,0.36041666666666666,0.6395833333333334,event_low,0.25399765625,0.4571590909090908,13,126,480,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,2,0.3089171974522293,0.6910828025477707,event_low,0.20788906171178748,0.39693657505285407,13,126,471,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,3,0.24891774891774893,0.751082251082251,event_low,0.16470588235294117,0.3263190517616355,13,125,462,,,
A,trap,late_flow_support_churn,F2_actual_dispatch,raw,4,0.265625,0.734375,event_low,0.20434439359267736,0.3174175994360661,13,122,448,,,
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-8,0.5557522123893806,0.5557522123893806,event_high,0.4644179500675073,0.6313824113145797,16,130,565,0.27436281859070466,1.0,0.25614754098360654
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-7,0.5373406193078324,0.5373406193078324,event_high,0.4578820682297223,0.611769816034522,15,129,549,,,
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-6,0.4378585086042065,0.5621414913957935,event_low,0.34999751491053677,0.5,15,129,523,0.11294352823588207,1.0,0.25614754098360654
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-5,0.4330708661417323,0.5669291338582677,event_low,0.34719167443305377,0.5061190487840681,15,129,508,,,
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-4,0.44176706827309237,0.5582329317269077,event_low,0.349989406779661,0.5309095595126523,14,128,498,0.25987006496751625,1.0,0.25614754098360654
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-3,0.49190283400809715,0.5080971659919029,event_low,0.40138915571844475,0.5800886349936982,14,127,494,,,
A,trap,late_flow_exec_churn,F2_actual_dispatch,raw,-2,0.444672131147541,0.555327868852459,event_low,0.3489908150981976,0.5377407036632706,14,127,488,0.3258370814592704,1.0,0.25614754098360654
