corpus,event_kind,signal,tier,variant,relative,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT,null_max_effect_q95
A,trap,weighted_recurrence,F0_router_probability,raw,-8,0.3911504424778761,0.6088495575221239,event_low,0.2710122581880866,0.4987487837240159,16,130,565,0.10444777611194403,0.8670664667666167,0.25614754098360654
A,trap,weighted_recurrence,F0_router_probability,raw,-7,0.3825136612021858,0.6174863387978142,event_low,0.29282154365330265,0.47648721881390593,15,129,549,,,
A,trap,weighted_recurrence,F0_router_probability,raw,-6,0.4665391969407266,0.5334608030592733,event_low,0.3772440620235875,0.5559279945340045,15,129,523,0.49075462268865566,1.0,0.25614754098360654
A,trap,weighted_recurrence,F0_router_probability,raw,-5,0.7047244094488189,0.7047244094488189,event_high,0.6366585463972823,0.7619101731601731,15,129,508,,,
A,trap,weighted_recurrence,F0_router_probability,raw,-4,0.6646586345381527,0.6646586345381527,event_high,0.5756908835612876,0.743105186738727,14,128,498,0.01199400299850075,0.33033483258370816,0.25614754098360654
A,trap,weighted_recurrence,F0_router_probability,raw,-3,0.4959514170040486,0.5040485829959513,event_low,0.37730967486122124,0.6196374723332194,14,127,494,,,
A,trap,weighted_recurrence,F0_router_probability,raw,-2,0.35040983606557374,0.6495901639344263,event_low,0.23155039581566297,0.5011705463435372,14,127,488,0.09845077461269365,0.42528735632183906,0.25614754098360654
A,trap,weighted_recurrence,F0_router_probability,raw,-1,0.20910973084886128,0.7908902691511387,event_low,0.11871541501976285,0.3384844559585491,13,126,483,,,
A,trap,weighted_recurrence,F0_router_probability,raw,0,0.21205821205821207,0.7879417879417879,event_low,0.11936148356401384,0.347855682307361,13,126,481,0.008995502248875561,0.02048975512243878,0.25614754098360654
A,trap,weighted_recurrence,F0_router_probability,raw,1,0.3541666666666667,0.6458333333333333,event_low,0.2442925903234191,0.4843382906626506,13,126,480,,,
A,trap,weighted_recurrence,F0_router_probability,raw,2,0.5498938428874734,0.5498938428874734,event_high,0.48771078180889116,0.6136455443120613,13,126,471,,,
A,trap,weighted_recurrence,F0_router_probability,raw,3,0.7012987012987013,0.7012987012987013,event_high,0.5857622530447292,0.793483409610984,13,125,462,,,
A,trap,weighted_recurrence,F0_router_probability,raw,4,0.7834821428571429,0.7834821428571429,event_high,0.6809414215731132,0.8608912351443123,13,122,448,,,
A,trap,lag_periodicity,F0_router_probability,raw,-8,0.48398576512455516,0.5160142348754448,event_low,0.4341056489369867,0.5567334218303588,16,129,562,0.6486756621689156,1.0,0.25614754098360654
A,trap,lag_periodicity,F0_router_probability,raw,-7,0.4663023679417122,0.5336976320582878,event_low,0.4084295607777995,0.5413892153527355,15,129,549,,,
A,trap,lag_periodicity,F0_router_probability,raw,-6,0.4225621414913958,0.5774378585086042,event_low,0.3516204125826305,0.48815716962415956,15,129,523,0.05247376311844078,0.9980009995002499,0.25614754098360654
A,trap,lag_periodicity,F0_router_probability,raw,-5,0.35039370078740156,0.6496062992125984,event_low,0.27851709003856895,0.43117970472923295,15,129,508,,,
