corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
A,loop,-2,top45_margin,1,0.5440751445086706,0.5440751445086706,event_high,0.47415826318859905,0.6155808644032068,16,121,692,0.2463768115942029,1.0
A,loop,-2,top45_margin,2,0.6473988439306358,0.6473988439306358,event_high,0.5650686813186813,0.7236289610781022,16,121,692,0.0074962518740629685,0.3308345827086457
A,loop,-2,top45_margin,3,0.6994219653179191,0.6994219653179191,event_high,0.6558943042618507,0.7406382758385328,16,121,692,0.0004997501249375312,0.11244377811094453
A,loop,-2,top45_margin,4,0.6286127167630058,0.6286127167630058,event_high,0.5649274344926519,0.6974724032574011,16,121,692,0.001999000499750125,0.47176411794102946
A,loop,-2,top45_margin,5,0.7066473988439307,0.7066473988439307,event_high,0.6197940668202765,0.7832491364421417,16,121,692,0.001999000499750125,0.09795102448775612
A,loop,-2,top45_margin,6,0.6184971098265896,0.6184971098265896,event_high,0.5594515767071926,0.6764714926561031,16,121,692,0.004997501249375313,0.5797101449275363
A,loop,-2,top45_margin,7,0.5794797687861272,0.5794797687861272,event_high,0.5290833333333333,0.6257770196289217,16,121,692,0.014992503748125937,0.9525237381309345
A,loop,-2,top45_margin,8,0.6661849710982659,0.6661849710982659,event_high,0.6046131305596057,0.7256393523851362,16,121,692,0.0014992503748125937,0.2178910544727636
A,loop,-2,top45_margin,9,0.7102601156069365,0.7102601156069365,event_high,0.6598840888173032,0.7507385736427193,16,121,692,0.0004997501249375312,0.08995502248875563
A,loop,-2,top45_margin,10,0.7124277456647399,0.7124277456647399,event_high,0.6352912435332438,0.7822968214693565,16,121,692,0.0014992503748125937,0.08745627186406797
A,loop,-2,tail_mass,1,0.2398843930635838,0.7601156069364162,event_low,0.17539793756369682,0.3038280507384716,16,121,692,0.0004997501249375312,0.028985507246376812
A,loop,-2,tail_mass,2,0.16473988439306358,0.8352601156069364,event_low,0.1117976725922753,0.2191609986008558,16,121,692,0.0004997501249375312,0.001999000499750125
A,loop,-2,tail_mass,3,0.16040462427745664,0.8395953757225434,event_low,0.10422469498170986,0.23089264975208817,16,121,692,0.0004997501249375312,0.0009995002498750624
A,loop,-2,tail_mass,4,0.14884393063583815,0.8511560693641619,event_low,0.1107951398214046,0.1943915046796256,16,121,692,0.0004997501249375312,0.0004997501249375312
A,loop,-2,tail_mass,5,0.18352601156069365,0.8164739884393064,event_low,0.1207087588142569,0.2561766129535944,16,121,692,0.0004997501249375312,0.0034982508745627187
