corpus,state_query_leads_action_by,rho,ci95_low,ci95_high,n_pairs
A,0,0.49402128369978043,0.46839601942017134,0.5196398919213377,14683
A,1,0.42064005597836546,0.3946729872821636,0.44546437147826257,14331
A,2,0.29063984521492514,0.26110699433989937,0.3204452988115889,13979
A,3,0.15495621741651683,0.12055374781316476,0.19112778750251397,13627
A,4,0.08241878925656863,0.04271705741663948,0.1219229390726699,13275
B,0,0.3016161743844764,0.27739904259592735,0.325209503453388,20817
B,1,0.24619650352963235,0.22185369102092897,0.26920739566121266,20305
B,2,0.17557050732545992,0.15100898264151785,0.20055980147952018,19793
B,3,0.10944842136086118,0.08230336765082537,0.13476900645859222,19281
B,4,0.07739403964398879,0.05083926820059545,0.10377451958159556,18769
