pair_id,role,score,alarm,h10_success,h10_success_action,h10_actions_executed,h10_queries,h10_inference_seconds,h10_physical_recurrence,h10_physical_recurrence_action,h10_physical_recurrence_partner_action,h10_goal_distance_start,h10_goal_distance_final_grid,h10_goal_distance_best,h10_success_by_50,h10_success_by_100,h10_success_by_150,h10_success_by_200,h2_burst10_success,h2_burst10_success_action,h2_burst10_actions_executed,h2_burst10_queries,h2_burst10_inference_seconds,h2_burst10_physical_recurrence,h2_burst10_physical_recurrence_action,h2_burst10_physical_recurrence_partner_action,h2_burst10_goal_distance_start,h2_burst10_goal_distance_final_grid,h2_burst10_goal_distance_best,h2_burst10_success_by_50,h2_burst10_success_by_100,h2_burst10_success_by_150,h2_burst10_success_by_200,success_effect,recurrence_effect,query_cost
0,event,0.33207691192626954,True,False,,200,20,17.797374431043863,False,,,0.3603691313517411,0.36674908143262486,0.3603691313517411,False,False,False,False,False,,200,24,12.732857886701822,False,,,0.3603691313517411,0.3666213253064823,0.3595591798558987,False,False,False,False,0,0,4
0,control,0.23514839172363283,False,True,50,50,5,2.64521487057209,False,,,0.25499172945624876,0.0020765801568035157,0.0020765801568035157,True,True,True,True,True,51,51,10,5.30475939810276,False,,,0.25499172945624876,0.002300807896299278,0.002300807896299278,False,True,True,True,0,0,5
1,event,0.28367770195007325,False,False,,200,20,10.452837653458118,True,190,150,0.3986283512147874,0.41106658324666046,0.39779751764378046,False,False,False,False,False,,200,24,12.552004810422659,True,180,130,0.3986283512147874,0.41085394223115584,0.3972094258281797,False,False,False,False,0,0,4
1,control,0.25820648670196533,False,True,22,22,3,1.561915211379528,False,,,0.13515985793888854,0.030117420832292043,0.030117420832292043,True,True,True,True,True,23,23,7,3.662608787417412,False,,,0.13515985793888854,0.02660367998829513,0.02660367998829513,True,True,True,True,0,0,4
2,event,0.3093706512451172,True,False,,200,20,10.516090029850602,False,,,0.4079962336656736,0.4061844969701717,0.4061844969701717,False,False,False,False,False,,200,24,12.684009492397308,False,,,0.4079962336656736,0.4067364936196974,0.4064850715998956,False,False,False,False,0,0,4
2,control,0.27418392181396484,False,True,30,30,3,1.569873346015811,False,,,0.1220349861576723,0.0038746258144374273,0.0038746258144374273,True,True,True,True,True,30,30,7,3.6492466870695353,False,,,0.1220349861576723,0.0038746258144374273,0.0038746258144374273,True,True,True,True,0,0,4
3,event,0.2934368991851807,False,False,,200,20,10.696455765515566,False,,,0.3646971340161068,0.3738005049106494,0.3646971340161068,False,False,False,False,False,,200,24,12.731601545587182,False,,,0.3646971340161068,0.37204548180698654,0.3641052828750975,False,False,False,False,0,0,4
3,control,0.27634639739990235,False,True,113,113,12,6.35388021171093,False,,,0.3647547119746836,0.01146009090525558,0.01146009090525558,False,False,True,True,False,,200,24,12.540374049916863,True,100,60,0.3647547119746836,0.3621025249328794,0.3621025249328794,False,False,False,False,-1,1,12
5,event,0.3141107940673828,True,False,,200,20,10.599184585735202,False,,,0.3845086739804055,0.3853066916511631,0.3832450896699999,False,False,False,False,False,,200,24,12.728512523695827,False,,,0.3845086739804055,0.384941766323615,0.38292946758862184,False,False,False,False,0,0,4
5,control,0.24584003329277043,False,True,50,50,5,2.6524210423231125,False,,,0.26249987023588145,0.008194071629900974,0.008194071629900974,True,True,True,True,True,50,50,9,4.774520877748728,False,,,0.26249987023588145,0.009131413908078645,0.009131413908078645,True,True,True,True,0,0,4
6,event,0.32143424987792973,True,False,,200,20,10.699732622131705,False,,,0.3989947699087094,0.4053322817524092,0.3989947699087094,False,False,False,False,False,,200,24,12.807767324149609,False,,,0.3989947699087094,0.40502538119809794,0.39856988929527487,False,False,False,False,0,0,4
6,control,0.26953873634338377,False,True,49,49,5,2.6261110324412584,False,,,0.2258260744134456,0.04727942611807612,0.04727942611807612,True,True,True,True,True,49,49,9,4.749338664114475,False,,,0.2258260744134456,0.04700959096296497,0.04700959096296497,True,True,True,True,0,0,4
7,event,0.3241695404052734,True,False,,200,20,10.683579925447702,False,,,0.3879457805727768,0.386135177490148,0.3855868723084011,False,False,False,False,False,,200,24,12.692534036934376,False,,,0.3879457805727768,0.3859547643680627,0.38570285446592634,False,False,False,False,0,0,4
7,control,0.2965703773498535,True,True,34,34,4,2.2720987778156996,False,,,0.12313241436580499,0.018960554554534857,0.018960554554534857,True,True,True,True,True,34,34,8,4.304079482331872,False,,,0.12313241436580499,0.01765497947592069,0.01765497947592069,True,True,True,True,0,0,4
8,event,0.30635757446289064,True,False,,200,20,10.603584945201874,False,,,0.3867021340505593,0.39561510455351867,0.3867021340505593,False,False,False,False,False,,200,24,12.713865507394075,False,,,0.3867021340505593,0.3953826101378126,0.38537060639273146,False,False,False,False,0,0,4
8,control,0.22121558904647828,False,True,43,43,5,2.619447112083435,False,,,0.2563468167921778,0.014054732267726766,0.014054732267726766,True,True,True,True,True,43,43,9,4.738257344812155,False,,,0.2563468167921778,0.012394252350665717,0.012394252350665717,True,True,True,True,0,0,4
