corpus,group,relative,concordant,pairs,n_events,auc_trap_high,event_kind,signal,variant
C,2,-4,1.0,64,8,0.015625,static,query_support_churn,raw_descriptive
C,21,-4,1.0,55,5,0.01818181818181818,static,query_support_churn,raw_descriptive
C,26,-4,2.0,48,4,0.041666666666666664,static,query_support_churn,raw_descriptive
C,27,-4,0.0,58,8,0.0,static,query_support_churn,raw_descriptive
C,29,-4,0.0,15,1,0.0,static,query_support_churn,raw_descriptive
C,3,-4,0.0,64,8,0.0,static,query_support_churn,raw_descriptive
C,30,-4,0.0,55,5,0.0,static,query_support_churn,raw_descriptive
C,35,-4,1.0,15,1,0.06666666666666667,static,query_support_churn,raw_descriptive
C,37,-4,0.0,14,1,0.0,static,query_support_churn,raw_descriptive
C,38,-4,0.0,60,6,0.0,static,query_support_churn,raw_descriptive
C,39,-4,0.0,28,14,0.0,static,query_support_churn,raw_descriptive
C,4,-4,0.0,28,2,0.0,static,query_support_churn,raw_descriptive
C,40,-4,2.0,51,6,0.0392156862745098,static,query_support_churn,raw_descriptive
C,41,-4,0.0,63,7,0.0,static,query_support_churn,raw_descriptive
C,42,-4,0.0,34,4,0.0,static,query_support_churn,raw_descriptive
C,44,-4,2.0,55,5,0.03636363636363636,static,query_support_churn,raw_descriptive
C,47,-4,1.0,28,2,0.03571428571428571,static,query_support_churn,raw_descriptive
C,48,-4,0.0,28,2,0.0,static,query_support_churn,raw_descriptive
C,49,-4,2.0,55,11,0.03636363636363636,static,query_support_churn,raw_descriptive
C,8,-4,0.0,15,1,0.0,static,query_support_churn,raw_descriptive
C,0,-2,2.0,28,2,0.07142857142857142,static,query_support_churn,raw_descriptive
C,1,-2,8.0,62,9,0.12903225806451613,static,query_support_churn,raw_descriptive
C,10,-2,2.0,39,3,0.05128205128205128,static,query_support_churn,raw_descriptive
C,11,-2,0.0,38,3,0.0,static,query_support_churn,raw_descriptive
C,13,-2,0.0,36,12,0.0,static,query_support_churn,raw_descriptive
C,15,-2,0.0,62,8,0.0,static,query_support_churn,raw_descriptive
C,16,-2,0.0,37,4,0.0,static,query_support_churn,raw_descriptive
C,19,-2,0.0,63,7,0.0,static,query_support_churn,raw_descriptive
C,2,-2,3.0,64,8,0.046875,static,query_support_churn,raw_descriptive
C,21,-2,0.0,55,5,0.0,static,query_support_churn,raw_descriptive
C,26,-2,2.0,43,4,0.046511627906976744,static,query_support_churn,raw_descriptive
C,27,-2,0.0,58,8,0.0,static,query_support_churn,raw_descriptive
C,29,-2,0.0,15,1,0.0,static,query_support_churn,raw_descriptive
C,3,-2,0.0,61,8,0.0,static,query_support_churn,raw_descriptive
C,30,-2,0.0,52,5,0.0,static,query_support_churn,raw_descriptive
C,35,-2,0.0,12,1,0.0,static,query_support_churn,raw_descriptive
C,37,-2,0.0,6,1,0.0,static,query_support_churn,raw_descriptive
C,38,-2,0.0,59,6,0.0,static,query_support_churn,raw_descriptive
C,39,-2,0.0,28,14,0.0,static,query_support_churn,raw_descriptive
C,4,-2,0.0,28,2,0.0,static,query_support_churn,raw_descriptive
C,40,-2,2.0,48,6,0.041666666666666664,static,query_support_churn,raw_descriptive
C,41,-2,2.0,63,7,0.031746031746031744,static,query_support_churn,raw_descriptive
C,42,-2,0.0,28,4,0.0,static,query_support_churn,raw_descriptive
C,44,-2,0.0,42,5,0.0,static,query_support_churn,raw_descriptive
C,47,-2,0.0,28,2,0.0,static,query_support_churn,raw_descriptive
C,48,-2,0.0,28,2,0.0,static,query_support_churn,raw_descriptive
C,49,-2,2.0,55,11,0.03636363636363636,static,query_support_churn,raw_descriptive
C,8,-2,0.0,15,1,0.0,static,query_support_churn,raw_descriptive
C,0,-4,1.0,28,2,0.03571428571428571,static,query_exec_churn,raw_descriptive
C,1,-4,3.0,63,9,0.047619047619047616,static,query_exec_churn,raw_descriptive
C,10,-4,4.0,39,3,0.10256410256410256,static,query_exec_churn,raw_descriptive
C,11,-4,0.0,39,3,0.0,static,query_exec_churn,raw_descriptive
C,13,-4,0.0,37,13,0.0,static,query_exec_churn,raw_descriptive
C,15,-4,0.0,64,8,0.0,static,query_exec_churn,raw_descriptive
C,16,-4,1.0,37,4,0.02702702702702703,static,query_exec_churn,raw_descriptive
C,19,-4,0.0,63,7,0.0,static,query_exec_churn,raw_descriptive
C,2,-4,1.0,64,8,0.015625,static,query_exec_churn,raw_descriptive
C,21,-4,0.0,55,5,0.0,static,query_exec_churn,raw_descriptive
C,26,-4,2.0,48,4,0.041666666666666664,static,query_exec_churn,raw_descriptive
C,27,-4,0.0,58,8,0.0,static,query_exec_churn,raw_descriptive
C,29,-4,0.0,15,1,0.0,static,query_exec_churn,raw_descriptive
C,3,-4,1.0,64,8,0.015625,static,query_exec_churn,raw_descriptive
C,30,-4,0.0,55,5,0.0,static,query_exec_churn,raw_descriptive
C,35,-4,1.0,15,1,0.06666666666666667,static,query_exec_churn,raw_descriptive
C,37,-4,0.0,14,1,0.0,static,query_exec_churn,raw_descriptive
C,38,-4,0.0,60,6,0.0,static,query_exec_churn,raw_descriptive
C,39,-4,0.0,28,14,0.0,static,query_exec_churn,raw_descriptive
C,4,-4,0.0,28,2,0.0,static,query_exec_churn,raw_descriptive
C,40,-4,2.0,51,6,0.0392156862745098,static,query_exec_churn,raw_descriptive
C,41,-4,0.0,63,7,0.0,static,query_exec_churn,raw_descriptive
C,42,-4,0.0,34,4,0.0,static,query_exec_churn,raw_descriptive
C,44,-4,2.0,55,5,0.03636363636363636,static,query_exec_churn,raw_descriptive
C,47,-4,1.0,28,2,0.03571428571428571,static,query_exec_churn,raw_descriptive
C,48,-4,0.0,28,2,0.0,static,query_exec_churn,raw_descriptive
C,49,-4,2.0,55,11,0.03636363636363636,static,query_exec_churn,raw_descriptive
C,8,-4,0.0,15,1,0.0,static,query_exec_churn,raw_descriptive
C,0,-2,1.0,28,2,0.03571428571428571,static,query_exec_churn,raw_descriptive
C,1,-2,8.0,62,9,0.12903225806451613,static,query_exec_churn,raw_descriptive
C,10,-2,2.0,39,3,0.05128205128205128,static,query_exec_churn,raw_descriptive
C,11,-2,0.0,38,3,0.0,static,query_exec_churn,raw_descriptive
C,13,-2,0.0,36,12,0.0,static,query_exec_churn,raw_descriptive
C,15,-2,0.0,62,8,0.0,static,query_exec_churn,raw_descriptive
C,16,-2,0.0,37,4,0.0,static,query_exec_churn,raw_descriptive
C,19,-2,0.0,63,7,0.0,static,query_exec_churn,raw_descriptive
C,2,-2,3.0,64,8,0.046875,static,query_exec_churn,raw_descriptive
C,21,-2,0.0,55,5,0.0,static,query_exec_churn,raw_descriptive
C,26,-2,2.0,43,4,0.046511627906976744,static,query_exec_churn,raw_descriptive
C,27,-2,0.0,58,8,0.0,static,query_exec_churn,raw_descriptive
C,29,-2,0.0,15,1,0.0,static,query_exec_churn,raw_descriptive
C,3,-2,0.0,61,8,0.0,static,query_exec_churn,raw_descriptive
C,30,-2,0.0,52,5,0.0,static,query_exec_churn,raw_descriptive
C,35,-2,0.0,12,1,0.0,static,query_exec_churn,raw_descriptive
C,37,-2,0.0,6,1,0.0,static,query_exec_churn,raw_descriptive
C,38,-2,0.0,59,6,0.0,static,query_exec_churn,raw_descriptive
C,39,-2,0.0,28,14,0.0,static,query_exec_churn,raw_descriptive
C,4,-2,0.0,28,2,0.0,static,query_exec_churn,raw_descriptive
C,40,-2,2.0,48,6,0.041666666666666664,static,query_exec_churn,raw_descriptive
C,41,-2,2.0,63,7,0.031746031746031744,static,query_exec_churn,raw_descriptive
C,42,-2,0.0,28,4,0.0,static,query_exec_churn,raw_descriptive
C,44,-2,0.0,42,5,0.0,static,query_exec_churn,raw_descriptive
C,47,-2,0.0,28,2,0.0,static,query_exec_churn,raw_descriptive
C,48,-2,0.0,28,2,0.0,static,query_exec_churn,raw_descriptive
C,49,-2,2.0,55,11,0.03636363636363636,static,query_exec_churn,raw_descriptive
C,8,-2,0.0,15,1,0.0,static,query_exec_churn,raw_descriptive
C,0,-4,13.0,60,6,0.21666666666666667,trap,query_support_churn,residual_f0_primary
C,1,-4,4.0,39,13,0.10256410256410256,trap,query_support_churn,residual_f0_primary
C,10,-4,14.0,41,11,0.34146341463414637,trap,query_support_churn,residual_f0_primary
C,11,-4,21.0,47,5,0.44680851063829785,trap,query_support_churn,residual_f0_primary
C,12,-4,31.0,61,8,0.5081967213114754,trap,query_support_churn,residual_f0_primary
C,13,-4,1.0,37,13,0.02702702702702703,trap,query_support_churn,residual_f0_primary
C,15,-4,17.0,64,8,0.265625,trap,query_support_churn,residual_f0_primary
C,16,-4,5.0,37,4,0.13513513513513514,trap,query_support_churn,residual_f0_primary
