lead,feature,n_pairs,event_mean,control_mean,paired_mean_difference,paired_median_difference,paired_standardized_effect,paired_t_statistic,event_greater_fraction,pooled_event_high_auc,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,permutation_p_raw,permutation_p_max_t,max_t_significant_0_05
-4,routed_authority,23,0.15108853547469428,0.16318947501804518,-0.012100939543350887,-0.012021942138671887,-1.1920116405089345,-5.716687001708457,0.043478260869565216,0.15500945179584122,-0.016217368830805247,-0.008147465000981877,9.99990000099999e-06,0.0002099979000209998,True
-4,expert_cancellation,23,0.43276648479959234,0.448524753736413,-0.01575826893682066,-0.019352416992187593,-1.423863870830423,-6.828611236634612,0.13043478260869565,0.09073724007561437,-0.020048106981360406,-0.011119462718134323,9.99990000099999e-06,9.99990000099999e-06,True
-4,expert_disagreement_ratio,23,0.6905749777088995,0.7051490319293477,-0.014574054220448348,-0.015710449218749978,-1.656093477602436,-7.94234530543835,0.08695652173913043,0.0831758034026465,-0.01806137483016301,-0.011055741683296537,9.99990000099999e-06,9.99990000099999e-06,True
-4,routed_shared_cosine,23,0.31075709853483285,0.26322678172070046,0.047530316814132376,0.051967084407806396,1.906114572929554,9.141404355901317,0.9130434782608695,0.9224952741020794,0.03751990506506485,0.057333115291984156,9.99990000099999e-06,9.99990000099999e-06,True
-4,functional_flow_delta,23,0.23538074523613856,0.24117220006994,-0.005791454833801381,-0.009520651419721665,-0.3660237708354284,-1.7553883384543383,0.391304347826087,0.34026465028355385,-0.012090155973807271,0.0004539422687478913,0.09163908360916391,0.3806261937380626,False
-2,routed_authority,23,0.15317778214164401,0.16621273206627885,-0.013034949924634845,-0.01216789245605468,-0.8806698179361253,-4.223544074488143,0.2608695652173913,0.1890359168241966,-0.019073053691698146,-0.0072428803651229225,0.00027999720002799973,0.002879971200287997,True
-2,expert_cancellation,23,0.43249576734459927,0.4458880615234375,-0.013392294178838297,-0.015329284667968679,-1.173327908705888,-5.6270829717542865,0.21739130434782608,0.11720226843100189,-0.01790266650655993,-0.00872882312277087,6.999930000699993e-05,0.0002099979000209998,True
-2,expert_disagreement_ratio,23,0.6921360712466033,0.7033390211022419,-0.011202949855638585,-0.012774658203124845,-1.3698339333811869,-6.5694927594129515,0.08695652173913043,0.09829867674858223,-0.014480736110521402,-0.007911562712296191,9.99990000099999e-06,2.999970000299997e-05,True
-2,routed_shared_cosine,23,0.30977080993030387,0.24922142782936924,0.060549382100934565,0.06044329404830931,1.9407361882373664,9.30744378998253,0.9565217391304348,0.9508506616257089,0.0480852870704687,0.07277219297153795,9.99990000099999e-06,9.99990000099999e-06,True
-2,functional_flow_delta,23,0.23668329799255278,0.2399977008786318,-0.0033144028860789903,-0.004923696705855823,-0.21279442231386736,-1.0205261985179646,0.391304347826087,0.4045368620037807,-0.00938429474898019,0.002926564062030062,0.3214367856321437,0.8424015759842401,False
