fold,calibration,method,branch,alpha,branch_alpha,threshold,rank,units,resolution,attainable,no_exposure_units,calibration_exceedances
0,episode,v82_reference,v82,0.005,0.005,4.946819305419922,3083,3097,0.00032278889606197545,True,0,14
0,episode,v82_reference,v82,0.01,0.01,4.273515224456787,3068,3097,0.00032278889606197545,True,0,29
0,episode,v82_reference,v82,0.02,0.02,3.878072500228882,3037,3097,0.00032278889606197545,True,0,60
0,episode,v82_reference,v82,0.05,0.05,3.4790914058685303,2944,3097,0.00032278889606197545,True,0,153
0,episode,v82_integrated,v82,0.005,0.0016666666666666668,6.67080020904541,3093,3097,0.00032278889606197545,True,0,4
0,episode,v82_integrated,v82,0.01,0.0033333333333333335,5.612654209136963,3088,3097,0.00032278889606197545,True,0,9
0,episode,v82_integrated,v82,0.02,0.006666666666666667,4.719359874725342,3078,3097,0.00032278889606197545,True,0,19
0,episode,v82_integrated,v82,0.05,0.016666666666666666,3.9217491149902344,3047,3097,0.00032278889606197545,True,0,50
0,task_init,v82_reference,v82,0.005,0.005,7.846292018890381,398,398,0.002506265664160401,True,0,0
0,task_init,v82_reference,v82,0.01,0.01,7.196047782897949,396,398,0.002506265664160401,True,0,2
0,task_init,v82_reference,v82,0.02,0.02,5.612654209136963,392,398,0.002506265664160401,True,0,6
0,task_init,v82_reference,v82,0.05,0.05,4.024295330047607,380,398,0.002506265664160401,True,0,18
0,task_init,v82_integrated,v82,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,0,0
0,task_init,v82_integrated,v82,0.01,0.0033333333333333335,7.846292018890381,398,398,0.002506265664160401,True,0,0
0,task_init,v82_integrated,v82,0.02,0.006666666666666667,7.415421009063721,397,398,0.002506265664160401,True,0,1
0,task_init,v82_integrated,v82,0.05,0.016666666666666666,5.815682411193848,393,398,0.002506265664160401,True,0,5
0,episode,dynamics_only,acceleration,0.005,0.0025,0.35458892583847046,3091,3097,0.00032278889606197545,True,236,6
0,episode,dynamics_only,acceleration,0.01,0.005,0.33049821853637695,3083,3097,0.00032278889606197545,True,236,14
0,episode,dynamics_only,acceleration,0.02,0.01,0.2961887717247009,3068,3097,0.00032278889606197545,True,236,29
0,episode,dynamics_only,acceleration,0.05,0.025,0.2635017931461334,3021,3097,0.00032278889606197545,True,236,76
0,episode,v82_integrated,acceleration,0.005,0.0016666666666666668,0.38661083579063416,3093,3097,0.00032278889606197545,True,236,4
0,episode,v82_integrated,acceleration,0.01,0.0033333333333333335,0.3447871208190918,3088,3097,0.00032278889606197545,True,236,9
0,episode,v82_integrated,acceleration,0.02,0.006666666666666667,0.31041809916496277,3078,3097,0.00032278889606197545,True,236,19
0,episode,v82_integrated,acceleration,0.05,0.016666666666666666,0.27783897519111633,3047,3097,0.00032278889606197545,True,236,50
0,task_init,dynamics_only,acceleration,0.005,0.0025,inf,399,398,0.002506265664160401,False,23,0
0,task_init,dynamics_only,acceleration,0.01,0.005,0.40722161531448364,398,398,0.002506265664160401,True,23,0
0,task_init,dynamics_only,acceleration,0.02,0.01,0.3875565826892853,396,398,0.002506265664160401,True,23,2
0,task_init,dynamics_only,acceleration,0.05,0.025,0.33490586280822754,390,398,0.002506265664160401,True,23,8
0,task_init,v82_integrated,acceleration,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,23,0
0,task_init,v82_integrated,acceleration,0.01,0.0033333333333333335,0.40722161531448364,398,398,0.002506265664160401,True,23,0
0,task_init,v82_integrated,acceleration,0.02,0.006666666666666667,0.3944188356399536,397,398,0.002506265664160401,True,23,1
0,task_init,v82_integrated,acceleration,0.05,0.016666666666666666,0.35310932993888855,393,398,0.002506265664160401,True,23,5
0,episode,dynamics_only,decoupling,0.005,0.0025,0.21988728642463684,3091,3097,0.00032278889606197545,True,986,6
0,episode,dynamics_only,decoupling,0.01,0.005,0.17496773600578308,3083,3097,0.00032278889606197545,True,986,14
0,episode,dynamics_only,decoupling,0.02,0.01,0.1290755271911621,3068,3097,0.00032278889606197545,True,986,29
0,episode,dynamics_only,decoupling,0.05,0.025,0.06823813915252686,3021,3097,0.00032278889606197545,True,986,76
0,episode,v82_integrated,decoupling,0.005,0.0016666666666666668,0.22993963956832886,3093,3097,0.00032278889606197545,True,986,4
0,episode,v82_integrated,decoupling,0.01,0.0033333333333333335,0.19524450600147247,3088,3097,0.00032278889606197545,True,986,9
0,episode,v82_integrated,decoupling,0.02,0.006666666666666667,0.1576007604598999,3078,3097,0.00032278889606197545,True,986,19
0,episode,v82_integrated,decoupling,0.05,0.016666666666666666,0.09284588694572449,3047,3097,0.00032278889606197545,True,986,50
0,task_init,dynamics_only,decoupling,0.005,0.0025,inf,399,398,0.002506265664160401,False,117,0
0,task_init,dynamics_only,decoupling,0.01,0.005,0.3399841785430908,398,398,0.002506265664160401,True,117,0
0,task_init,dynamics_only,decoupling,0.02,0.01,0.22993963956832886,396,398,0.002506265664160401,True,117,2
0,task_init,dynamics_only,decoupling,0.05,0.025,0.16233427822589874,390,398,0.002506265664160401,True,117,8
0,task_init,v82_integrated,decoupling,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,117,0
0,task_init,v82_integrated,decoupling,0.01,0.0033333333333333335,0.3399841785430908,398,398,0.002506265664160401,True,117,0
0,task_init,v82_integrated,decoupling,0.02,0.006666666666666667,0.316638708114624,397,398,0.002506265664160401,True,117,1
0,task_init,v82_integrated,decoupling,0.05,0.016666666666666666,0.18682515621185303,393,398,0.002506265664160401,True,117,5
1,episode,v82_reference,v82,0.005,0.005,4.787036418914795,3102,3116,0.0003208213025344883,True,0,14
1,episode,v82_reference,v82,0.01,0.01,4.093027591705322,3086,3116,0.0003208213025344883,True,0,30
1,episode,v82_reference,v82,0.02,0.02,3.8955037593841553,3055,3116,0.0003208213025344883,True,0,61
1,episode,v82_reference,v82,0.05,0.05,3.490774154663086,2962,3116,0.0003208213025344883,True,0,154
1,episode,v82_integrated,v82,0.005,0.0016666666666666668,5.866595268249512,3112,3116,0.0003208213025344883,True,0,4
1,episode,v82_integrated,v82,0.01,0.0033333333333333335,4.951977729797363,3107,3116,0.0003208213025344883,True,0,9
1,episode,v82_integrated,v82,0.02,0.006666666666666667,4.530478477478027,3097,3116,0.0003208213025344883,True,0,19
1,episode,v82_integrated,v82,0.05,0.016666666666666666,3.944640874862671,3066,3116,0.0003208213025344883,True,0,50
1,task_init,v82_reference,v82,0.005,0.005,8.394133567810059,398,398,0.002506265664160401,True,0,0
1,task_init,v82_reference,v82,0.01,0.01,5.866595268249512,396,398,0.002506265664160401,True,0,2
1,task_init,v82_reference,v82,0.02,0.02,4.907149314880371,392,398,0.002506265664160401,True,0,6
1,task_init,v82_reference,v82,0.05,0.05,4.09885311126709,380,398,0.002506265664160401,True,0,18
1,task_init,v82_integrated,v82,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,0,0
1,task_init,v82_integrated,v82,0.01,0.0033333333333333335,8.394133567810059,398,398,0.002506265664160401,True,0,0
1,task_init,v82_integrated,v82,0.02,0.006666666666666667,6.040565490722656,397,398,0.002506265664160401,True,0,1
1,task_init,v82_integrated,v82,0.05,0.016666666666666666,4.951977729797363,393,398,0.002506265664160401,True,0,5
1,episode,dynamics_only,acceleration,0.005,0.0025,0.3313758075237274,3110,3116,0.0003208213025344883,True,196,6
1,episode,dynamics_only,acceleration,0.01,0.005,0.3112265169620514,3102,3116,0.0003208213025344883,True,196,14
1,episode,dynamics_only,acceleration,0.02,0.01,0.28629598021507263,3086,3116,0.0003208213025344883,True,196,30
1,episode,dynamics_only,acceleration,0.05,0.025,0.24930165708065033,3040,3116,0.0003208213025344883,True,196,76
1,episode,v82_integrated,acceleration,0.005,0.0016666666666666668,0.33734163641929626,3112,3116,0.0003208213025344883,True,196,4
1,episode,v82_integrated,acceleration,0.01,0.0033333333333333335,0.3227778673171997,3107,3116,0.0003208213025344883,True,196,9
1,episode,v82_integrated,acceleration,0.02,0.006666666666666667,0.3049364387989044,3097,3116,0.0003208213025344883,True,196,19
1,episode,v82_integrated,acceleration,0.05,0.016666666666666666,0.2670136094093323,3066,3116,0.0003208213025344883,True,196,50
1,task_init,dynamics_only,acceleration,0.005,0.0025,inf,399,398,0.002506265664160401,False,21,0
1,task_init,dynamics_only,acceleration,0.01,0.005,0.35960909724235535,398,398,0.002506265664160401,True,21,0
1,task_init,dynamics_only,acceleration,0.02,0.01,0.3433842957019806,396,398,0.002506265664160401,True,21,2
1,task_init,dynamics_only,acceleration,0.05,0.025,0.3084140419960022,390,398,0.002506265664160401,True,21,8
1,task_init,v82_integrated,acceleration,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,21,0
1,task_init,v82_integrated,acceleration,0.01,0.0033333333333333335,0.35960909724235535,398,398,0.002506265664160401,True,21,0
1,task_init,v82_integrated,acceleration,0.02,0.006666666666666667,0.35180389881134033,397,398,0.002506265664160401,True,21,1
1,task_init,v82_integrated,acceleration,0.05,0.016666666666666666,0.32651370763778687,393,398,0.002506265664160401,True,21,5
1,episode,dynamics_only,decoupling,0.005,0.0025,0.19324880838394165,3110,3116,0.0003208213025344883,True,962,6
1,episode,dynamics_only,decoupling,0.01,0.005,0.1616957038640976,3102,3116,0.0003208213025344883,True,962,14
1,episode,dynamics_only,decoupling,0.02,0.01,0.11514896154403687,3086,3116,0.0003208213025344883,True,962,30
1,episode,dynamics_only,decoupling,0.05,0.025,0.06410431861877441,3040,3116,0.0003208213025344883,True,962,76
1,episode,v82_integrated,decoupling,0.005,0.0016666666666666668,0.19664250314235687,3112,3116,0.0003208213025344883,True,962,4
1,episode,v82_integrated,decoupling,0.01,0.0033333333333333335,0.18283259868621826,3107,3116,0.0003208213025344883,True,962,9
1,episode,v82_integrated,decoupling,0.02,0.006666666666666667,0.1523059755563736,3097,3116,0.0003208213025344883,True,962,19
1,episode,v82_integrated,decoupling,0.05,0.016666666666666666,0.08235029131174088,3066,3116,0.0003208213025344883,True,962,50
1,task_init,dynamics_only,decoupling,0.005,0.0025,inf,399,398,0.002506265664160401,False,111,0
1,task_init,dynamics_only,decoupling,0.01,0.005,0.23485523462295532,398,398,0.002506265664160401,True,111,0
1,task_init,dynamics_only,decoupling,0.02,0.01,0.19664250314235687,396,398,0.002506265664160401,True,111,2
1,task_init,dynamics_only,decoupling,0.05,0.025,0.14978697896003723,390,398,0.002506265664160401,True,111,8
1,task_init,v82_integrated,decoupling,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,111,0
1,task_init,v82_integrated,decoupling,0.01,0.0033333333333333335,0.23485523462295532,398,398,0.002506265664160401,True,111,0
1,task_init,v82_integrated,decoupling,0.02,0.006666666666666667,0.21482723951339722,397,398,0.002506265664160401,True,111,1
1,task_init,v82_integrated,decoupling,0.05,0.016666666666666666,0.18283259868621826,393,398,0.002506265664160401,True,111,5
2,episode,v82_reference,v82,0.005,0.005,4.884354114532471,3063,3077,0.0003248862897985705,True,0,14
2,episode,v82_reference,v82,0.01,0.01,4.389932632446289,3048,3077,0.0003248862897985705,True,0,29
2,episode,v82_reference,v82,0.02,0.02,4.073963642120361,3017,3077,0.0003248862897985705,True,0,60
2,episode,v82_reference,v82,0.05,0.05,3.618119955062866,2925,3077,0.0003248862897985705,True,0,152
2,episode,v82_integrated,v82,0.005,0.0016666666666666668,5.260047435760498,3073,3077,0.0003248862897985705,True,0,4
2,episode,v82_integrated,v82,0.01,0.0033333333333333335,5.046816825866699,3068,3077,0.0003248862897985705,True,0,9
2,episode,v82_integrated,v82,0.02,0.006666666666666667,4.631373882293701,3058,3077,0.0003248862897985705,True,0,19
2,episode,v82_integrated,v82,0.05,0.016666666666666666,4.108946800231934,3027,3077,0.0003248862897985705,True,0,50
2,task_init,v82_reference,v82,0.005,0.005,8.659472465515137,398,398,0.002506265664160401,True,0,0
2,task_init,v82_reference,v82,0.01,0.01,6.203424453735352,396,398,0.002506265664160401,True,0,2
2,task_init,v82_reference,v82,0.02,0.02,5.199891567230225,392,398,0.002506265664160401,True,0,6
2,task_init,v82_reference,v82,0.05,0.05,4.2798333168029785,380,398,0.002506265664160401,True,0,18
2,task_init,v82_integrated,v82,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,0,0
2,task_init,v82_integrated,v82,0.01,0.0033333333333333335,8.659472465515137,398,398,0.002506265664160401,True,0,0
2,task_init,v82_integrated,v82,0.02,0.006666666666666667,6.224016189575195,397,398,0.002506265664160401,True,0,1
2,task_init,v82_integrated,v82,0.05,0.016666666666666666,5.246673583984375,393,398,0.002506265664160401,True,0,5
2,episode,dynamics_only,acceleration,0.005,0.0025,0.37680962681770325,3071,3077,0.0003248862897985705,True,238,6
2,episode,dynamics_only,acceleration,0.01,0.005,0.32811427116394043,3063,3077,0.0003248862897985705,True,238,14
2,episode,dynamics_only,acceleration,0.02,0.01,0.30258849263191223,3048,3077,0.0003248862897985705,True,238,29
2,episode,dynamics_only,acceleration,0.05,0.025,0.26051566004753113,3002,3077,0.0003248862897985705,True,238,75
2,episode,v82_integrated,acceleration,0.005,0.0016666666666666668,0.39592042565345764,3073,3077,0.0003248862897985705,True,238,4
2,episode,v82_integrated,acceleration,0.01,0.0033333333333333335,0.33622685074806213,3068,3077,0.0003248862897985705,True,238,9
2,episode,v82_integrated,acceleration,0.02,0.006666666666666667,0.3121832311153412,3058,3077,0.0003248862897985705,True,238,19
2,episode,v82_integrated,acceleration,0.05,0.016666666666666666,0.2775862216949463,3027,3077,0.0003248862897985705,True,238,50
2,task_init,dynamics_only,acceleration,0.005,0.0025,inf,399,398,0.002506265664160401,False,26,0
2,task_init,dynamics_only,acceleration,0.01,0.005,0.5325905084609985,398,398,0.002506265664160401,True,26,0
2,task_init,dynamics_only,acceleration,0.02,0.01,0.4132033884525299,396,398,0.002506265664160401,True,26,2
2,task_init,dynamics_only,acceleration,0.05,0.025,0.33445435762405396,390,398,0.002506265664160401,True,26,8
2,task_init,v82_integrated,acceleration,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,26,0
2,task_init,v82_integrated,acceleration,0.01,0.0033333333333333335,0.5325905084609985,398,398,0.002506265664160401,True,26,0
2,task_init,v82_integrated,acceleration,0.02,0.006666666666666667,0.42885106801986694,397,398,0.002506265664160401,True,26,1
2,task_init,v82_integrated,acceleration,0.05,0.016666666666666666,0.37680962681770325,393,398,0.002506265664160401,True,26,5
2,episode,dynamics_only,decoupling,0.005,0.0025,0.2785108983516693,3071,3077,0.0003248862897985705,True,979,6
2,episode,dynamics_only,decoupling,0.01,0.005,0.23668347299098969,3063,3077,0.0003248862897985705,True,979,14
2,episode,dynamics_only,decoupling,0.02,0.01,0.17062214016914368,3048,3077,0.0003248862897985705,True,979,29
2,episode,dynamics_only,decoupling,0.05,0.025,0.0856613963842392,3002,3077,0.0003248862897985705,True,979,75
2,episode,v82_integrated,decoupling,0.005,0.0016666666666666668,0.28473344445228577,3073,3077,0.0003248862897985705,True,979,4
2,episode,v82_integrated,decoupling,0.01,0.0033333333333333335,0.2638031840324402,3068,3077,0.0003248862897985705,True,979,9
2,episode,v82_integrated,decoupling,0.02,0.006666666666666667,0.22324979305267334,3058,3077,0.0003248862897985705,True,979,19
2,episode,v82_integrated,decoupling,0.05,0.016666666666666666,0.11543090641498566,3027,3077,0.0003248862897985705,True,979,50
2,task_init,dynamics_only,decoupling,0.005,0.0025,inf,399,398,0.002506265664160401,False,115,0
2,task_init,dynamics_only,decoupling,0.01,0.005,0.3217422068119049,398,398,0.002506265664160401,True,115,0
2,task_init,dynamics_only,decoupling,0.02,0.01,0.30717572569847107,396,398,0.002506265664160401,True,115,2
2,task_init,dynamics_only,decoupling,0.05,0.025,0.20089036226272583,390,398,0.002506265664160401,True,115,8
2,task_init,v82_integrated,decoupling,0.005,0.0016666666666666668,inf,399,398,0.002506265664160401,False,115,0
2,task_init,v82_integrated,decoupling,0.01,0.0033333333333333335,0.3217422068119049,398,398,0.002506265664160401,True,115,0
2,task_init,v82_integrated,decoupling,0.02,0.006666666666666667,0.3072737753391266,397,398,0.002506265664160401,True,115,1
2,task_init,v82_integrated,decoupling,0.05,0.016666666666666666,0.28204983472824097,393,398,0.002506265664160401,True,115,5
3,episode,v82_reference,v82,0.005,0.005,4.99656343460083,3082,3096,0.00032289312237649337,True,0,14
3,episode,v82_reference,v82,0.01,0.01,4.592135906219482,3067,3096,0.00032289312237649337,True,0,29
3,episode,v82_reference,v82,0.02,0.02,4.0895915031433105,3036,3096,0.00032289312237649337,True,0,60
3,episode,v82_reference,v82,0.05,0.05,3.59740948677063,2943,3096,0.00032289312237649337,True,0,153
3,episode,v82_integrated,v82,0.005,0.0016666666666666668,6.79483699798584,3092,3096,0.00032289312237649337,True,0,4
3,episode,v82_integrated,v82,0.01,0.0033333333333333335,6.182705402374268,3087,3096,0.00032289312237649337,True,0,9
3,episode,v82_integrated,v82,0.02,0.006666666666666667,4.814697742462158,3077,3096,0.00032289312237649337,True,0,19
3,episode,v82_integrated,v82,0.05,0.016666666666666666,4.2062602043151855,3046,3096,0.00032289312237649337,True,0,50
3,task_init,v82_reference,v82,0.005,0.005,8.429646492004395,399,400,0.0024937655860349127,True,0,1
3,task_init,v82_reference,v82,0.01,0.01,6.9895782470703125,397,400,0.0024937655860349127,True,0,3
3,task_init,v82_reference,v82,0.02,0.02,6.264837265014648,393,400,0.0024937655860349127,True,0,7
3,task_init,v82_reference,v82,0.05,0.05,4.6361260414123535,381,400,0.0024937655860349127,True,0,19
3,task_init,v82_integrated,v82,0.005,0.0016666666666666668,inf,401,400,0.0024937655860349127,False,0,0
3,task_init,v82_integrated,v82,0.01,0.0033333333333333335,9.660274505615234,400,400,0.0024937655860349127,True,0,0
3,task_init,v82_integrated,v82,0.02,0.006666666666666667,8.429646492004395,399,400,0.0024937655860349127,True,0,1
3,task_init,v82_integrated,v82,0.05,0.016666666666666666,6.673177242279053,395,400,0.0024937655860349127,True,0,5
3,episode,dynamics_only,acceleration,0.005,0.0025,0.356181800365448,3090,3096,0.00032289312237649337,True,229,6
3,episode,dynamics_only,acceleration,0.01,0.005,0.33156704902648926,3082,3096,0.00032289312237649337,True,229,14
3,episode,dynamics_only,acceleration,0.02,0.01,0.3041436970233917,3067,3096,0.00032289312237649337,True,229,29
3,episode,dynamics_only,acceleration,0.05,0.025,0.26466891169548035,3020,3096,0.00032289312237649337,True,229,76
3,episode,v82_integrated,acceleration,0.005,0.0016666666666666668,0.3664453327655792,3092,3096,0.00032289312237649337,True,229,4
3,episode,v82_integrated,acceleration,0.01,0.0033333333333333335,0.3479062616825104,3087,3096,0.00032289312237649337,True,229,9
3,episode,v82_integrated,acceleration,0.02,0.006666666666666667,0.3189467787742615,3077,3096,0.00032289312237649337,True,229,19
3,episode,v82_integrated,acceleration,0.05,0.016666666666666666,0.28172385692596436,3046,3096,0.00032289312237649337,True,229,50
3,task_init,dynamics_only,acceleration,0.005,0.0025,0.4122127592563629,400,400,0.0024937655860349127,True,26,0
3,task_init,dynamics_only,acceleration,0.01,0.005,0.37427762150764465,399,400,0.0024937655860349127,True,26,1
3,task_init,dynamics_only,acceleration,0.02,0.01,0.3664453327655792,397,400,0.0024937655860349127,True,26,3
3,task_init,dynamics_only,acceleration,0.05,0.025,0.3306322395801544,391,400,0.0024937655860349127,True,26,9
3,task_init,v82_integrated,acceleration,0.005,0.0016666666666666668,inf,401,400,0.0024937655860349127,False,26,0
3,task_init,v82_integrated,acceleration,0.01,0.0033333333333333335,0.4122127592563629,400,400,0.0024937655860349127,True,26,0
3,task_init,v82_integrated,acceleration,0.02,0.006666666666666667,0.37427762150764465,399,400,0.0024937655860349127,True,26,1
3,task_init,v82_integrated,acceleration,0.05,0.016666666666666666,0.35240739583969116,395,400,0.0024937655860349127,True,26,5
