calibration,alpha,method,query,tp,fp,recall,fpr
original,,v82_frozen,0,0,0,0.0,0.0
original,,v82_frozen,1,0,0,0.0,0.0
original,,v82_frozen,2,0,0,0.0,0.0
original,,v82_frozen,3,0,0,0.0,0.0
original,,v82_frozen,4,0,0,0.0,0.0
original,,v82_frozen,5,0,0,0.0,0.0
original,,v82_frozen,6,0,0,0.0,0.0
original,,v82_frozen,7,0,1,0.0,6.47836227001814e-05
original,,v82_frozen,8,7,1,0.012411347517730497,6.47836227001814e-05
original,,v82_frozen,9,10,2,0.01773049645390071,0.0001295672454003628
original,,v82_frozen,10,17,3,0.030141843971631204,0.00019435086810054417
original,,v82_frozen,11,23,6,0.040780141843971635,0.00038870173620108835
original,,v82_frozen,12,25,8,0.044326241134751775,0.0005182689816014512
original,,v82_frozen,13,29,12,0.051418439716312055,0.0007774034724021767
original,,v82_frozen,14,48,14,0.0851063829787234,0.0009069707178025395
original,,v82_frozen,15,64,14,0.11347517730496454,0.0009069707178025395
original,,v82_frozen,16,90,18,0.1595744680851064,0.001166105208603265
original,,v82_frozen,17,107,22,0.18971631205673758,0.0014252396994039907
original,,v82_frozen,18,133,27,0.23581560283687944,0.0017491578129048976
original,,v82_frozen,19,165,35,0.2925531914893617,0.0022674267945063486
original,,v82_frozen,20,189,42,0.3351063829787234,0.0027209121534076184
original,,v82_frozen,21,214,54,0.37943262411347517,0.003498315625809795
original,,v82_frozen,22,218,61,0.38652482269503546,0.003951800984711065
original,,v82_frozen,23,223,65,0.3953900709219858,0.00421093547551179
original,,v82_frozen,24,242,71,0.42907801418439717,0.004599637211712879
original,,v82_frozen,25,260,73,0.46099290780141844,0.004729204457113242
original,,v82_frozen,26,269,76,0.4769503546099291,0.004923555325213786
original,,v82_frozen,27,273,77,0.48404255319148937,0.004988338947913967
original,,v82_frozen,28,281,79,0.49822695035460995,0.00511790619331433
original,,v82_frozen,29,294,79,0.5212765957446809,0.00511790619331433
original,,v82_frozen,30,314,81,0.5567375886524822,0.005247473438714693
original,,v82_frozen,31,342,88,0.6063829787234043,0.005700958797615963
original,,v82_frozen,32,375,91,0.6648936170212766,0.005895309665716507
original,,v82_frozen,33,400,92,0.7092198581560284,0.005960093288416689
original,,v82_frozen,34,411,93,0.7287234042553191,0.00602487691111687
original,,v82_frozen,35,422,94,0.74822695035461,0.006089660533817051
original,,v82_frozen,36,429,95,0.7606382978723404,0.006154444156517233
original,,v82_frozen,37,431,96,0.7641843971631206,0.006219227779217414
original,,v82_frozen,38,434,97,0.7695035460992907,0.0062840114019175955
original,,v82_frozen,39,441,99,0.7819148936170213,0.006413578647317958
original,,v82_frozen,40,448,99,0.7943262411347518,0.006413578647317958
original,,v82_frozen,41,452,99,0.8014184397163121,0.006413578647317958
original,,v82_frozen,42,458,99,0.8120567375886525,0.006413578647317958
original,,v82_frozen,43,462,99,0.8191489361702128,0.006413578647317958
original,,v82_frozen,44,466,99,0.8262411347517731,0.006413578647317958
original,,v82_frozen,45,466,99,0.8262411347517731,0.006413578647317958
original,,v82_frozen,46,467,99,0.8280141843971631,0.006413578647317958
original,,v82_frozen,47,470,99,0.8333333333333334,0.006413578647317958
original,,v82_frozen,48,473,99,0.8386524822695035,0.006413578647317958
original,,v82_frozen,49,474,99,0.8404255319148937,0.006413578647317958
original,,v82_frozen,50,475,99,0.8421985815602837,0.006413578647317958
original,,v82_frozen,51,475,99,0.8421985815602837,0.006413578647317958
episode,0.005,v82_reference,0,0,0,0.0,0.0
episode,0.005,v82_reference,1,0,0,0.0,0.0
episode,0.005,v82_reference,2,0,0,0.0,0.0
episode,0.005,v82_reference,3,0,0,0.0,0.0
episode,0.005,v82_reference,4,0,0,0.0,0.0
episode,0.005,v82_reference,5,0,0,0.0,0.0
episode,0.005,v82_reference,6,0,0,0.0,0.0
episode,0.005,v82_reference,7,0,1,0.0,6.47836227001814e-05
episode,0.005,v82_reference,8,7,1,0.012411347517730497,6.47836227001814e-05
episode,0.005,v82_reference,9,11,1,0.01950354609929078,6.47836227001814e-05
episode,0.005,v82_reference,10,14,3,0.024822695035460994,0.00019435086810054417
episode,0.005,v82_reference,11,19,3,0.03368794326241135,0.00019435086810054417
episode,0.005,v82_reference,12,20,6,0.03546099290780142,0.00038870173620108835
episode,0.005,v82_reference,13,23,15,0.040780141843971635,0.0009717543405027209
episode,0.005,v82_reference,14,39,17,0.06914893617021277,0.0011013215859030838
episode,0.005,v82_reference,15,54,17,0.09574468085106383,0.0011013215859030838
episode,0.005,v82_reference,16,64,20,0.11347517730496454,0.001295672454003628
episode,0.005,v82_reference,17,78,23,0.13829787234042554,0.0014900233221041722
episode,0.005,v82_reference,18,92,28,0.16312056737588654,0.001813941435605079
episode,0.005,v82_reference,19,123,33,0.21808510638297873,0.002137859549105986
episode,0.005,v82_reference,20,139,39,0.24645390070921985,0.0025265612853070745
episode,0.005,v82_reference,21,162,43,0.2872340425531915,0.0027856957761078
episode,0.005,v82_reference,22,167,51,0.29609929078014185,0.003303964757709251
episode,0.005,v82_reference,23,174,54,0.30851063829787234,0.003498315625809795
episode,0.005,v82_reference,24,192,59,0.3404255319148936,0.0038222337393107025
episode,0.005,v82_reference,25,206,60,0.36524822695035464,0.0038870173620108835
episode,0.005,v82_reference,26,213,61,0.3776595744680851,0.003951800984711065
episode,0.005,v82_reference,27,215,61,0.38120567375886527,0.003951800984711065
episode,0.005,v82_reference,28,220,62,0.3900709219858156,0.004016584607411246
episode,0.005,v82_reference,29,233,63,0.41312056737588654,0.0040813682301114275
episode,0.005,v82_reference,30,251,64,0.4450354609929078,0.004146151852811609
episode,0.005,v82_reference,31,275,68,0.4875886524822695,0.004405286343612335
episode,0.005,v82_reference,32,308,71,0.5460992907801419,0.004599637211712879
episode,0.005,v82_reference,33,327,74,0.5797872340425532,0.004793988079813423
episode,0.005,v82_reference,34,340,74,0.6028368794326241,0.004793988079813423
episode,0.005,v82_reference,35,351,75,0.6223404255319149,0.004858771702513604
episode,0.005,v82_reference,36,356,76,0.6312056737588653,0.004923555325213786
episode,0.005,v82_reference,37,359,76,0.6365248226950354,0.004923555325213786
episode,0.005,v82_reference,38,359,76,0.6365248226950354,0.004923555325213786
episode,0.005,v82_reference,39,362,76,0.6418439716312057,0.004923555325213786
episode,0.005,v82_reference,40,366,76,0.648936170212766,0.004923555325213786
episode,0.005,v82_reference,41,369,76,0.6542553191489362,0.004923555325213786
episode,0.005,v82_reference,42,370,76,0.6560283687943262,0.004923555325213786
episode,0.005,v82_reference,43,374,76,0.6631205673758865,0.004923555325213786
episode,0.005,v82_reference,44,375,76,0.6648936170212766,0.004923555325213786
episode,0.005,v82_reference,45,376,76,0.6666666666666666,0.004923555325213786
episode,0.005,v82_reference,46,378,76,0.6702127659574468,0.004923555325213786
episode,0.005,v82_reference,47,381,76,0.675531914893617,0.004923555325213786
episode,0.005,v82_reference,48,384,76,0.6808510638297872,0.004923555325213786
episode,0.005,v82_reference,49,386,76,0.6843971631205674,0.004923555325213786
episode,0.005,v82_reference,50,389,76,0.6897163120567376,0.004923555325213786
episode,0.005,v82_reference,51,392,76,0.6950354609929078,0.004923555325213786
episode,0.005,dynamics_only,0,0,0,0.0,0.0
episode,0.005,dynamics_only,1,0,0,0.0,0.0
episode,0.005,dynamics_only,2,0,0,0.0,0.0
episode,0.005,dynamics_only,3,0,0,0.0,0.0
episode,0.005,dynamics_only,4,0,0,0.0,0.0
episode,0.005,dynamics_only,5,0,0,0.0,0.0
episode,0.005,dynamics_only,6,0,0,0.0,0.0
episode,0.005,dynamics_only,7,0,0,0.0,0.0
episode,0.005,dynamics_only,8,0,1,0.0,6.47836227001814e-05
episode,0.005,dynamics_only,9,0,2,0.0,0.0001295672454003628
episode,0.005,dynamics_only,10,0,2,0.0,0.0001295672454003628
episode,0.005,dynamics_only,11,1,2,0.0017730496453900709,0.0001295672454003628
episode,0.005,dynamics_only,12,5,4,0.008865248226950355,0.0002591344908007256
episode,0.005,dynamics_only,13,8,5,0.014184397163120567,0.000323918113500907
episode,0.005,dynamics_only,14,9,7,0.015957446808510637,0.00045348535890126976
episode,0.005,dynamics_only,15,12,9,0.02127659574468085,0.0005830526043016325
episode,0.005,dynamics_only,16,13,10,0.02304964539007092,0.000647836227001814
episode,0.005,dynamics_only,17,17,14,0.030141843971631204,0.0009069707178025395
episode,0.005,dynamics_only,18,23,16,0.040780141843971635,0.0010365379632029023
episode,0.005,dynamics_only,19,31,20,0.0549645390070922,0.001295672454003628
episode,0.005,dynamics_only,20,39,26,0.06914893617021277,0.0016843741902047163
episode,0.005,dynamics_only,21,50,33,0.08865248226950355,0.002137859549105986
episode,0.005,dynamics_only,22,53,38,0.09397163120567376,0.002461777662606893
episode,0.005,dynamics_only,23,55,40,0.0975177304964539,0.002591344908007256
episode,0.005,dynamics_only,24,62,41,0.1099290780141844,0.002656128530707437
episode,0.005,dynamics_only,25,66,47,0.11702127659574468,0.0030448302669085253
episode,0.005,dynamics_only,26,70,52,0.12411347517730496,0.0033687483804094327
episode,0.005,dynamics_only,27,75,53,0.13297872340425532,0.0034335320031096137
episode,0.005,dynamics_only,28,78,55,0.13829787234042554,0.0035630992485099766
episode,0.005,dynamics_only,29,80,55,0.14184397163120568,0.0035630992485099766
episode,0.005,dynamics_only,30,81,57,0.14361702127659576,0.0036926664939103395
episode,0.005,dynamics_only,31,84,58,0.14893617021276595,0.003757450116610521
episode,0.005,dynamics_only,32,88,58,0.15602836879432624,0.003757450116610521
episode,0.005,dynamics_only,33,90,58,0.1595744680851064,0.003757450116610521
episode,0.005,dynamics_only,34,92,59,0.16312056737588654,0.0038222337393107025
episode,0.005,dynamics_only,35,94,59,0.16666666666666666,0.0038222337393107025
episode,0.005,dynamics_only,36,96,59,0.1702127659574468,0.0038222337393107025
episode,0.005,dynamics_only,37,99,60,0.17553191489361702,0.0038870173620108835
episode,0.005,dynamics_only,38,99,60,0.17553191489361702,0.0038870173620108835
episode,0.005,dynamics_only,39,102,60,0.18085106382978725,0.0038870173620108835
episode,0.005,dynamics_only,40,104,60,0.18439716312056736,0.0038870173620108835
episode,0.005,dynamics_only,41,106,60,0.1879432624113475,0.0038870173620108835
episode,0.005,dynamics_only,42,106,60,0.1879432624113475,0.0038870173620108835
episode,0.005,dynamics_only,43,108,60,0.19148936170212766,0.0038870173620108835
episode,0.005,dynamics_only,44,110,60,0.1950354609929078,0.0038870173620108835
episode,0.005,dynamics_only,45,111,60,0.19680851063829788,0.0038870173620108835
episode,0.005,dynamics_only,46,114,60,0.20212765957446807,0.0038870173620108835
episode,0.005,dynamics_only,47,114,60,0.20212765957446807,0.0038870173620108835
episode,0.005,dynamics_only,48,116,60,0.20567375886524822,0.0038870173620108835
episode,0.005,dynamics_only,49,119,60,0.21099290780141844,0.0038870173620108835
episode,0.005,dynamics_only,50,122,60,0.21631205673758866,0.0038870173620108835
episode,0.005,dynamics_only,51,122,60,0.21631205673758866,0.0038870173620108835
episode,0.005,v82_integrated,0,0,0,0.0,0.0
episode,0.005,v82_integrated,1,0,0,0.0,0.0
episode,0.005,v82_integrated,2,0,0,0.0,0.0
episode,0.005,v82_integrated,3,0,0,0.0,0.0
episode,0.005,v82_integrated,4,0,0,0.0,0.0
episode,0.005,v82_integrated,5,0,0,0.0,0.0
episode,0.005,v82_integrated,6,0,0,0.0,0.0
episode,0.005,v82_integrated,7,0,0,0.0,0.0
episode,0.005,v82_integrated,8,0,0,0.0,0.0
episode,0.005,v82_integrated,9,5,1,0.008865248226950355,6.47836227001814e-05
episode,0.005,v82_integrated,10,11,2,0.01950354609929078,0.0001295672454003628
episode,0.005,v82_integrated,11,15,2,0.026595744680851064,0.0001295672454003628
