direction,scope,rule,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007_to_seed1008_1015,heldout,combined,3200,125,87,84,38,2991,0.5087719298245614,0.696,0.027317073170731707
seed1000_1007_to_seed1008_1015,heldout,lock_in,3200,125,88,93,37,2982,0.4861878453038674,0.704,0.03024390243902439
seed1000_1007_to_seed1008_1015,heldout,instability,3200,125,6,24,119,3051,0.2,0.048,0.007804878048780488
seed1000_1007_to_seed1008_1015,heldout,state_action_decoupling,3200,125,2,14,123,3061,0.125,0.016,0.0045528455284552845
seed1000_1007_to_seed1008_1015,all_target,combined,16000,564,312,564,252,14872,0.3561643835616438,0.5531914893617021,0.036537963202902306
seed1000_1007_to_seed1008_1015,all_target,lock_in,16000,564,324,408,240,15028,0.4426229508196721,0.574468085106383,0.02643171806167401
seed1000_1007_to_seed1008_1015,all_target,instability,16000,564,34,106,530,15330,0.24285714285714285,0.06028368794326241,0.006867064006219227
seed1000_1007_to_seed1008_1015,all_target,state_action_decoupling,16000,564,18,407,546,15029,0.042352941176470586,0.031914893617021274,0.026366934438973828
seed1000_1007_to_seed1008_1015,heldout,prefrozen_clock,3200,125,48,0,77,3075,1.0,0.384,0.0
seed1000_1007_to_seed1008_1015,heldout,posthoc_fp_bounded_clock,3200,125,83,69,42,3006,0.5460526315789473,0.664,0.0224390243902439
seed1008_1015_to_seed1000_1007,heldout,combined,3200,114,69,50,45,3036,0.5798319327731093,0.6052631578947368,0.016202203499675955
seed1008_1015_to_seed1000_1007,heldout,lock_in,3200,114,71,78,43,3008,0.47651006711409394,0.6228070175438597,0.025275437459494492
seed1008_1015_to_seed1000_1007,heldout,instability,3200,114,10,31,104,3055,0.24390243902439024,0.08771929824561403,0.010045366169799093
seed1008_1015_to_seed1000_1007,heldout,state_action_decoupling,3200,114,0,10,114,3076,0.0,0.0,0.0032404406999351912
seed1008_1015_to_seed1000_1007,all_target,combined,16000,532,264,374,268,15094,0.41379310344827586,0.49624060150375937,0.024178950090509438
seed1008_1015_to_seed1000_1007,all_target,lock_in,16000,532,284,352,248,15116,0.44654088050314467,0.5338345864661654,0.022756658908714766
seed1008_1015_to_seed1000_1007,all_target,instability,16000,532,45,111,487,15357,0.28846153846153844,0.08458646616541353,0.0071761055081458495
seed1008_1015_to_seed1000_1007,all_target,state_action_decoupling,16000,532,9,279,523,15189,0.03125,0.016917293233082706,0.01803723816912335
seed1008_1015_to_seed1000_1007,heldout,prefrozen_clock,3200,114,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
seed1008_1015_to_seed1000_1007,heldout,posthoc_fp_bounded_clock,3200,114,79,41,35,3045,0.6583333333333333,0.6929824561403509,0.013285806869734284
