window,layer_group,confirmations,quantile,threshold_mode,ratio_threshold,eps_length,tp,fp,recall,precision,timely_fpr,low_prior_tp,low_prior_fp,low_prior_precision
2,all,1,0.005,global,0.19438546895980835,0.037638433277606964,63,14,0.1293634496919918,0.8181818181818182,0.000978131768322504,17,14,0.5483870967741935
2,all,1,0.01,global,0.22131484746932983,0.037638433277606964,122,26,0.25051334702258726,0.8243243243243243,0.0018165304268846503,17,22,0.4358974358974359
2,all,1,0.025,global,0.2748580873012543,0.037638433277606964,168,204,0.34496919917864477,0.45161290322580644,0.014252777195556487,21,194,0.09767441860465116
2,all,1,0.05,global,0.3971015214920044,0.037638433277606964,240,514,0.4928131416837782,0.3183023872679045,0.03591140920841193,42,499,0.07763401109057301
2,all,1,0.075,global,0.4172552525997162,0.037638433277606964,259,855,0.5318275154004107,0.2324955116696589,0.05973590442255292,58,836,0.06487695749440715
2,all,1,0.1,global,0.4279814660549164,0.037638433277606964,269,1183,0.5523613963039015,0.18526170798898073,0.08265213442325159,66,1158,0.05392156862745098
2,all,1,0.15,global,0.44253185391426086,0.037638433277606964,294,1872,0.6036960985626283,0.13573407202216067,0.1307901907356948,103,1847,0.05282051282051282
2,all,1,0.2,global,0.45130491256713867,0.037638433277606964,312,2558,0.6406570841889117,0.10871080139372823,0.17871864738349752,128,2531,0.04813839789394509
2,all,2,0.005,global,0.23030468821525574,0.037638433277606964,70,2,0.1437371663244353,0.9722222222222222,0.00013973310976035772,9,1,0.9
2,all,2,0.01,global,0.2548123002052307,0.037638433277606964,128,11,0.26283367556468173,0.920863309352518,0.0007685321036819675,11,3,0.7857142857142857
2,all,2,0.025,global,0.47590574622154236,0.037638433277606964,209,147,0.42915811088295686,0.5870786516853933,0.010270383567386292,29,133,0.17901234567901234
2,all,2,0.05,global,0.493735134601593,0.037638433277606964,230,476,0.4722792607802875,0.32577903682719545,0.033256480122965136,37,462,0.07414829659318638
2,all,2,0.075,global,0.5001301765441895,0.037638433277606964,244,817,0.5010266940451745,0.2299717247879359,0.05708097533710613,48,801,0.05653710247349823
2,all,2,0.1,global,0.504683256149292,0.037638433277606964,254,1163,0.5215605749486653,0.17925194071983064,0.08125480332564801,52,1145,0.04344193817878028
2,all,2,0.15,global,0.5107652544975281,0.037638433277606964,267,1862,0.5482546201232033,0.12541099107562237,0.13009152518689304,57,1845,0.02996845425867508
2,all,2,0.2,global,0.515820324420929,0.037638433277606964,280,2556,0.5749486652977412,0.09873060648801128,0.17857891427373715,68,2538,0.026093630084420567
2,all,3,0.005,global,0.2429593801498413,0.037638433277606964,67,2,0.1375770020533881,0.9710144927536232,0.00013973310976035772,7,0,1.0
2,all,3,0.01,global,0.38944754004478455,0.037638433277606964,122,20,0.25051334702258726,0.8591549295774648,0.0013973310976035773,8,12,0.4
2,all,3,0.025,global,0.5120965242385864,0.037638433277606964,190,167,0.39014373716632444,0.5322128851540616,0.01166771466498987,21,155,0.11931818181818182
2,all,3,0.05,global,0.524054229259491,0.037638433277606964,213,528,0.43737166324435317,0.2874493927125506,0.036889540976734435,35,514,0.06375227686703097
2,all,3,0.075,global,0.5303689241409302,0.037638433277606964,232,889,0.47638603696098564,0.20695807314897413,0.062111367288479005,47,872,0.051142546245919476
2,all,3,0.1,global,0.5350052714347839,0.037638433277606964,245,1261,0.5030800821355236,0.16268260292164674,0.08810172570390554,58,1242,0.04461538461538461
2,all,3,0.15,global,0.541284441947937,0.037638433277606964,259,1983,0.5318275154004107,0.11552185548617305,0.13854537832739466,71,1964,0.03488943488943489
2,all,3,0.2,global,0.5463593006134033,0.037638433277606964,276,2705,0.5667351129363449,0.09258638040925864,0.18898903095088382,88,2684,0.031746031746031744
2,all,4,0.005,global,0.24871845543384552,0.037638433277606964,68,1,0.13963039014373715,0.9855072463768116,6.986655488017886e-05,5,0,1.0
2,all,4,0.01,global,0.4895491600036621,0.037638433277606964,128,6,0.26283367556468173,0.9552238805970149,0.00041919932928107315,9,0,1.0
2,all,4,0.025,global,0.5340361595153809,0.037638433277606964,181,180,0.37166324435318276,0.5013850415512465,0.012575979878432194,21,170,0.1099476439790576
2,all,4,0.05,global,0.5445971488952637,0.037638433277606964,195,556,0.4004106776180698,0.2596537949400799,0.03884580451337945,29,544,0.0506108202443281
2,all,4,0.075,global,0.5506370067596436,0.037638433277606964,202,938,0.41478439425051333,0.17719298245614035,0.06553482847760778,36,924,0.0375
2,all,4,0.1,global,0.5546417236328125,0.037638433277606964,221,1302,0.4537987679671458,0.14510833880499016,0.09096625445399287,43,1287,0.032330827067669175
2,all,4,0.15,global,0.5608202219009399,0.037638433277606964,245,2033,0.5030800821355236,0.10755048287971905,0.14203870607140362,60,2018,0.028873917228103944
2,all,4,0.2,global,0.5656388998031616,0.037638433277606964,267,2784,0.5482546201232033,0.08751229105211406,0.19450848878641794,82,2762,0.028832630098452883
2,all,6,0.005,global,0.25598159432411194,0.037638433277606964,69,0,0.14168377823408623,1.0,0.0,1,0,1.0
2,all,6,0.01,global,0.5386505722999573,0.037638433277606964,124,8,0.2546201232032854,0.9393939393939394,0.0005589324390414309,4,5,0.4444444444444444
2,all,6,0.025,global,0.5606050491333008,0.037638433277606964,159,208,0.3264887063655031,0.4332425068119891,0.014532243415077202,16,203,0.0730593607305936
2,all,6,0.05,global,0.5699095129966736,0.037638433277606964,188,568,0.3860369609856263,0.24867724867724866,0.039684203171941594,41,560,0.06821963394342762
2,all,6,0.075,global,0.5756124258041382,0.037638433277606964,207,934,0.42505133470225875,0.18141980718667836,0.06525536225808705,54,923,0.05527123848515865
2,all,6,0.1,global,0.5796990990638733,0.037638433277606964,219,1298,0.44969199178644764,0.14436387607119314,0.09068678823447215,64,1283,0.047512991833704527
2,all,6,0.15,global,0.5859795808792114,0.037638433277606964,241,2028,0.4948665297741273,0.10621419127368885,0.14168937329700274,85,2007,0.04063097514340344
2,all,6,0.2,global,0.5905290842056274,0.037638433277606964,260,2753,0.5338809034907598,0.08629273149684699,0.1923426255851324,103,2723,0.03644727530077849
2,back,1,0.005,global,0.0,0.037638433277606964,0,0,0.0,,0.0,0,0,
2,back,1,0.01,global,0.0,0.037638433277606964,0,0,0.0,,0.0,0,0,
2,back,1,0.025,global,0.38602375984191895,0.037638433277606964,248,108,0.5092402464065708,0.6966292134831461,0.007545587927059317,37,90,0.29133858267716534
