feature,weighted_auc,cells,rows
mobility_L2,0.7073628747899156,65,20849
mobility_L14,0.6938677133384934,65,20849
L2_front,0.6900431438458101,65,20849
L2_all,0.6892971260386072,65,20849
mobility_L5,0.6884101114367015,65,20849
mobility_L4,0.6855159694451103,65,20849
mobility_L15,0.6837320394957211,65,20849
mobility_L12,0.6679304020548668,65,20849
mobility_L3,0.6643753528643629,65,20849
L2_back,0.663616318526346,65,20849
mobility_L13,0.641627336799644,65,20849
R2_all,0.3739229497878791,65,20849
R2_back,0.37676477240244194,65,20849
R2_front,0.3903952164348146,65,20849
entropy_L12,0.3936001784295158,65,20849
entropy_L14,0.3965545715809082,65,20849
entropy_L15,0.4462049745786225,65,20849
entropy_L4,0.541431915151939,65,20849
entropy_L13,0.47641249470267305,65,20849
entropy_L2,0.5150670355195727,65,20849
entropy_L3,0.5111011951866727,65,20849
entropy_L5,0.49309554363300534,65,20849
