run,run_id,task,episodes,route_queries,successes,failures,probability_sum_max_abs_error,ok,problems
seed1000_1007,right-50x8-20260903,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10993,387,13,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,10162,394,6,0.000152587890625,True,
seed1000_1007,right-50x8-20260903,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,9699,383,17,0.00024127960205078125,True,
seed1000_1007,right-50x8-20260903,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,10660,357,43,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,7689,392,8,0.000270843505859375,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,5763,397,3,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,5641,389,11,0.0001678466796875,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,6143,398,2,0.000232696533203125,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,6052,400,0,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,5345,395,5,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,5739,400,0,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,5566,392,8,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5169,397,3,0.0001678466796875,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,5050,399,1,0.0001678466796875,True,
seed1000_1007,right-50x8-20260903,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,5609,396,4,0.00018310546875,True,
