run,task,episode,metric,values_compared,max_abs_difference,mean_abs_difference
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,convergence_raw,9,8.334436784729338e-05,6.538384909506496e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,state_jump,8,1.1204350122695494e-07,6.739644519901389e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,action_jump,8,9.685604529116598e-06,4.2136007645801e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,response_raw,8,9.728105131390219e-06,4.23261137408662e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,recurrence_raw,8,1.228861556956673e-07,3.9987604727453885e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,evidence_convergence,5,3.595231482433903e-05,2.9628338880161032e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,evidence_response,5,1.3996544764666163e-05,7.877258211291815e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,0,evidence_recurrence,5,7.294575843364015e-08,4.078173918564687e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,convergence_raw,9,0.0001673341664953365,8.259085696477042e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,state_jump,8,1.6697372516583098e-07,5.466027049906563e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,action_jump,8,1.3448276077458743e-05,4.603352141720673e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,response_raw,8,1.3420093419092005e-05,4.5782375903379025e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,recurrence_raw,8,8.670623663498134e-08,4.296900746325605e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,evidence_convergence,5,3.0096559052283922e-05,2.0391093686900064e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,evidence_response,5,1.5121842614485015e-05,8.316956399961883e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,133,evidence_recurrence,5,1.1495316298848479e-07,4.13590988568302e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,convergence_raw,9,0.00013019739221448168,7.523793229145352e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,state_jump,8,4.614751250575644e-08,2.2315932716315823e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,action_jump,8,1.98305319664277e-05,7.2300134224768855e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,response_raw,8,1.9823937715879314e-05,7.223559911055666e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,recurrence_raw,8,1.0750311718599193e-07,5.2279802889576565e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,evidence_convergence,5,7.654215976360401e-05,5.2185216408529025e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,evidence_response,5,1.5232145126498065e-05,1.0089394494056102e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,266,evidence_recurrence,5,1.5197782143872018e-07,7.240283728116026e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,convergence_raw,9,0.00013239660208874682,8.594540610608788e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,state_jump,8,1.2283759120990112e-07,5.556081783542055e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,action_jump,8,1.2228159150907275e-05,7.071638202793768e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,response_raw,8,1.2237608255860621e-05,7.020608819678642e-06
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,recurrence_raw,8,6.740011426753512e-08,3.423649883038671e-08
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,evidence_convergence,5,7.557604387020689e-05,5.068684339888385e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,evidence_response,5,2.0263250834429147e-05,1.431113133959494e-05
seed1000_1007,libero_goal/put_the_bowl_on_the_stove,399,evidence_recurrence,5,8.833859221901719e-08,4.597265514938442e-08
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,convergence_raw,22,8.964698433155949e-05,3.984364607548e-05
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,state_jump,21,1.869557055417248e-07,5.999332023889782e-08
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,action_jump,21,2.3132926693647526e-05,7.062129520910258e-06
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,response_raw,21,2.3055280258393873e-05,7.033703525554155e-06
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,recurrence_raw,21,9.116851695800676e-08,3.9012319057769266e-08
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,evidence_convergence,18,6.403539725297058e-05,2.595728042992857e-05
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,evidence_response,18,3.3295673598623954e-05,1.3306660178465102e-05
seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0,evidence_recurrence,18,7.63215746157897e-08,4.237604031256639e-08
