corpus,event,lead,score,auc_event_high,events,pairs
main16x32,loop,-8,predeclared_loop,0.5370237239396118,98,1391
main16x32,loop,-8,predeclared_static,0.46877673224978617,89,1169
main16x32,loop,-8,discovery_full_loop,0.5240833932422717,98,1391
main16x32,loop,-8,discovery_full_static,0.47924187725631767,87,1108
main16x32,loop,-8,discovery_history_loop,0.4747292418772563,87,1108
main16x32,loop,-8,discovery_history_static,0.47924187725631767,87,1108
main16x32,loop,-6,predeclared_loop,0.4480440097799511,116,1636
main16x32,loop,-6,predeclared_static,0.6035015447991761,89,971
main16x32,loop,-6,discovery_full_loop,0.5385085574572127,116,1636
main16x32,loop,-6,discovery_full_static,0.48300720906282185,89,971
main16x32,loop,-6,discovery_history_loop,0.5777548918640577,89,971
main16x32,loop,-6,discovery_history_static,0.48300720906282185,89,971
main16x32,loop,-4,predeclared_loop,0.5432497978981407,107,1237
main16x32,loop,-4,predeclared_static,0.5777777777777777,91,855
main16x32,loop,-4,discovery_full_loop,0.5448666127728375,107,1237
main16x32,loop,-4,discovery_full_static,0.5804195804195804,80,572
main16x32,loop,-4,discovery_history_loop,0.5559440559440559,80,572
main16x32,loop,-4,discovery_history_static,0.5804195804195804,80,572
main16x32,loop,-2,predeclared_loop,0.6199649737302977,103,1142
main16x32,loop,-2,predeclared_static,0.5070052539404554,103,1142
main16x32,loop,-2,discovery_full_loop,0.7740805604203153,103,1142
main16x32,loop,-2,discovery_full_static,0.5436337625178826,85,699
main16x32,loop,-2,discovery_history_loop,0.7735849056603774,76,477
main16x32,loop,-2,discovery_history_static,0.5436337625178826,85,699
main16x32,loop,0,predeclared_loop,0.6594982078853047,103,1116
main16x32,loop,0,predeclared_static,0.4910394265232975,103,1116
main16x32,loop,0,discovery_full_loop,0.6586021505376344,103,1116
main16x32,loop,0,discovery_full_static,0.4327956989247312,103,1116
main16x32,loop,0,discovery_history_loop,0.6798365122615804,87,734
main16x32,loop,0,discovery_history_static,0.4327956989247312,103,1116
main16x32,static,-8,predeclared_loop,0.536525974025974,126,1232
main16x32,static,-8,predeclared_static,0.7686688311688312,126,1232
main16x32,static,-8,discovery_full_loop,0.4878246753246753,126,1232
main16x32,static,-8,discovery_full_static,0.8506493506493507,126,1232
main16x32,static,-8,discovery_history_loop,0.4212662337662338,126,1232
main16x32,static,-8,discovery_history_static,0.8506493506493507,126,1232
main16x32,static,-6,predeclared_loop,0.6636734693877551,126,1225
main16x32,static,-6,predeclared_static,0.9469387755102041,126,1225
main16x32,static,-6,discovery_full_loop,0.6628571428571428,126,1225
main16x32,static,-6,discovery_full_static,0.9428571428571428,126,1225
main16x32,static,-6,discovery_history_loop,0.6073469387755102,126,1225
main16x32,static,-6,discovery_history_static,0.9428571428571428,126,1225
main16x32,static,-4,predeclared_loop,0.6329331046312179,126,1166
main16x32,static,-4,predeclared_static,0.9545454545454546,126,1166
main16x32,static,-4,discovery_full_loop,0.7830188679245284,126,1166
main16x32,static,-4,discovery_full_static,0.9571183533447685,126,1166
main16x32,static,-4,discovery_history_loop,0.6552315608919383,126,1166
main16x32,static,-4,discovery_history_static,0.9571183533447685,126,1166
main16x32,static,-2,predeclared_loop,0.5785046728971963,126,1070
main16x32,static,-2,predeclared_static,0.9728971962616823,126,1070
main16x32,static,-2,discovery_full_loop,0.7429906542056075,126,1070
main16x32,static,-2,discovery_full_static,0.9775700934579439,126,1070
main16x32,static,-2,discovery_history_loop,0.44018691588785047,126,1070
main16x32,static,-2,discovery_history_static,0.9775700934579439,126,1070
main16x32,static,0,predeclared_loop,0.5343709468223087,126,771
main16x32,static,0,predeclared_static,0.9883268482490273,126,771
main16x32,static,0,discovery_full_loop,0.6627756160830091,126,771
main16x32,static,0,discovery_full_static,0.9922178988326849,126,771
main16x32,static,0,discovery_history_loop,0.31387808041504534,126,771
main16x32,static,0,discovery_history_static,0.9922178988326849,126,771
grid50x8,loop,-8,predeclared_loop,0.5457559681697612,354,1508
grid50x8,loop,-8,predeclared_static,0.4337240757439134,252,1109
grid50x8,loop,-8,discovery_full_loop,0.5663129973474801,354,1508
grid50x8,loop,-8,discovery_full_static,0.4324970131421744,200,837
grid50x8,loop,-8,discovery_history_loop,0.6161202185792349,181,732
grid50x8,loop,-8,discovery_history_static,0.4324970131421744,200,837
grid50x8,loop,-6,predeclared_loop,0.5573286052009456,409,1692
grid50x8,loop,-6,predeclared_static,0.4654867256637168,281,1130
grid50x8,loop,-6,discovery_full_loop,0.5531914893617021,409,1692
grid50x8,loop,-6,discovery_full_static,0.41545893719806765,210,828
grid50x8,loop,-6,discovery_history_loop,0.6328125,199,768
grid50x8,loop,-6,discovery_history_static,0.41545893719806765,210,828
grid50x8,loop,-4,predeclared_loop,0.5905172413793104,360,1392
grid50x8,loop,-4,predeclared_static,0.4555895865237366,342,1306
grid50x8,loop,-4,discovery_full_loop,0.6091954022988506,360,1392
grid50x8,loop,-4,discovery_full_static,0.44550408719346046,205,734
grid50x8,loop,-4,discovery_history_loop,0.6651090342679128,183,642
grid50x8,loop,-4,discovery_history_static,0.44550408719346046,205,734
grid50x8,loop,-2,predeclared_loop,0.6684636118598383,306,1113
grid50x8,loop,-2,predeclared_static,0.4141958670260557,306,1113
grid50x8,loop,-2,discovery_full_loop,0.6729559748427673,306,1113
grid50x8,loop,-2,discovery_full_static,0.3438320209973753,231,762
grid50x8,loop,-2,discovery_history_loop,0.6996336996336996,177,546
grid50x8,loop,-2,discovery_history_static,0.3438320209973753,231,762
grid50x8,loop,0,predeclared_loop,0.7390029325513197,284,1023
grid50x8,loop,0,predeclared_static,0.2825024437927664,284,1023
grid50x8,loop,0,discovery_full_loop,0.7634408602150538,284,1023
grid50x8,loop,0,discovery_full_static,0.22396856581532418,283,1018
grid50x8,loop,0,discovery_history_loop,0.7716115261472786,266,937
grid50x8,loop,0,discovery_history_static,0.22396856581532418,283,1018
grid50x8,static,-8,predeclared_loop,0.5479041916167665,116,334
grid50x8,static,-8,predeclared_static,0.781437125748503,116,334
grid50x8,static,-8,discovery_full_loop,0.47604790419161674,116,334
grid50x8,static,-8,discovery_full_static,0.8087774294670846,111,319
grid50x8,static,-8,discovery_history_loop,0.36990595611285265,111,319
grid50x8,static,-8,discovery_history_static,0.8087774294670846,111,319
grid50x8,static,-6,predeclared_loop,0.625,110,304
grid50x8,static,-6,predeclared_static,0.9375,110,304
grid50x8,static,-6,discovery_full_loop,0.694078947368421,110,304
grid50x8,static,-6,discovery_full_static,0.9078947368421053,110,304
grid50x8,static,-6,discovery_history_loop,0.6655405405405406,106,296
grid50x8,static,-6,discovery_history_static,0.9078947368421053,110,304
grid50x8,static,-4,predeclared_loop,0.6398601398601399,104,286
grid50x8,static,-4,predeclared_static,0.9405594405594405,104,286
grid50x8,static,-4,discovery_full_loop,0.7517482517482518,104,286
grid50x8,static,-4,discovery_full_static,0.9545454545454546,104,286
grid50x8,static,-4,discovery_history_loop,0.6328671328671329,104,286
grid50x8,static,-4,discovery_history_static,0.9545454545454546,104,286
grid50x8,static,-2,predeclared_loop,0.4943820224719101,100,267
grid50x8,static,-2,predeclared_static,0.9550561797752809,100,267
grid50x8,static,-2,discovery_full_loop,0.7303370786516854,100,267
grid50x8,static,-2,discovery_full_static,0.951310861423221,100,267
grid50x8,static,-2,discovery_history_loop,0.44569288389513106,100,267
grid50x8,static,-2,discovery_history_static,0.951310861423221,100,267
grid50x8,static,0,predeclared_loop,0.3869346733668342,92,199
grid50x8,static,0,predeclared_static,0.9095477386934674,92,199
grid50x8,static,0,discovery_full_loop,0.6030150753768844,92,199
grid50x8,static,0,discovery_full_static,0.9346733668341709,92,199
grid50x8,static,0,discovery_history_loop,0.35175879396984927,92,199
grid50x8,static,0,discovery_history_static,0.9346733668341709,92,199
