level,cohort,window,feature,scope,metric,estimate,lo,hi,tasks
same_task_query,A,q7_13,mobility_log_ratio,all,auc,0.5565918318645564,0.5113129316171441,0.6025632752677728,35
same_task_query,A,q7_13,mobility_log_ratio,excluding_S05,auc,0.5633669004753132,0.5201977905104881,0.6065430825722297,34
same_task_query,A,q7_13,mobility_log_ratio,libero_goal,auc,0.5391501855005406,0.45678009428819344,0.6409182392563406,8
same_task_query,A,q7_13,mobility_log_ratio,libero_long,auc,0.3849626364697562,0.2897423450844259,0.4769533628845611,10
same_task_query,A,q7_13,mobility_log_ratio,libero_object,auc,0.754387105367484,0.7041762736180909,0.8112926339203546,8
same_task_query,A,q7_13,mobility_log_ratio,libero_spatial,auc,0.5869766026241909,0.4863123719291449,0.6868268490852708,9
same_task_query,A,q7_13,path_decoupling,all,auc,0.5733102499975862,0.5426923059091622,0.6050851649528266,35
same_task_query,A,q7_13,path_decoupling,excluding_S05,auc,0.5720435707557258,0.5415250095069677,0.6040862995536658,34
same_task_query,A,q7_13,path_decoupling,libero_goal,auc,0.5299389460530662,0.47620595905192037,0.5801090791602006,8
same_task_query,A,q7_13,path_decoupling,libero_long,auc,0.5948500864361447,0.5348917001244716,0.6689525406956024,10
same_task_query,A,q7_13,path_decoupling,libero_object,auc,0.5874516836939965,0.5228874815976448,0.6587939463127174,8
same_task_query,A,q7_13,path_decoupling,libero_spatial,auc,0.5753592052863961,0.5208146267862598,0.636345591055777,9
same_task_query,A,q7_13,persistent_decoupling,all,auc,0.5321719233510582,0.5116423094389813,0.5562599840666098,32
same_task_query,A,q7_13,persistent_decoupling,excluding_S05,auc,0.5332097273301246,0.5116352082719199,0.5569956528912835,31
same_task_query,A,q7_13,persistent_decoupling,libero_goal,auc,0.5261698500790987,0.5,0.5765017400398306,6
same_task_query,A,q7_13,persistent_decoupling,libero_long,auc,0.5690404524681347,0.5126816345763738,0.640483171717847,10
same_task_query,A,q7_13,persistent_decoupling,libero_object,auc,0.5,0.5,0.5,8
same_task_query,A,q7_13,persistent_decoupling,libero_spatial,auc,0.5227597402597403,0.5014204545454546,0.5532165178571428,8
same_task_query,A,q7_13,recent_decoupling,all,auc,0.6504314986114555,0.6049518585116374,0.7036224311039943,32
same_task_query,A,q7_13,recent_decoupling,excluding_S05,auc,0.6500997958016868,0.6006281765457263,0.7022195687214119,31
same_task_query,A,q7_13,recent_decoupling,libero_goal,auc,0.641424704231324,0.5288667975981736,0.7883844785432857,6
same_task_query,A,q7_13,recent_decoupling,libero_long,auc,0.6461817478234104,0.5680048696410893,0.7344241400415408,10
same_task_query,A,q7_13,recent_decoupling,libero_object,auc,0.6421287642985917,0.5529546205293465,0.7330107735877017,8
same_task_query,A,q7_13,recent_decoupling,libero_spatial,auc,0.6708015171944743,0.5668663098040053,0.7801986433554635,8
same_task_query,A,q7_13,token_diversity_contraction,all,auc,0.44236166230615576,0.41490540355618005,0.4704488477568543,35
same_task_query,A,q7_13,token_diversity_contraction,excluding_S05,auc,0.43863782184525807,0.41145240589143295,0.4658388440656578,34
same_task_query,A,q7_13,token_diversity_contraction,libero_goal,auc,0.4949479333139144,0.4589118053981278,0.5316034183300526,8
same_task_query,A,q7_13,token_diversity_contraction,libero_long,auc,0.5147120853262958,0.457489852888015,0.5732389514298757,10
same_task_query,A,q7_13,token_diversity_contraction,libero_object,auc,0.30131355356424483,0.2482333451567538,0.3412511756978638,8
same_task_query,A,q7_13,token_diversity_contraction,libero_spatial,auc,0.44060504804746903,0.37258949405082303,0.5086644521615753,9
same_task_query,B,q7_13,acceleration_log_ratio,all,auc,0.6818453746519002,0.6301280633251456,0.7287182694301408,36
same_task_query,B,q7_13,acceleration_log_ratio,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,acceleration_log_ratio,all,delta,0.08005277149742665,0.031060007594256374,0.13173621021878398,36
same_task_query,B,q7_13,acceleration_log_ratio,excluding_S05,auc,0.6823263381376554,0.628857045348134,0.7316693197301314,35
same_task_query,B,q7_13,acceleration_log_ratio,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
same_task_query,B,q7_13,acceleration_log_ratio,excluding_S05,delta,0.0777249691033739,0.027347500428273077,0.1317957127478002,35
same_task_query,B,q7_13,acceleration_log_ratio,libero_goal,auc,0.5873004399922354,0.422775129295429,0.7110203226246464,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_goal,delta,0.09720499435390603,0.020389477248354014,0.1783933421529406,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_long,auc,0.5917292522026052,0.4959517743325245,0.6979231392017133,10
same_task_query,B,q7_13,acceleration_log_ratio,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,acceleration_log_ratio,libero_long,delta,-0.03124922978880158,-0.13056761108746281,0.07318279116504396,10
same_task_query,B,q7_13,acceleration_log_ratio,libero_object,auc,0.7990262726529664,0.685893662524863,0.8947454836704526,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_object,delta,0.17322276766945377,0.06475591446830443,0.3094301546164756,8
same_task_query,B,q7_13,acceleration_log_ratio,libero_spatial,auc,0.7538527264280737,0.7095315408338548,0.7995636002654397,10
same_task_query,B,q7_13,acceleration_log_ratio,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,acceleration_log_ratio,libero_spatial,delta,0.10309699756084967,0.016051162676127623,0.19381411488214106,10
same_task_query,B,q7_13,decoupling,all,auc,0.5660374051820243,0.5371076457286301,0.5966071341199001,36
same_task_query,B,q7_13,decoupling,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,decoupling,all,delta,-0.035755197972449235,-0.09123207720688815,0.01980284053428059,36
same_task_query,B,q7_13,decoupling,excluding_S05,auc,0.5662735633983023,0.5366874236462746,0.598378451572307,35
same_task_query,B,q7_13,decoupling,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
