cohort,suite,task,feature,auc,v82_auc,delta,queries,first_query,last_query,failure_observations,success_observations,window,level
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,acceleration_log_ratio,0.5232253378805103,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,decoupling,0.5112771567512947,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,decoupling_occupancy,0.5294333001768347,,,4,10,13,208,1392,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,layer_agreement,0.5090706707086018,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,mobility_log_ratio,0.5013183655425034,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,path_decoupling,0.5243305545029683,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,persistent_decoupling,0.5060234305923961,,,4,10,13,208,1392,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,recent_decoupling,0.5343929597701149,,,4,10,13,208,1392,q7_13,same_task_query
A,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,token_diversity_contraction,0.489871479095617,,,7,7,13,364,2436,q7_13,same_task_query
A,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,acceleration_log_ratio,0.808808524729184,,,7,7,13,14,2516,q7_13,same_task_query
A,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,decoupling,0.6319523227703677,,,7,7,13,14,2516,q7_13,same_task_query
A,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,decoupling_occupancy,0.5534900247383732,,,4,10,13,8,1322,q7_13,same_task_query
A,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,layer_agreement,0.5665001071749253,,,7,7,13,14,2516,q7_13,same_task_query
