method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,542,538,7.667471885681152,4,542,libero_goal_20260909
dyn_radius,episode,0.03,542,527,6.781880855560303,15,542,libero_goal_20260909
dyn_radius,episode,0.05,542,516,6.193930149078369,26,542,libero_goal_20260909
dyn_radius,episode,0.1,542,489,5.267317295074463,53,542,libero_goal_20260909
dyn_radius,episode,0.15,542,462,4.847498416900635,80,542,libero_goal_20260909
dyn_radius,episode,0.2,542,435,4.515735626220703,107,542,libero_goal_20260909
dyn_radius,task_init,0.01,70,71,inf,0,542,libero_goal_20260909
dyn_radius,task_init,0.03,70,69,7.82072639465332,1,542,libero_goal_20260909
dyn_radius,task_init,0.05,70,68,7.400092601776123,2,542,libero_goal_20260909
dyn_radius,task_init,0.1,70,64,6.351102352142334,6,542,libero_goal_20260909
dyn_radius,task_init,0.15,70,61,6.178119659423828,9,542,libero_goal_20260909
dyn_radius,task_init,0.2,70,57,5.26701021194458,13,542,libero_goal_20260909
dyn_radius_outward,episode,0.01,542,538,5.356154441833496,4,542,libero_goal_20260909
dyn_radius_outward,episode,0.03,542,527,4.437453746795654,15,542,libero_goal_20260909
dyn_radius_outward,episode,0.05,542,516,3.607084274291992,26,542,libero_goal_20260909
dyn_radius_outward,episode,0.1,542,489,3.187851905822754,53,542,libero_goal_20260909
dyn_radius_outward,episode,0.15,542,462,2.873314380645752,80,542,libero_goal_20260909
dyn_radius_outward,episode,0.2,542,435,2.474602699279785,107,542,libero_goal_20260909
dyn_radius_outward,task_init,0.01,70,71,inf,0,542,libero_goal_20260909
dyn_radius_outward,task_init,0.03,70,69,5.830112934112549,1,542,libero_goal_20260909
dyn_radius_outward,task_init,0.05,70,68,5.100833892822266,2,542,libero_goal_20260909
dyn_radius_outward,task_init,0.1,70,64,3.8201193809509277,6,542,libero_goal_20260909
dyn_radius_outward,task_init,0.15,70,61,3.600236654281616,9,542,libero_goal_20260909
dyn_radius_outward,task_init,0.2,70,57,3.3178083896636963,13,542,libero_goal_20260909
