method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,543,539,6.282527446746826,4,543,libero_spatial_20260909
dyn_radius,episode,0.03,543,528,5.42100191116333,15,543,libero_spatial_20260909
dyn_radius,episode,0.05,543,517,5.146799087524414,26,543,libero_spatial_20260909
dyn_radius,episode,0.1,543,490,4.636532306671143,53,543,libero_spatial_20260909
dyn_radius,episode,0.15,543,463,4.36177396774292,80,543,libero_spatial_20260909
dyn_radius,episode,0.2,543,436,4.152604103088379,107,543,libero_spatial_20260909
dyn_radius,task_init,0.01,70,71,inf,0,543,libero_spatial_20260909
dyn_radius,task_init,0.03,70,69,6.319579124450684,1,543,libero_spatial_20260909
dyn_radius,task_init,0.05,70,68,6.282527446746826,2,543,libero_spatial_20260909
dyn_radius,task_init,0.1,70,64,5.32157039642334,6,543,libero_spatial_20260909
dyn_radius,task_init,0.15,70,61,5.060863971710205,9,543,libero_spatial_20260909
dyn_radius,task_init,0.2,70,57,4.710260391235352,13,543,libero_spatial_20260909
dyn_radius_outward,episode,0.01,543,539,4.83700704574585,4,543,libero_spatial_20260909
dyn_radius_outward,episode,0.03,543,528,4.239313125610352,15,543,libero_spatial_20260909
dyn_radius_outward,episode,0.05,543,517,3.8513166904449463,26,543,libero_spatial_20260909
dyn_radius_outward,episode,0.1,543,490,3.170825242996216,53,543,libero_spatial_20260909
dyn_radius_outward,episode,0.15,543,463,2.730494499206543,80,543,libero_spatial_20260909
dyn_radius_outward,episode,0.2,543,436,2.266672134399414,107,543,libero_spatial_20260909
dyn_radius_outward,task_init,0.01,70,71,inf,0,543,libero_spatial_20260909
dyn_radius_outward,task_init,0.03,70,69,4.997635364532471,1,543,libero_spatial_20260909
dyn_radius_outward,task_init,0.05,70,68,4.981118679046631,2,543,libero_spatial_20260909
dyn_radius_outward,task_init,0.1,70,64,3.8781518936157227,6,543,libero_spatial_20260909
dyn_radius_outward,task_init,0.15,70,61,3.3816819190979004,9,543,libero_spatial_20260909
