method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_success_knn_k20_persist3,episode,0.05,558,532,1.0400630235671997,26,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.1,558,504,0.91716468334198,54,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.15,558,476,0.8514493703842163,82,558,libero_goal_20260907
dyn_success_knn_k20_persist3,episode,0.2,558,448,0.8078625798225403,110,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.03,70,69,1.573073387145996,1,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.05,70,68,1.5616761445999146,2,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.1,70,64,1.046971082687378,6,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.15,70,61,0.9935700297355652,9,558,libero_goal_20260907
dyn_success_knn_k20_persist3,task_init,0.2,70,57,0.934361457824707,13,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.01,558,554,0.15000000596046448,4,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.03,558,543,0.10000000149011612,7,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.05,558,532,0.05000000074505806,24,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.1,558,504,0.05000000074505806,24,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.15,558,476,0.05000000074505806,24,558,libero_goal_20260907
dyn_vote_knn_k20,episode,0.2,558,448,0.05000000074505806,24,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.03,70,69,0.20000000298023224,1,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.05,70,68,0.15000000596046448,2,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.1,70,64,0.10000000149011612,3,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.15,70,61,0.10000000149011612,3,558,libero_goal_20260907
dyn_vote_knn_k20,task_init,0.2,70,57,0.05000000074505806,10,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.01,558,554,1.0669224262237549,4,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.03,558,543,0.819369375705719,15,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.05,558,532,0.6840288639068604,26,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.1,558,504,0.517328143119812,54,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.15,558,476,0.4020403325557709,82,558,libero_goal_20260907
dyn_pca2_success_knn_k20,episode,0.2,558,448,0.333252489566803,110,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.03,70,69,1.336674451828003,1,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.05,70,68,1.186293363571167,2,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.1,70,64,0.8013599514961243,6,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.15,70,61,0.7005518674850464,9,558,libero_goal_20260907
dyn_pca2_success_knn_k20,task_init,0.2,70,57,0.5501325130462646,13,558,libero_goal_20260907
route_success_knn_k20,episode,0.01,558,554,1.4425103664398193,4,558,libero_goal_20260907
route_success_knn_k20,episode,0.03,558,543,1.2428349256515503,15,558,libero_goal_20260907
route_success_knn_k20,episode,0.05,558,532,1.1976048946380615,26,558,libero_goal_20260907
route_success_knn_k20,episode,0.1,558,504,1.1534279584884644,54,558,libero_goal_20260907
route_success_knn_k20,episode,0.15,558,476,1.1228392124176025,82,558,libero_goal_20260907
route_success_knn_k20,episode,0.2,558,448,1.0768492221832275,110,558,libero_goal_20260907
route_success_knn_k20,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
route_success_knn_k20,task_init,0.03,70,69,1.5354039669036865,1,558,libero_goal_20260907
route_success_knn_k20,task_init,0.05,70,68,1.4425103664398193,2,558,libero_goal_20260907
route_success_knn_k20,task_init,0.1,70,64,1.2811626195907593,6,558,libero_goal_20260907
route_success_knn_k20,task_init,0.15,70,61,1.209937334060669,9,558,libero_goal_20260907
route_success_knn_k20,task_init,0.2,70,57,1.1902666091918945,13,558,libero_goal_20260907
eef_motion_low,episode,0.01,558,554,-0.021449774503707886,4,558,libero_goal_20260907
eef_motion_low,episode,0.03,558,543,-0.02676847018301487,15,558,libero_goal_20260907
eef_motion_low,episode,0.05,558,532,-0.028416387736797333,26,558,libero_goal_20260907
eef_motion_low,episode,0.1,558,504,-0.032686833292245865,54,558,libero_goal_20260907
eef_motion_low,episode,0.15,558,476,-0.03496045246720314,82,558,libero_goal_20260907
eef_motion_low,episode,0.2,558,448,-0.03720464929938316,110,558,libero_goal_20260907
eef_motion_low,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
eef_motion_low,task_init,0.03,70,69,-0.02075393870472908,1,558,libero_goal_20260907
eef_motion_low,task_init,0.05,70,68,-0.02541976608335972,2,558,libero_goal_20260907
eef_motion_low,task_init,0.1,70,64,-0.030146796256303787,6,558,libero_goal_20260907
eef_motion_low,task_init,0.15,70,61,-0.03199145570397377,9,558,libero_goal_20260907
eef_motion_low,task_init,0.2,70,57,-0.03335942327976227,13,558,libero_goal_20260907
clock_q7,episode,0.01,558,554,21.0,4,558,libero_goal_20260907
clock_q7,episode,0.03,558,543,15.0,11,558,libero_goal_20260907
clock_q7,episode,0.05,558,532,14.0,20,558,libero_goal_20260907
clock_q7,episode,0.1,558,504,13.0,40,558,libero_goal_20260907
clock_q7,episode,0.15,558,476,12.0,81,558,libero_goal_20260907
clock_q7,episode,0.2,558,448,12.0,81,558,libero_goal_20260907
clock_q7,task_init,0.01,70,71,inf,0,558,libero_goal_20260907
clock_q7,task_init,0.03,70,69,22.0,0,558,libero_goal_20260907
clock_q7,task_init,0.05,70,68,16.0,2,558,libero_goal_20260907
clock_q7,task_init,0.1,70,64,14.0,4,558,libero_goal_20260907
clock_q7,task_init,0.15,70,61,13.0,7,558,libero_goal_20260907
clock_q7,task_init,0.2,70,57,13.0,7,558,libero_goal_20260907
