method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_success_knn_k20_persist3,task_init,0.2,70,57,1.214036464691162,13,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.01,552,548,0.10000000149011612,3,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.03,552,537,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.05,552,526,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.1,552,498,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.15,552,471,0.05000000074505806,10,552,libero_object_20260909
dyn_vote_knn_k20,episode,0.2,552,443,0.0,82,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.03,70,69,0.15000000596046448,0,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.05,70,68,0.15000000596046448,0,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.1,70,64,0.10000000149011612,3,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.15,70,61,0.05000000074505806,8,552,libero_object_20260909
dyn_vote_knn_k20,task_init,0.2,70,57,0.05000000074505806,8,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.01,552,548,1.16304612159729,4,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.03,552,537,0.750449001789093,15,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.05,552,526,0.5751956701278687,26,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.1,552,498,0.4117215871810913,54,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.15,552,471,0.34847140312194824,81,552,libero_object_20260909
dyn_pca2_success_knn_k20,episode,0.2,552,443,0.3169029653072357,109,552,libero_object_20260909
dyn_pca2_success_knn_k20,task_init,0.01,70,71,inf,0,552,libero_object_20260909
dyn_pca2_success_knn_k20,task_init,0.03,70,69,1.411299228668213,1,552,libero_object_20260909
dyn_pca2_success_knn_k20,task_init,0.05,70,68,1.3366140127182007,2,552,libero_object_20260909
dyn_pca2_success_knn_k20,task_init,0.1,70,64,0.9413134455680847,6,552,libero_object_20260909
dyn_pca2_success_knn_k20,task_init,0.15,70,61,0.7832120060920715,9,552,libero_object_20260909
