method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,507,503,11.8400297164917,4,507,libero_long_20260909
dyn_radius,episode,0.03,507,493,10.23749828338623,14,507,libero_long_20260909
dyn_radius,episode,0.05,507,483,9.124192237854004,24,507,libero_long_20260909
dyn_radius,episode,0.1,507,458,7.958649635314941,49,507,libero_long_20260909
dyn_radius,episode,0.15,507,432,6.452725410461426,75,507,libero_long_20260909
dyn_radius,episode,0.2,507,407,6.02345609664917,100,507,libero_long_20260909
dyn_radius,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_radius,task_init,0.03,69,68,12.823143005371094,1,507,libero_long_20260909
dyn_radius,task_init,0.05,69,67,12.386573791503906,2,507,libero_long_20260909
dyn_radius,task_init,0.1,69,63,10.139120101928711,6,507,libero_long_20260909
dyn_radius,task_init,0.15,69,60,9.29886245727539,9,507,libero_long_20260909
dyn_radius,task_init,0.2,69,56,8.29577350616455,13,507,libero_long_20260909
dyn_radius_outward,episode,0.01,507,503,10.29951286315918,4,507,libero_long_20260909
dyn_radius_outward,episode,0.03,507,493,8.999994277954102,14,507,libero_long_20260909
dyn_radius_outward,episode,0.05,507,483,7.535515785217285,24,507,libero_long_20260909
dyn_radius_outward,episode,0.1,507,458,6.308628082275391,49,507,libero_long_20260909
dyn_radius_outward,episode,0.15,507,432,4.907181262969971,75,507,libero_long_20260909
dyn_radius_outward,episode,0.2,507,407,4.383461952209473,100,507,libero_long_20260909
dyn_radius_outward,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_radius_outward,task_init,0.03,69,68,10.634449005126953,1,507,libero_long_20260909
dyn_radius_outward,task_init,0.05,69,67,10.529288291931152,2,507,libero_long_20260909
dyn_radius_outward,task_init,0.1,69,63,7.898242950439453,6,507,libero_long_20260909
dyn_radius_outward,task_init,0.15,69,60,7.535515785217285,9,507,libero_long_20260909
dyn_radius_outward,task_init,0.2,69,56,6.476365089416504,13,507,libero_long_20260909
dyn_success_knn_k1,episode,0.01,507,503,2.405113458633423,4,507,libero_long_20260909
dyn_success_knn_k1,episode,0.03,507,493,2.0379388332366943,14,507,libero_long_20260909
dyn_success_knn_k1,episode,0.05,507,483,1.8873157501220703,24,507,libero_long_20260909
dyn_success_knn_k1,episode,0.1,507,458,1.6319612264633179,49,507,libero_long_20260909
dyn_success_knn_k1,episode,0.15,507,432,1.5257989168167114,75,507,libero_long_20260909
dyn_success_knn_k1,episode,0.2,507,407,1.467021107673645,100,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.03,69,68,3.5276501178741455,1,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.05,69,67,3.244779348373413,2,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.1,69,63,2.263146162033081,6,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.15,69,60,2.0379388332366943,9,507,libero_long_20260909
dyn_success_knn_k1,task_init,0.2,69,56,1.7878683805465698,13,507,libero_long_20260909
dyn_success_knn_k5,episode,0.01,507,503,2.895475387573242,4,507,libero_long_20260909
dyn_success_knn_k5,episode,0.03,507,493,2.3909475803375244,14,507,libero_long_20260909
dyn_success_knn_k5,episode,0.05,507,483,2.1357548236846924,24,507,libero_long_20260909
dyn_success_knn_k5,episode,0.1,507,458,1.7660826444625854,49,507,libero_long_20260909
dyn_success_knn_k5,episode,0.15,507,432,1.664171576499939,75,507,libero_long_20260909
dyn_success_knn_k5,episode,0.2,507,407,1.5983489751815796,100,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.03,69,68,4.3122758865356445,1,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.05,69,67,3.724914073944092,2,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.1,69,63,2.4928829669952393,6,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.15,69,60,2.2805535793304443,9,507,libero_long_20260909
dyn_success_knn_k5,task_init,0.2,69,56,2.0063676834106445,13,507,libero_long_20260909
dyn_success_knn_k20,episode,0.01,507,503,3.431382894515991,4,507,libero_long_20260909
dyn_success_knn_k20,episode,0.03,507,493,2.8362245559692383,14,507,libero_long_20260909
dyn_success_knn_k20,episode,0.05,507,483,2.4896090030670166,24,507,libero_long_20260909
dyn_success_knn_k20,episode,0.1,507,458,2.097607135772705,49,507,libero_long_20260909
dyn_success_knn_k20,episode,0.15,507,432,1.9711031913757324,75,507,libero_long_20260909
dyn_success_knn_k20,episode,0.2,507,407,1.878608226776123,100,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.03,69,68,5.7172088623046875,1,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.05,69,67,4.622232437133789,2,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.1,69,63,3.1708593368530273,6,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.15,69,60,2.9359147548675537,9,507,libero_long_20260909
dyn_success_knn_k20,task_init,0.2,69,56,2.473688840866089,13,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.01,507,503,3.3580892086029053,4,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.03,507,493,2.306260824203491,14,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.05,507,483,2.027702569961548,24,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.1,507,458,1.8284053802490234,49,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.15,507,432,1.677046775817871,75,507,libero_long_20260909
dyn_success_knn_k20_persist3,episode,0.2,507,407,1.575255036354065,100,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.03,69,68,5.301279544830322,1,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.05,69,67,4.334463596343994,2,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.1,69,63,2.607788562774658,6,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.15,69,60,2.306260824203491,9,507,libero_long_20260909
dyn_success_knn_k20_persist3,task_init,0.2,69,56,2.0736279487609863,13,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.01,507,503,0.75,3,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.03,507,493,0.6000000238418579,11,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.05,507,483,0.550000011920929,17,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.1,507,458,0.4000000059604645,47,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.15,507,432,0.30000001192092896,66,507,libero_long_20260909
dyn_vote_knn_k20,episode,0.2,507,407,0.20000000298023224,100,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.03,69,68,0.949999988079071,0,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.05,69,67,0.800000011920929,2,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.1,69,63,0.6499999761581421,5,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.15,69,60,0.6000000238418579,9,507,libero_long_20260909
dyn_vote_knn_k20,task_init,0.2,69,56,0.550000011920929,12,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.01,507,503,2.9823248386383057,4,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.03,507,493,2.1094439029693604,14,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.05,507,483,1.6372544765472412,24,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.1,507,458,1.1390714645385742,49,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.15,507,432,0.9393426179885864,75,507,libero_long_20260909
dyn_pca2_success_knn_k20,episode,0.2,507,407,0.7798264026641846,100,507,libero_long_20260909
dyn_pca2_success_knn_k20,task_init,0.01,69,70,inf,0,507,libero_long_20260909
dyn_pca2_success_knn_k20,task_init,0.03,69,68,5.0812883377075195,1,507,libero_long_20260909
dyn_pca2_success_knn_k20,task_init,0.05,69,67,3.5431206226348877,2,507,libero_long_20260909
dyn_pca2_success_knn_k20,task_init,0.1,69,63,2.6186306476593018,6,507,libero_long_20260909
dyn_pca2_success_knn_k20,task_init,0.15,69,60,2.0755386352539062,9,507,libero_long_20260909
