method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_radius,episode,0.01,535,531,6.727396488189697,4,535,libero_spatial_20260907
dyn_radius,episode,0.03,535,520,6.1647725105285645,15,535,libero_spatial_20260907
dyn_radius,episode,0.05,535,510,5.771791934967041,25,535,libero_spatial_20260907
dyn_radius,episode,0.1,535,483,5.273509502410889,52,535,libero_spatial_20260907
dyn_radius,episode,0.15,535,456,5.033329486846924,79,535,libero_spatial_20260907
dyn_radius,episode,0.2,535,429,4.702121734619141,106,535,libero_spatial_20260907
dyn_radius,task_init,0.01,70,71,inf,0,535,libero_spatial_20260907
dyn_radius,task_init,0.03,70,69,7.2436909675598145,1,535,libero_spatial_20260907
dyn_radius,task_init,0.05,70,68,6.989538669586182,2,535,libero_spatial_20260907
dyn_radius,task_init,0.1,70,64,5.809910774230957,6,535,libero_spatial_20260907
dyn_radius,task_init,0.15,70,61,5.756008625030518,9,535,libero_spatial_20260907
dyn_radius,task_init,0.2,70,57,5.476688385009766,13,535,libero_spatial_20260907
dyn_radius_outward,episode,0.01,535,531,4.8211517333984375,4,535,libero_spatial_20260907
dyn_radius_outward,episode,0.03,535,520,4.3371453285217285,15,535,libero_spatial_20260907
dyn_radius_outward,episode,0.05,535,510,3.8592286109924316,25,535,libero_spatial_20260907
dyn_radius_outward,episode,0.1,535,483,3.1050524711608887,52,535,libero_spatial_20260907
dyn_radius_outward,episode,0.15,535,456,2.826878309249878,79,535,libero_spatial_20260907
dyn_radius_outward,episode,0.2,535,429,2.4280407428741455,106,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.01,70,71,inf,0,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.03,70,69,5.115147590637207,1,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.05,70,68,4.734770774841309,2,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.1,70,64,3.8592286109924316,6,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.15,70,61,3.6730079650878906,9,535,libero_spatial_20260907
dyn_radius_outward,task_init,0.2,70,57,3.457737922668457,13,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.01,535,531,1.7130813598632812,4,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.03,535,520,1.4416627883911133,15,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.05,535,510,1.3864978551864624,25,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.1,535,483,1.194314956665039,52,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.15,535,456,1.1083080768585205,79,535,libero_spatial_20260907
dyn_success_knn_k1,episode,0.2,535,429,1.0506341457366943,106,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.01,70,71,inf,0,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.03,70,69,1.830384373664856,1,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.05,70,68,1.6564531326293945,2,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.1,70,64,1.4744871854782104,6,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.15,70,61,1.450313687324524,9,535,libero_spatial_20260907
dyn_success_knn_k1,task_init,0.2,70,57,1.403827428817749,13,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.01,535,531,1.814089059829712,4,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.03,535,520,1.564592719078064,15,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.05,535,510,1.4787675142288208,25,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.1,535,483,1.2943148612976074,52,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.15,535,456,1.2207845449447632,79,535,libero_spatial_20260907
dyn_success_knn_k5,episode,0.2,535,429,1.175473928451538,106,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.01,70,71,inf,0,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.03,70,69,2.006148099899292,1,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.05,70,68,1.7915077209472656,2,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.1,70,64,1.6292084455490112,6,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.15,70,61,1.5726524591445923,9,535,libero_spatial_20260907
dyn_success_knn_k5,task_init,0.2,70,57,1.5067647695541382,13,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.01,535,531,2.0431175231933594,4,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.03,535,520,1.7576147317886353,15,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.05,535,510,1.6978949308395386,25,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.1,535,483,1.4996047019958496,52,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.15,535,456,1.4243768453598022,79,535,libero_spatial_20260907
dyn_success_knn_k20,episode,0.2,535,429,1.3552292585372925,106,535,libero_spatial_20260907
dyn_success_knn_k20,task_init,0.01,70,71,inf,0,535,libero_spatial_20260907
